call_id,customer_id,agent_id,call_start_time,call_duration_seconds,call_reason,status
1,33858,1758,2025-07-08 19:00:53.440800,830,Complaint,Resolved
2,26787,278,2025-05-13 14:56:15.072255,1460,Technical Support,Resolved
3,8099,427,2026-01-18 15:06:58.928233,1752,Order Inquiry,Dropped
4,5643,2788,2025-03-04 14:51:11.664733,829,Order Inquiry,Pending
5,21768,494,2025-06-17 01:53:43.672242,1301,Billing Issue,Escalated
6,26505,1984,2025-08-11 08:17:07.499830,1079,Return/Refund,Pending
7,49393,2465,2025-08-13 03:43:36.955716,1646,Complaint,Resolved
8,22394,233,2026-02-12 01:36:47.358588,1029,Account Access,Escalated
9,15666,229,2025-11-22 08:51:00.901688,1412,Return/Refund,Resolved
10,22145,2629,2025-03-05 03:11:04.796310,914,Product Question,Pending
11,49971,2178,2025-11-26 21:15:26.817226,992,Product Question,Dropped
12,4365,1020,2025-12-24 09:52:23.095973,1270,Account Access,Dropped
13,42902,628,2025-09-08 13:48:24.760501,297,Technical Support,Pending
14,29285,1661,2025-06-05 16:41:14.867393,1262,Complaint,Resolved
15,32855,1910,2025-08-29 22:58:35.224157,936,Billing Issue,Dropped
16,2120,854,2025-04-22 04:25:23.321267,709,Account Access,Pending
17,49349,2303,2025-11-07 23:56:10.610912,1345,Order Inquiry,Dropped
18,46066,1317,2025-08-18 22:09:31.846049,216,Order Inquiry,Pending
19,20274,359,2025-12-14 19:14:53.712126,503,Order Inquiry,Dropped
20,12947,70,2025-07-30 05:16:28.025891,1769,Order Inquiry,Resolved
21,38720,530,2025-03-13 22:32:18.181193,99,Return/Refund,Pending
22,1879,1236,2025-09-16 14:33:01.807690,414,Order Inquiry,Dropped
23,9005,394,2025-08-03 02:23:02.851338,202,Return/Refund,Escalated
24,2625,1496,2026-01-12 07:38:47.089010,1219,Technical Support,Escalated
25,10920,1270,2026-01-16 03:59:43.525661,443,Return/Refund,Escalated
26,47762,1572,2025-07-02 21:36:24.596271,361,Account Access,Resolved
27,45534,800,2025-11-22 04:36:56.457348,1544,Billing Issue,Escalated
28,31293,352,2026-01-02 18:29:57.166749,240,Complaint,Resolved
29,14265,79,2025-10-28 18:50:05.820805,512,Product Question,Escalated
30,28135,2334,2025-07-29 22:56:43.747834,176,Order Inquiry,Escalated
31,19266,530,2025-11-22 23:35:33.517381,261,Return/Refund,Pending
32,40414,2059,2026-01-22 02:33:33.404420,1095,Technical Support,Pending
33,5142,2360,2026-01-11 22:26:58.645625,1625,Billing Issue,Pending
34,40602,2922,2025-11-10 15:19:31.325581,1353,Account Access,Resolved
35,31016,2840,2025-05-02 04:28:50.819266,1320,Return/Refund,Escalated
36,33769,2846,2025-06-27 11:17:39.809536,713,Order Inquiry,Resolved
37,46681,800,2026-01-18 01:33:23.822746,244,Technical Support,Escalated
38,37302,233,2025-06-10 08:55:48.270814,689,Product Question,Escalated
39,15140,1403,2025-03-23 07:41:48.634354,1004,Return/Refund,Dropped
40,2259,2965,2025-03-26 09:45:41.403735,1281,Order Inquiry,Escalated
41,5950,2020,2026-02-03 20:51:00.959471,1024,Billing Issue,Dropped
42,17857,2680,2025-04-29 13:55:36.590043,1215,Billing Issue,Resolved
43,24588,371,2025-12-21 22:39:08.872137,1606,Technical Support,Escalated
44,9763,2623,2025-03-04 04:27:06.918347,1770,Order Inquiry,Dropped
45,49751,20,2025-07-13 10:53:42.794624,1051,Account Access,Pending
46,9832,1067,2025-09-22 14:28:01.924858,1585,Product Question,Dropped
47,35050,2334,2025-05-02 22:52:34.070061,391,Product Question,Resolved
48,31218,1649,2025-05-25 12:27:23.990738,243,Order Inquiry,Pending
49,30754,694,2025-08-13 06:53:40.262238,1406,Order Inquiry,Escalated
50,23234,1020,2026-01-04 19:40:31.220184,367,Billing Issue,Pending
51,35678,427,2025-05-14 13:12:16.611399,631,Billing Issue,Escalated
52,48286,2360,2026-01-04 15:03:51.762680,1055,Complaint,Pending
53,7592,139,2025-03-13 16:52:20.784925,1266,Return/Refund,Dropped
54,27787,38,2026-01-26 17:03:04.032240,1304,Order Inquiry,Resolved
55,46046,2137,2025-03-01 23:56:41.347255,111,Account Access,Dropped
56,43973,2434,2025-04-14 09:44:08.898720,1167,Account Access,Pending
57,3055,63,2025-12-30 09:08:31.639367,834,Account Access,Escalated
58,45776,854,2025-03-03 11:30:33.083580,1783,Product Question,Dropped
59,45585,229,2025-11-11 18:06:47.211292,1720,Return/Refund,Resolved
60,69,229,2025-10-09 14:28:49.703145,1553,Product Question,Escalated
61,3721,480,2025-08-03 09:04:15.592967,1255,Account Access,Pending
62,36555,2691,2026-02-14 22:31:39.733132,829,Complaint,Escalated
63,9807,63,2025-04-13 10:05:34.441548,1689,Order Inquiry,Pending
64,16591,694,2025-02-21 18:27:53.353132,1386,Billing Issue,Pending
65,35674,2465,2025-06-28 03:09:29.044800,938,Return/Refund,Resolved
66,9145,1984,2025-09-02 02:23:04.549877,984,Complaint,Pending
67,34508,1103,2025-08-27 05:02:24.123730,1701,Order Inquiry,Dropped
68,34420,1317,2025-07-03 01:13:33.619962,918,Product Question,Pending
69,11447,805,2025-08-29 02:14:48.619466,1792,Return/Refund,Resolved
70,9824,1076,2025-06-24 09:49:38.113211,457,Order Inquiry,Escalated
71,11315,2404,2025-08-14 00:39:08.280014,782,Complaint,Dropped
72,33335,779,2025-11-21 16:26:32.912488,929,Return/Refund,Resolved
73,15156,813,2025-04-22 06:23:32.846451,972,Technical Support,Pending
74,10510,1394,2025-06-19 17:27:05.334036,117,Product Question,Dropped
75,12629,2043,2026-02-14 13:56:40.008740,1647,Return/Refund,Escalated
76,3570,1386,2025-03-11 04:45:53.452603,768,Technical Support,Escalated
77,29915,1386,2025-05-29 00:24:50.006482,1177,Complaint,Resolved
78,10311,1822,2025-12-15 00:25:41.803693,1171,Order Inquiry,Pending
79,22346,146,2025-08-03 14:51:16.901422,1311,Product Question,Pending
80,35743,1386,2025-07-01 08:05:44.933225,751,Return/Refund,Pending
81,8987,139,2025-11-03 15:34:49.936180,191,Account Access,Resolved
82,9551,1676,2025-11-25 10:32:15.668715,791,Product Question,Pending
83,43499,1591,2025-05-14 13:26:56.235226,1209,Billing Issue,Dropped
84,36745,212,2026-01-17 00:27:38.418041,817,Technical Support,Escalated
85,18817,694,2025-09-14 03:09:12.045533,1485,Account Access,Escalated
86,36073,1416,2025-03-22 13:40:33.694777,1525,Order Inquiry,Resolved
87,2295,2723,2025-08-28 00:21:58.099324,1587,Return/Refund,Dropped
88,23470,359,2025-07-11 02:02:59.227850,1223,Return/Refund,Pending
89,25366,1103,2025-11-02 07:45:31.787799,799,Billing Issue,Resolved
90,44027,2922,2025-11-06 16:42:42.568610,376,Technical Support,Dropped
91,44591,273,2025-06-12 05:36:16.742587,263,Complaint,Dropped
92,32792,273,2025-12-17 19:18:17.383423,747,Complaint,Escalated
93,2001,1455,2025-02-17 10:53:00.886434,1452,Complaint,Pending
94,17899,1387,2025-07-26 18:43:02.630850,1025,Order Inquiry,Escalated
95,1749,2465,2026-01-15 22:26:20.459938,346,Return/Refund,Escalated
96,40509,1372,2025-06-22 18:54:50.396456,535,Return/Refund,Resolved
97,29863,683,2026-02-10 10:09:39.198871,790,Complaint,Resolved
98,27351,988,2025-05-21 23:46:33.116688,654,Billing Issue,Dropped
99,46600,38,2025-11-03 14:34:17.069144,906,Product Question,Dropped
100,17710,1984,2025-04-06 12:29:24.721043,1035,Technical Support,Dropped
101,30934,515,2025-06-11 04:32:53.185063,1572,Order Inquiry,Escalated
102,26233,315,2025-06-24 05:45:43.129411,1568,Return/Refund,Dropped
103,18005,1317,2025-10-14 20:21:22.899036,834,Product Question,Resolved
104,10095,62,2025-04-18 20:12:45.635793,1718,Return/Refund,Resolved
105,8751,988,2025-12-14 06:15:56.409513,1562,Order Inquiry,Resolved
106,4079,359,2025-03-12 06:17:03.944935,1100,Account Access,Resolved
107,13502,2334,2025-08-11 19:36:31.583591,790,Complaint,Escalated
108,15256,245,2025-02-18 23:11:45.662211,1434,Order Inquiry,Resolved
109,26305,630,2025-05-29 02:56:42.943382,472,Account Access,Pending
110,14729,1270,2025-09-08 19:07:54.360027,1029,Product Question,Dropped
111,40481,2757,2025-09-20 00:57:52.490047,717,Technical Support,Resolved
112,6518,1236,2025-08-20 10:42:02.910944,1360,Account Access,Pending
113,39468,217,2025-11-15 14:34:32.327801,1439,Product Question,Dropped
114,7449,2629,2025-12-10 18:45:56.938727,773,Product Question,Dropped
115,36915,2360,2025-10-13 01:44:16.800085,591,Technical Support,Pending
116,15297,34,2025-11-13 14:33:11.038351,1787,Product Question,Pending
117,13805,727,2025-11-28 18:39:35.225986,1167,Billing Issue,Pending
118,41616,1496,2025-04-03 18:40:19.134703,679,Technical Support,Pending
119,41827,2434,2025-11-17 14:33:15.456604,1199,Return/Refund,Resolved
120,17797,401,2025-06-02 23:21:59.559300,222,Order Inquiry,Pending
121,49845,2577,2025-12-15 04:17:31.589382,968,Product Question,Dropped
122,20250,2691,2025-10-09 22:02:57.326252,728,Complaint,Resolved
123,17634,1020,2025-03-12 05:32:04.148502,971,Return/Refund,Resolved
124,36399,94,2026-01-04 03:24:28.063946,1153,Product Question,Escalated
125,39671,2922,2025-09-30 19:21:32.718224,192,Account Access,Dropped
126,22201,727,2025-07-24 23:04:27.288657,168,Technical Support,Dropped
127,23682,217,2025-11-19 02:36:14.500663,726,Return/Refund,Pending
128,41989,515,2025-07-05 19:19:20.469676,1197,Order Inquiry,Dropped
129,39680,1372,2025-09-20 06:03:34.920831,1202,Account Access,Escalated
130,48108,1251,2025-03-03 21:19:05.976846,453,Complaint,Resolved
131,5679,1076,2025-07-30 10:21:37.971532,1269,Billing Issue,Pending
132,1689,394,2025-12-29 07:20:42.061612,1600,Return/Refund,Dropped
133,8799,2840,2025-11-04 00:02:46.458901,704,Return/Refund,Escalated
134,27449,1386,2025-08-29 10:38:51.006725,553,Technical Support,Pending
135,3996,315,2025-07-02 18:25:16.256221,674,Return/Refund,Pending
136,17022,1267,2025-09-14 15:41:10.371703,1429,Product Question,Pending
137,42704,1394,2025-03-19 00:54:37.995317,1018,Order Inquiry,Pending
138,24317,1441,2025-08-20 21:44:01.241751,1294,Billing Issue,Escalated
139,30362,1131,2025-12-21 20:32:42.004092,1273,Order Inquiry,Resolved
140,4614,313,2025-12-02 21:52:32.631768,435,Complaint,Resolved
141,35860,2623,2025-12-11 13:07:52.830590,830,Order Inquiry,Resolved
142,42220,1984,2025-04-29 23:23:29.574445,981,Order Inquiry,Resolved
143,20820,2465,2025-09-15 00:21:53.413185,1653,Product Question,Dropped
144,15881,1076,2026-01-29 04:23:13.341423,390,Product Question,Resolved
145,49909,1737,2026-01-25 12:02:17.827895,1143,Complaint,Pending
146,7365,2642,2025-06-27 17:36:27.916645,1177,Order Inquiry,Pending
147,34486,2713,2025-08-08 23:49:49.232615,224,Order Inquiry,Escalated
148,11247,1214,2025-04-22 22:31:12.176113,1529,Technical Support,Dropped
149,49022,1386,2025-07-07 05:12:19.918297,768,Return/Refund,Escalated
150,28296,1859,2026-01-09 17:06:21.437845,538,Complaint,Resolved
151,46808,1661,2025-06-11 10:15:18.435670,1734,Order Inquiry,Escalated
152,49059,2713,2025-06-01 01:32:52.384957,1295,Product Question,Escalated
153,11643,2953,2025-07-27 20:56:12.546327,573,Order Inquiry,Resolved
154,11642,2039,2025-10-01 20:58:00.723706,333,Billing Issue,Dropped
155,33427,2568,2025-12-04 05:53:12.880578,799,Product Question,Dropped
156,48352,2465,2025-08-18 17:25:34.563022,660,Complaint,Resolved
157,5544,969,2025-08-20 10:23:22.476398,1646,Product Question,Pending
158,34652,1455,2025-11-21 22:45:22.285193,787,Account Access,Escalated
159,15496,482,2025-04-19 01:52:57.105719,1712,Return/Refund,Escalated
160,18600,353,2025-11-11 00:21:12.619096,1220,Billing Issue,Escalated
161,26347,357,2025-11-03 15:13:22.659236,691,Complaint,Dropped
162,36984,394,2025-11-23 10:58:17.808714,504,Return/Refund,Escalated
163,40001,462,2025-09-03 21:11:23.284933,1639,Order Inquiry,Resolved
164,24398,2834,2025-04-28 13:09:40.765736,577,Account Access,Pending
165,8905,1676,2025-04-03 01:19:22.167892,972,Product Question,Escalated
166,21054,1822,2025-09-12 01:17:43.296260,401,Order Inquiry,Pending
167,43500,2148,2025-11-13 15:08:27.841351,448,Order Inquiry,Resolved
168,26704,2474,2025-07-08 17:58:09.574934,990,Billing Issue,Dropped
169,2933,2717,2025-06-01 21:37:37.803053,1111,Return/Refund,Resolved
170,5356,233,2025-05-20 13:19:13.008870,1385,Order Inquiry,Dropped
171,48493,352,2025-07-01 13:52:46.606126,379,Return/Refund,Dropped
172,42438,1076,2025-05-24 02:27:02.893825,182,Account Access,Pending
173,5186,869,2025-03-24 09:46:57.844250,437,Product Question,Escalated
174,33943,59,2025-11-01 20:51:11.468187,754,Product Question,Resolved
175,687,969,2025-11-23 14:17:40.217834,1453,Account Access,Pending
176,38971,2953,2025-03-16 05:11:11.544816,1061,Billing Issue,Resolved
177,32966,1675,2026-02-05 05:33:22.251737,1286,Technical Support,Escalated
178,34799,2250,2025-04-22 09:55:31.838907,722,Return/Refund,Dropped
