transcript_id,call_id,transcript_text,sentiment_score
1,1,Customer called about complaint. Mentioned service was standard. Peace agreement sport service left.,0.56
2,2,Customer called about technical support. Mentioned service was standard. All Democrat fund cause whether effect such.,0.52
3,3,Customer called about order inquiry. Mentioned service was standard. Time significant loss quickly.,0.59
4,4,Customer called about order inquiry. Mentioned service was bad. Bar add policy child do current understand.,0.29
5,5,Customer called about billing issue. Mentioned service was amazing. Beat tax early stay kid front head.,0.95
6,6,Customer called about return/refund. Mentioned service was angry. Case in daughter health term fact action.,0.01
7,7,Customer called about complaint. Mentioned service was excellent. Minute become for discussion on improve.,0.65
8,8,Customer called about account access. Mentioned service was refund. Although card service if today.,0.09
9,9,Customer called about return/refund. Mentioned service was excellent. Phone structure go grow view late star.,0.9
10,10,Customer called about product question. Mentioned service was standard. Star country make check.,0.41
11,11,Customer called about product question. Mentioned service was average. Wide choice poor evidence.,0.44
12,12,Customer called about account access. Mentioned service was thank you. Yet drop lot bar.,0.86
13,13,Customer called about technical support. Mentioned service was average. Instead describe whether sure.,0.44
14,14,Customer called about complaint. Mentioned service was excellent. Small today much without popular only their.,0.66
15,15,Customer called about billing issue. Mentioned service was okay. Recent change mouth station.,0.55
16,16,Customer called about account access. Mentioned service was complaint. Majority next indeed couple professional whatever.,0.11
17,17,Customer called about order inquiry. Mentioned service was great. Network house question way wife film.,0.82
18,18,Customer called about order inquiry. Mentioned service was average. Without recognize concern case budget.,0.48
19,19,Customer called about order inquiry. Mentioned service was waste of time. Risk citizen necessary school health.,0.0
20,20,Customer called about order inquiry. Mentioned service was satisfied. Tax book spring quite involve fund.,0.77
21,21,Customer called about return/refund. Mentioned service was resolved quickly. Soon pressure fast third man.,0.93
22,22,Customer called about order inquiry. Mentioned service was excellent. Alone reflect bank reality.,0.91
23,23,Customer called about return/refund. Mentioned service was status. Sound while leader evidence with.,0.46
24,24,Customer called about technical support. Mentioned service was terrible. Major door institution hard teacher sell against.,0.39
25,25,Customer called about return/refund. Mentioned service was average. Spring record discuss nature share region.,0.57
26,26,Customer called about account access. Mentioned service was waste of time. Because until effect.,0.08
27,27,Customer called about billing issue. Mentioned service was angry. Pm itself lay apply key nature that media.,0.05
28,28,Customer called about complaint. Mentioned service was broken. Together smile majority treatment risk.,0.38
29,29,Customer called about product question. Mentioned service was slow. Relationship begin somebody other pick.,0.14
30,30,Customer called about order inquiry. Mentioned service was standard. Out art audience all capital between worry.,0.45
31,31,Customer called about return/refund. Mentioned service was complaint. Change know positive billion receive.,0.37
32,32,Customer called about technical support. Mentioned service was upset. Sometimes modern its.,0.33
33,33,Customer called about billing issue. Mentioned service was refund. Themselves talk ask.,0.26
34,34,Customer called about account access. Mentioned service was satisfied. Assume upon wide maybe thousand let.,0.63
35,35,Customer called about return/refund. Mentioned service was amazing. Issue wonder notice whole make data from.,0.71
36,36,Customer called about order inquiry. Mentioned service was slow. Her sea eye local.,0.38
37,37,Customer called about technical support. Mentioned service was standard. Kid wish source fish.,0.44
38,38,Customer called about product question. Mentioned service was satisfied. Simple seek push hot sound ever.,0.89
39,39,Customer called about return/refund. Mentioned service was excellent. Yeah interest finish girl.,0.98
40,40,Customer called about order inquiry. Mentioned service was happy. Former hospital open people.,0.93
41,41,Customer called about billing issue. Mentioned service was slow. Across may relationship clear nation suddenly.,0.11
42,42,Customer called about billing issue. Mentioned service was average. Third professional pass relationship.,0.55
43,43,Customer called about technical support. Mentioned service was perfect. Site pick thousand up too.,0.87
44,44,Customer called about order inquiry. Mentioned service was update. Design weight prepare eight.,0.42
45,45,Customer called about account access. Mentioned service was happy. Report like director.,0.67
46,46,Customer called about product question. Mentioned service was update. Foot nice movement relationship like beautiful.,0.52
47,47,Customer called about product question. Mentioned service was average. Note official ten apply price.,0.59
48,48,Customer called about order inquiry. Mentioned service was refund. Quite create point right.,0.2
49,49,Customer called about order inquiry. Mentioned service was bad. Focus theory ok different.,0.15
50,50,Customer called about billing issue. Mentioned service was satisfied. Today let interest head almost grow.,0.92
51,51,Customer called about billing issue. Mentioned service was status. Media benefit whether perform agree behavior fire agreement.,0.43
52,52,Customer called about complaint. Mentioned service was update. Past risk speak various moment enjoy.,0.4
53,53,Customer called about return/refund. Mentioned service was terrible. Fish kitchen teacher attorney reflect bring.,0.1
54,54,Customer called about order inquiry. Mentioned service was fine. Behavior take person cup remember operation.,0.47
55,55,Customer called about account access. Mentioned service was terrible. Recent manage tend note.,0.33
56,56,Customer called about account access. Mentioned service was resolved quickly. Against itself soon between share.,0.79
57,57,Customer called about account access. Mentioned service was thank you. Picture international theory.,0.83
58,58,Customer called about product question. Mentioned service was fine. Consumer first strategy it gun.,0.59
59,59,Customer called about return/refund. Mentioned service was question. Officer church answer worker.,0.4
60,60,Customer called about product question. Mentioned service was question. Pattern method thought investment position lead change.,0.5
61,61,Customer called about account access. Mentioned service was refund. Fact hit ago side large your stay.,0.17
62,62,Customer called about complaint. Mentioned service was complaint. Wall high main world conference especially take.,0.04
63,63,Customer called about order inquiry. Mentioned service was okay. Apply serious smile effect indeed.,0.43
64,64,Customer called about billing issue. Mentioned service was resolved quickly. About keep certain blood wish top surface charge.,0.86
65,65,Customer called about return/refund. Mentioned service was excellent. Decide group chance prepare fund poor town.,0.85
66,66,Customer called about complaint. Mentioned service was standard. Store service consumer this.,0.44
67,67,Customer called about order inquiry. Mentioned service was status. Key dog oil apply know morning fund.,0.46
68,68,Customer called about product question. Mentioned service was update. Conference role themselves star bag usually administration true.,0.57
69,69,Customer called about return/refund. Mentioned service was update. Man be role leave style.,0.59
70,70,Customer called about order inquiry. Mentioned service was perfect. Report answer ago laugh sea sound.,0.82
71,71,Customer called about complaint. Mentioned service was satisfied. And more sound share determine.,0.64
72,72,Customer called about return/refund. Mentioned service was status. Skill bring ahead law left film.,0.42
73,73,Customer called about technical support. Mentioned service was amazing. Body growth job leader green.,0.64
