loyalty_id,customer_id,points_earned,source,date_earned
1,12687,64,Purchase,2025-09-03
2,11773,22,Purchase,2025-03-02
3,8182,47,Referral,2025-10-17
4,39300,239,Referral,2025-11-02
5,13773,263,Bonus,2025-10-04
6,27395,351,Purchase,2025-08-08
7,25216,383,Referral,2025-07-01
8,1751,78,Purchase,2025-05-29
9,49468,159,Bonus,2025-06-12
10,37983,377,Referral,2025-02-19
11,34460,157,Referral,2025-06-18
12,8072,287,Referral,2025-03-21
13,42783,225,Purchase,2025-04-29
14,17851,361,Referral,2025-06-29
15,43748,145,Purchase,2025-08-16
16,41440,128,Purchase,2025-10-08
17,35952,312,Purchase,2025-04-09
18,31518,110,Purchase,2025-07-15
19,29430,278,Referral,2025-05-12
20,45548,401,Purchase,2026-02-09
21,21525,80,Bonus,2026-02-01
22,43049,299,Purchase,2025-06-04
23,31430,207,Referral,2025-11-12
24,37801,344,Referral,2025-11-02
25,19180,290,Referral,2025-11-03
26,31181,432,Purchase,2026-02-07
27,24683,500,Purchase,2025-05-19
28,1093,11,Purchase,2026-02-12
29,23283,59,Bonus,2025-10-27
30,9153,455,Purchase,2025-06-26
31,34242,463,Purchase,2025-06-18
32,43687,182,Bonus,2025-07-27
33,29560,68,Bonus,2025-03-01
34,11751,94,Bonus,2025-08-02
35,20866,75,Referral,2025-05-23
36,42545,284,Referral,2025-11-10
37,15575,473,Bonus,2026-01-30
38,11301,119,Purchase,2025-12-12
39,22,258,Bonus,2025-04-29
40,46865,436,Bonus,2025-08-22
41,26462,77,Purchase,2025-04-13
42,45257,213,Purchase,2025-09-05
43,30206,332,Bonus,2025-04-26
44,30136,281,Purchase,2026-01-09
45,45563,248,Purchase,2025-09-16
46,26018,19,Purchase,2025-03-02
47,2228,354,Referral,2026-01-04
48,46167,81,Bonus,2025-10-04
49,12076,29,Bonus,2025-08-22
50,1916,82,Referral,2025-08-03
51,45368,104,Referral,2025-11-27
52,1226,368,Referral,2025-11-09
53,17347,101,Referral,2025-07-20
54,19936,95,Purchase,2026-02-10
55,8029,446,Bonus,2025-09-27
56,31624,182,Bonus,2025-11-22
57,24915,135,Purchase,2025-07-30
58,47374,89,Purchase,2025-05-02
59,43323,128,Referral,2025-12-10
60,12647,361,Referral,2026-01-13
61,10474,283,Referral,2025-07-19
62,16356,452,Referral,2025-07-21
63,17147,429,Bonus,2025-04-19
64,2118,52,Bonus,2026-02-02
65,8511,57,Purchase,2025-07-04
66,15883,306,Purchase,2025-03-23
67,14175,286,Bonus,2025-07-10
68,36600,401,Bonus,2025-12-12
69,26941,348,Purchase,2025-07-27
70,14650,474,Bonus,2025-02-24
71,515,356,Bonus,2025-02-15
72,17122,323,Purchase,2025-11-19
73,22610,450,Referral,2025-07-26
74,49389,13,Referral,2025-02-21
75,29462,215,Purchase,2025-02-22
76,6429,187,Purchase,2026-02-05
77,33760,288,Referral,2025-06-29
78,39013,303,Referral,2025-12-31
79,21978,199,Purchase,2025-06-14
80,18417,38,Bonus,2025-07-08
81,19979,221,Bonus,2025-06-18
82,330,297,Purchase,2025-05-14
83,42318,85,Bonus,2025-08-27
84,12694,497,Purchase,2025-08-07
85,7943,372,Referral,2025-12-20
86,17951,188,Bonus,2025-09-28
87,10786,287,Bonus,2025-03-19
88,7710,169,Bonus,2025-10-15
89,35911,132,Referral,2025-07-31
90,44874,206,Purchase,2025-10-31
