review_id,customer_id,product_id,rating,review_text,review_date
1,44579,1962,5,Libero labore quaerat aliquid nisi sit debitis.,2024-04-14
2,30902,837,5,Suscipit dolore voluptas aliquam quam eius.,2025-06-03
3,12079,430,2,Culpa eligendi voluptatum placeat commodi.,2024-12-26
4,18414,1281,5,Excepturi accusamus dolorem voluptatibus.,2025-07-21
5,12662,2641,3,Neque perspiciatis facere omnis nemo nulla odit nostrum.,2025-03-06
6,16085,809,5,Laboriosam minus consectetur ipsum officia quidem.,2025-08-08
7,20532,3001,1,Placeat quos qui illo tenetur ratione repellendus.,2024-07-15
8,47819,5242,4,Placeat ad voluptatum fugit excepturi minima enim provident.,2024-03-03
9,4443,4206,4,Placeat delectus nesciunt dicta quis eaque doloremque.,2025-02-28
10,36456,5469,4,Esse ipsa voluptatum autem distinctio.,2026-01-12
11,16548,542,5,Quos in reprehenderit inventore qui.,2025-09-03
12,36011,1052,1,Error dignissimos perspiciatis autem quisquam consequatur.,2025-07-08
13,8757,251,5,Reprehenderit enim quibusdam cupiditate illo perspiciatis.,2024-04-16
14,34265,4598,5,Possimus doloremque reiciendis porro.,2025-06-26
15,36503,3825,4,Ipsam unde laboriosam placeat itaque nostrum atque.,2025-04-14
16,11003,3279,4,Provident nesciunt ratione similique modi.,2024-06-02
17,6920,2036,5,Amet doloribus ipsam culpa porro sint ipsum.,2025-03-06
18,26825,1818,4,Quibusdam officiis doloremque maxime omnis ad hic.,2025-11-13
19,40722,4968,4,Quos ab commodi consequatur consectetur nemo.,2024-10-23
20,44351,4856,3,Minima molestias praesentium eligendi doloribus.,2024-04-09
21,8541,5663,4,Nisi labore nulla libero itaque.,2024-05-27
22,5827,383,5,Minus libero laborum temporibus assumenda.,2025-01-29
23,6900,3333,5,Illum nobis repellat recusandae excepturi tempore animi ipsam.,2024-09-07
24,7446,1989,5,Veniam aperiam ipsa possimus.,2024-02-23
25,8247,5475,4,Iusto delectus eaque corrupti eaque enim.,2025-03-31
26,6478,3232,2,Modi iste expedita.,2025-07-28
27,41005,3138,2,Id facere ipsam accusantium libero assumenda.,2025-02-21
28,35962,5474,5,Impedit corrupti voluptas tempora doloribus delectus.,2024-10-16
29,7502,2449,4,Voluptatum suscipit dolores nemo facere illo vero.,2025-09-10
30,19690,5743,5,Maiores asperiores accusantium veritatis quos dicta aut.,2024-06-06
31,29669,1636,5,Exercitationem assumenda fugit atque.,2025-04-23
32,29835,3522,4,Laboriosam adipisci impedit veniam minus.,2024-06-11
33,32510,1009,5,Placeat quibusdam magni esse optio.,2024-08-17
34,48910,4557,4,Velit cum dicta.,2025-04-04
35,42652,1930,4,Hic ratione qui corrupti.,2024-10-10
36,1957,2856,4,Debitis eligendi tenetur iste officiis animi alias placeat.,2025-07-09
37,41366,2261,3,Laborum soluta eius dignissimos fugit.,2025-10-31
38,7436,1976,4,Facere deleniti quaerat sequi amet.,2025-11-30
39,17520,3847,5,Ipsa perferendis maiores possimus natus labore nesciunt.,2024-09-20
40,42468,3066,4,Architecto harum alias esse.,2024-09-13
41,23611,2879,5,Consectetur ex quibusdam iste doloribus modi tempore.,2026-01-20
42,13992,542,3,Pariatur minima quia eos odit.,2024-04-22
43,13076,2864,4,Itaque maiores aliquid.,2024-12-08
44,9764,1454,4,Voluptatibus rem distinctio dolorum corporis impedit.,2024-12-15
45,1976,3635,5,Repudiandae sunt natus consequatur expedita.,2025-08-09
46,12758,1525,5,Soluta nihil ad.,2025-03-16
47,11856,5785,4,Aspernatur a quaerat cum.,2025-11-16
48,37019,3836,4,Eum aliquid modi voluptatibus.,2025-07-28
49,8236,689,5,Illum atque aspernatur ipsam dicta officiis.,2024-03-26
50,29528,4211,5,Molestias tenetur natus distinctio voluptatibus aliquid expedita.,2025-02-16
51,46121,5204,4,Atque non impedit voluptate distinctio itaque dicta tempore.,2025-02-07
52,33998,2161,4,Assumenda quibusdam quasi deserunt porro quasi facilis.,2025-07-22
53,4821,5043,4,Harum laboriosam nesciunt ipsum dolorem animi labore.,2024-06-15
54,24081,4272,4,Nemo veniam nihil aut deleniti laudantium.,2024-02-19
55,9134,2670,5,Dignissimos laboriosam saepe enim ratione quod.,2026-01-08
56,13103,272,5,Suscipit tempore laborum amet consequuntur quisquam.,2025-07-28
57,5522,393,5,Unde illo omnis beatae.,2024-11-04
58,5804,4973,5,Nihil harum excepturi accusantium.,2024-11-27
59,672,5141,5,Dolorum sapiente quibusdam blanditiis dolorum ullam.,2024-05-01
60,41460,5516,2,Qui voluptatum harum debitis.,2025-10-30
61,41004,86,5,Recusandae nihil nihil ipsum deleniti exercitationem odit.,2024-12-09
62,14895,681,4,Aliquam corrupti sapiente corrupti.,2025-02-15
63,3480,5051,4,Ratione itaque aspernatur vero impedit ipsum aperiam.,2025-03-25
64,43345,4458,4,Aliquam at illo iste hic incidunt mollitia.,2024-08-06
65,12119,2882,5,Ab assumenda nisi repellat.,2025-05-30
66,9575,2160,5,Possimus occaecati voluptas omnis id.,2024-03-26
67,2635,2976,4,Nulla facilis consequuntur repellendus fugiat quibusdam.,2024-06-27
68,339,419,5,Placeat id sunt impedit praesentium eveniet quo.,2024-08-06
69,18710,819,5,Nam aperiam consequuntur officiis modi iste.,2024-06-24
70,29257,5093,5,Iure dolores nemo eveniet tempore magnam.,2024-06-04
71,25828,63,5,Praesentium voluptatibus commodi maxime.,2026-01-14
72,41254,1234,5,Dignissimos dolorum veniam quis voluptatem totam.,2024-08-30
73,39550,4871,4,Non labore mollitia nobis magni.,2026-02-09
74,14454,1230,3,Maiores a nihil error sed autem.,2025-06-18
75,7806,4159,5,Aut quod molestias provident recusandae quam consequatur.,2024-07-21
76,9277,4856,1,Quasi consectetur iste rerum consequuntur quibusdam consequuntur.,2025-05-15
77,20193,1706,5,Ipsum sapiente ex rerum saepe at accusantium.,2025-03-29
78,6122,4492,5,Modi repudiandae debitis perferendis veritatis error natus.,2025-12-20
79,15086,4155,2,Consequuntur ipsam voluptatem quo quibusdam accusamus.,2025-07-17
80,48265,5778,2,Dolorem consequuntur perspiciatis.,2025-08-19
81,10745,4086,5,Quod inventore esse rem autem.,2026-02-09
82,31895,855,5,Cupiditate aperiam temporibus.,2025-03-15
83,20353,642,5,Soluta facere voluptatem facilis provident labore illo nemo.,2024-09-16
84,14455,2528,5,Voluptatum nam unde minus assumenda consequatur reprehenderit.,2024-11-16
85,45298,514,3,Accusamus earum iusto.,2024-03-09
86,19119,3565,5,Omnis facilis iure sit adipisci adipisci.,2024-08-21
87,41401,2546,5,Rem illum excepturi dignissimos incidunt delectus occaecati.,2025-07-16
88,31788,554,4,Doloribus quos reprehenderit accusantium inventore reiciendis sunt.,2024-10-08
89,14024,3631,5,Consequuntur nisi repellat cum veritatis.,2025-06-22
90,49701,1932,5,Vero eaque ut deserunt.,2025-08-10
91,48059,2906,5,Libero autem accusantium.,2024-04-04
92,5425,1814,4,Optio fuga harum expedita illum aliquam maxime sapiente.,2024-09-10
93,5737,2941,3,Quaerat autem quis repellendus beatae autem.,2026-01-08
94,24272,3462,3,Ex exercitationem aperiam quaerat.,2026-01-21
95,40703,1077,4,Accusantium fugit consectetur explicabo.,2025-07-27
96,43821,3341,1,Animi voluptas odio nisi atque labore repellat adipisci.,2024-08-03
97,47062,5442,5,Accusamus repellendus repellat rerum explicabo.,2024-03-03
98,9168,5067,5,Temporibus dolor temporibus id.,2026-01-31
99,24297,939,5,Quos sunt facilis iusto quos labore excepturi.,2025-01-01
100,27861,823,5,A error dolores perferendis excepturi.,2024-04-09
101,31173,5303,4,Quidem voluptatem a facere.,2025-12-01
102,39491,578,4,Porro explicabo aperiam sit necessitatibus quo quidem.,2025-12-05
103,42843,2918,4,Magnam labore occaecati autem vitae.,2025-11-15
104,29314,605,4,Vitae nulla accusamus aspernatur voluptates.,2025-06-27
105,32107,3504,5,Velit sunt blanditiis voluptate.,2025-03-07
106,12150,4317,5,Magni laboriosam mollitia adipisci.,2025-11-15
107,4335,686,5,Modi unde distinctio unde neque repellat excepturi.,2025-05-01
108,40685,2694,5,Exercitationem excepturi quam dolor.,2025-04-15
109,44316,2929,1,Impedit deleniti inventore.,2024-03-08
110,19613,938,5,Commodi enim recusandae quam.,2024-09-14
111,5277,992,4,Eos facilis adipisci sequi corrupti vel in sequi.,2025-07-10
112,21960,4525,5,Debitis nisi quas aspernatur omnis.,2024-05-16
113,38223,2946,5,Maiores reiciendis debitis animi neque laboriosam eius.,2025-01-05
114,35614,2237,5,Adipisci officiis odit.,2025-04-02
115,21144,885,5,Error pariatur iste vero.,2025-12-27
116,15904,1838,4,Quam natus ut nihil sequi libero nesciunt.,2025-08-18
117,1714,964,4,Numquam eos eius non provident soluta.,2026-01-02
118,7152,4825,5,Natus rem id aperiam maxime quas unde quis.,2025-11-17
119,45093,223,5,Vel hic eum dolorum inventore.,2025-12-06
120,28865,3178,4,Sequi odit id dolore unde labore adipisci.,2024-04-23
121,23273,739,4,Tempore odio voluptate praesentium deserunt accusamus iure.,2025-01-09
122,22190,4293,1,Maiores nam tempore delectus itaque.,2025-04-30
123,26479,313,5,Magnam consequatur alias tempore facere.,2024-03-12
124,38055,2072,4,Deleniti adipisci molestiae et aut hic earum molestiae.,2024-02-20
125,28335,177,5,Exercitationem ad fuga repellendus.,2024-02-20
126,430,2477,4,Totam dolore velit.,2024-07-06
127,33675,799,5,Assumenda quasi consectetur necessitatibus.,2024-03-18
128,7650,3169,4,Ullam unde minima saepe praesentium.,2026-01-29
129,44964,2440,5,Maxime temporibus culpa aliquid iure est.,2025-02-13
130,5386,5467,4,Quod officiis qui pariatur hic.,2024-10-04
131,22690,951,5,Harum quia sit dolor fugit.,2025-10-23
132,31360,5253,4,Assumenda modi perspiciatis aliquam laboriosam occaecati alias.,2024-05-17
133,7012,4944,4,Nihil quas iure sed inventore fugiat dignissimos.,2024-02-18
134,30734,4605,5,Sed non veritatis nemo ex culpa.,2025-09-03
135,22415,4798,5,Distinctio minima expedita animi necessitatibus voluptatum.,2026-01-09
136,18733,5706,5,Quis voluptates nesciunt earum.,2025-04-13
137,7859,799,5,Illum fugit odio doloribus facere possimus.,2025-03-24
138,19664,4104,3,Placeat sit unde cum.,2024-04-25
139,40094,4342,2,Doloribus a error aspernatur ipsam ut quidem.,2025-12-01
140,43960,5440,4,Magnam vero sapiente asperiores laboriosam ad.,2024-05-26
141,15830,3623,5,Natus eum quas earum error.,2025-01-16
142,48688,1529,1,Dolorum quod eaque ad nemo incidunt.,2024-09-04
143,8250,1747,1,Repellendus libero eum facere.,2024-12-26
144,12524,342,4,Accusamus omnis cum porro.,2025-06-28
145,3505,4856,5,Vero tempore vitae deleniti voluptate deserunt molestias aperiam.,2025-02-25
146,17129,5436,5,Eveniet sequi maxime ducimus dicta optio.,2025-08-22
147,1878,2581,4,Facere sit placeat.,2025-04-05
148,19643,2039,4,Ex porro officia beatae corrupti possimus.,2026-01-01
149,16052,5672,5,Deleniti eum minus magni harum.,2024-03-19
150,41980,4971,5,Iste excepturi explicabo est ad consequatur at.,2024-12-28
151,32295,2808,5,Est dolorum repellendus repudiandae.,2026-02-02
152,6463,2831,5,Nisi aperiam aperiam placeat.,2025-03-28
153,43964,408,5,Eaque dicta nam dignissimos repellat sint dolorem commodi.,2025-03-07
154,11607,3560,4,Voluptatibus dolores corporis totam sint enim est.,2025-10-17
155,40308,565,4,Optio quidem aliquam modi.,2024-04-16
156,45514,5489,3,Quisquam id maxime fugit aliquid.,2025-11-09
157,32359,1168,4,Velit saepe consectetur accusamus molestiae sint dolorem.,2025-09-16
158,31968,2094,2,Nisi amet aliquam ullam placeat.,2025-07-13
159,31180,2124,5,Officia quia eum sequi impedit a.,2024-12-02
160,13988,3425,3,Officiis consequuntur vero vero ad.,2025-08-26
161,39306,2431,1,Maiores perferendis eligendi tempore aspernatur cumque accusantium.,2025-08-03
162,39485,1182,5,Quia aut error deserunt accusantium tenetur cupiditate.,2024-08-04
163,45836,2819,5,Explicabo officiis ullam repellat velit.,2024-10-15
164,26330,1213,5,Totam hic necessitatibus voluptates earum quibusdam repudiandae.,2024-09-02
165,39476,2883,3,Ea minima reprehenderit consequatur eum itaque fugiat.,2024-12-31
166,8215,5776,5,Modi earum magni dignissimos.,2025-05-11
167,4716,1434,5,Enim adipisci est distinctio exercitationem.,2024-05-22
168,3345,5832,5,Eum provident mollitia possimus.,2024-03-22
169,49557,4932,4,Nostrum excepturi magnam reprehenderit nihil vel.,2024-04-19
170,49614,4695,5,Odio beatae facere ipsum suscipit officiis.,2024-10-12
171,36293,2838,1,Porro facere officiis commodi et soluta.,2025-06-17
172,22791,5070,5,Veritatis dolores minus quidem.,2025-07-24
173,33247,233,4,Necessitatibus tenetur distinctio eius doloribus.,2025-06-07
174,13912,836,5,Veritatis sequi qui odit.,2024-09-25
175,3171,5609,4,Ducimus ipsa similique explicabo aperiam nulla asperiores.,2025-11-12
176,12116,5565,5,Asperiores expedita odit sit eligendi accusantium.,2025-05-13
177,28525,3290,5,Natus cupiditate sequi hic consectetur odio ad soluta.,2026-01-28
178,30614,2321,5,Sequi consequatur blanditiis tempore ut odit aliquam.,2024-07-13
179,38594,4022,1,Velit sunt fugiat.,2025-07-30
180,49953,2632,5,Eligendi blanditiis eveniet consequuntur illo delectus.,2024-11-22
181,39941,2174,2,Nesciunt reprehenderit eligendi architecto culpa accusantium provident.,2025-01-07
182,40606,5247,5,Laboriosam consequuntur quos optio distinctio inventore.,2024-10-11
183,37561,3388,3,Assumenda consequatur voluptate perferendis mollitia aliquid.,2024-02-25
184,22442,5041,5,Vitae laudantium magni corporis.,2024-08-29
185,1572,3327,5,Tempore ea porro enim non expedita placeat quas.,2024-02-19
186,39512,1401,5,Temporibus officiis provident pariatur harum dignissimos.,2025-12-10
187,23419,2884,5,Ipsum totam alias nihil vitae nisi impedit aperiam.,2026-01-21
188,44658,368,5,Ullam dignissimos repudiandae.,2024-11-02
189,22275,691,4,Tempore neque doloremque culpa soluta blanditiis aspernatur.,2025-01-10
190,24574,87,5,Quibusdam beatae vero assumenda.,2025-03-31
191,36239,1204,3,Sequi eius laudantium blanditiis.,2025-03-07
192,33735,4137,2,Aut nobis temporibus officiis eveniet vitae iusto.,2025-10-18
193,15832,1040,2,Hic at necessitatibus quod veniam vel.,2025-09-16
194,23339,646,2,Quasi accusamus debitis qui.,2024-11-21
195,21926,5663,4,Incidunt beatae nihil eveniet autem.,2024-03-06
196,24821,3829,4,Voluptatum sed molestiae illo.,2025-09-06
197,38053,2026,5,Consectetur quasi veniam minus placeat saepe.,2025-05-18
198,33442,3586,5,Consectetur corrupti voluptate.,2025-11-05
199,6742,873,5,Dolores ipsam omnis veritatis facilis.,2024-08-09
200,38715,4233,4,Aperiam et excepturi voluptas nostrum impedit fugiat.,2025-08-23
201,14660,2938,5,Error dicta beatae nam ipsum assumenda.,2024-07-22
202,3834,4940,5,Adipisci quae dolorem et doloremque aliquid ipsum.,2025-12-17
203,28004,5171,3,Eius rerum explicabo iure magni fugiat inventore.,2025-09-26
204,40094,2455,5,Error fuga tempora.,2024-10-08
205,15178,1170,4,Non mollitia atque.,2024-12-28
206,34958,309,5,Corrupti pariatur fugiat cumque illo ad.,2025-12-15
207,11715,5276,4,Minus impedit magni aliquid dolor.,2024-10-25
208,8532,3830,5,Odio eum id illum odio nobis.,2024-03-02
209,31726,4781,5,Tenetur voluptatem corporis ad.,2024-07-10
210,10354,4415,5,Recusandae architecto est labore.,2025-10-12
211,13093,1194,5,Est doloribus eius soluta libero nam.,2025-03-19
212,39385,5355,5,Atque magni repellendus consequuntur consequatur voluptatibus.,2025-12-02
213,46530,2323,5,Quia sint officiis et illum placeat.,2025-06-13
214,30810,3092,5,Recusandae velit mollitia adipisci vero voluptate fugit.,2025-07-18
215,28306,786,5,Quo numquam modi libero numquam doloribus rem.,2025-09-13
216,10923,3717,4,Ipsa porro quos molestias temporibus sit quasi.,2025-08-17
217,18959,1390,3,Pariatur architecto doloribus nemo autem ab.,2024-12-24
218,15175,1909,5,Iure dolorem ducimus sequi et distinctio ipsam.,2025-12-05
219,44755,5686,4,Voluptatibus sint ab repudiandae.,2025-02-16
220,43869,3414,5,Nisi voluptatibus consequatur dolores voluptatibus eaque.,2026-01-01
221,7594,2034,5,Neque deleniti quae facere dolor ratione temporibus.,2025-10-22
222,9370,1610,4,Ad illum quam tempora.,2025-10-09
223,38285,1108,3,Autem rerum pariatur ipsum maxime ducimus aliquid.,2024-12-17
224,25298,4802,4,Architecto tempore atque recusandae cupiditate perferendis ipsum.,2025-06-18
225,22970,3457,4,Expedita modi laudantium beatae.,2024-06-04
226,30174,5725,5,Nesciunt itaque voluptate quas laudantium adipisci perferendis.,2024-06-21
227,46056,4376,5,Mollitia ducimus inventore officiis eius dignissimos maiores quia.,2025-09-20
228,2608,5701,5,Pariatur maxime ab quos officiis error a inventore.,2024-08-07
229,16640,2180,1,Nulla rerum in.,2025-07-10
230,27586,833,5,Labore aut perferendis facilis repellat occaecati.,2024-06-06
231,47540,2446,5,Dolores hic facere ipsam numquam optio animi.,2024-07-02
232,13532,87,4,Rem deserunt necessitatibus quasi modi.,2024-05-07
233,281,580,5,Impedit in impedit ipsa nesciunt consequatur odio.,2024-11-19
234,37464,1196,4,Accusantium consequuntur officiis distinctio neque repudiandae.,2025-10-13
235,42577,4768,2,Placeat quia perspiciatis exercitationem reprehenderit facilis nesciunt.,2025-10-04
236,18350,1913,5,Minima eum autem quae illum et.,2025-11-13
237,9064,2871,5,Ratione eveniet et sequi deserunt eligendi.,2025-03-26
238,12222,1522,5,Aut nihil beatae ex explicabo placeat doloribus.,2024-06-15
239,3779,3063,4,Eius voluptatum quibusdam iste rerum quidem nisi.,2024-09-21
240,10194,2671,4,Unde fuga ab animi omnis qui.,2024-07-23
241,47347,4441,5,Nesciunt aspernatur autem magni porro earum sequi.,2024-05-23
242,38996,4528,5,Facilis dolorem ex nostrum.,2024-11-24
