summary_id,summary_date,total_revenue,total_orders,avg_order_value
1,2024-01-01,464809.63,239,1944.81
2,2024-01-02,271895.18,175,1553.69
3,2024-01-03,682015.17,478,1426.81
4,2024-01-04,48874.18,55,888.62
5,2024-01-05,266088.83,158,1684.11
6,2024-01-06,262983.49,284,926.0
7,2024-01-07,415929.93,349,1191.78
8,2024-01-08,756119.32,422,1791.75
9,2024-01-09,374149.04,221,1692.98
10,2024-01-10,390637.79,248,1575.15
11,2024-01-11,310054.99,216,1435.44
12,2024-01-12,635295.15,404,1572.51
13,2024-01-13,124652.28,155,804.21
14,2024-01-14,320865.52,234,1371.22
15,2024-01-15,544846.84,444,1227.13
16,2024-01-16,48488.45,60,808.14
17,2024-01-17,702780.0,417,1685.32
18,2024-01-18,521433.62,307,1698.48
19,2024-01-19,132061.72,68,1942.08
20,2024-01-20,506811.33,330,1535.79
21,2024-01-21,564518.78,432,1306.76
22,2024-01-22,223810.67,132,1695.54
23,2024-01-23,366951.06,438,837.79
24,2024-01-24,307463.28,253,1215.27
25,2024-01-25,873999.21,442,1977.37
26,2024-01-26,386068.13,462,835.65
27,2024-01-27,656935.58,361,1819.77
28,2024-01-28,537235.08,363,1479.99
29,2024-01-29,618912.92,423,1463.15
30,2024-01-30,265075.42,269,985.41
31,2024-01-31,227055.05,231,982.92
32,2024-02-01,303924.17,177,1717.09
33,2024-02-02,293655.28,170,1727.38
34,2024-02-03,764407.94,426,1794.38
35,2024-02-04,341226.54,297,1148.91
36,2024-02-05,73469.88,50,1469.4
37,2024-02-06,63003.0,71,887.37
38,2024-02-07,469034.07,393,1193.47
39,2024-02-08,492453.45,351,1403.0
40,2024-02-09,118622.79,127,934.04
41,2024-02-10,403816.66,453,891.43
42,2024-02-11,765272.54,431,1775.57
43,2024-02-12,759907.39,490,1550.83
44,2024-02-13,205919.32,243,847.4
45,2024-02-14,350016.67,289,1211.13
46,2024-02-15,131402.57,103,1275.75
47,2024-02-16,453267.69,397,1141.73
48,2024-02-17,508682.36,435,1169.38
49,2024-02-18,572637.27,334,1714.48
50,2024-02-19,606855.41,466,1302.26
51,2024-02-20,120812.37,67,1803.17
52,2024-02-21,204791.21,163,1256.39
53,2024-02-22,297326.12,166,1791.12
54,2024-02-23,151190.98,76,1989.35
55,2024-02-24,217122.2,182,1192.98
56,2024-02-25,414087.49,470,881.04
57,2024-02-26,714430.57,445,1605.46
58,2024-02-27,237906.62,269,884.41
59,2024-02-28,104595.57,63,1660.25
60,2024-02-29,834873.86,443,1884.59
61,2024-03-01,405210.9,341,1188.3
62,2024-03-02,320913.93,269,1192.99
63,2024-03-03,836927.41,480,1743.6
64,2024-03-04,497265.52,363,1369.88
65,2024-03-05,218120.47,157,1389.3
66,2024-03-06,610991.94,495,1234.33
67,2024-03-07,246637.42,140,1761.7
68,2024-03-08,216391.6,208,1040.34
69,2024-03-09,592515.9,382,1551.09
70,2024-03-10,391664.55,463,845.93
71,2024-03-11,100552.52,90,1117.25
72,2024-03-12,455064.53,425,1070.74
73,2024-03-13,539641.14,402,1342.39
74,2024-03-14,248428.11,188,1321.43
75,2024-03-15,245182.86,218,1124.69
76,2024-03-16,430155.18,429,1002.69
77,2024-03-17,221529.58,130,1704.07
78,2024-03-18,657736.14,390,1686.5
79,2024-03-19,949973.31,491,1934.77
80,2024-03-20,112822.54,100,1128.23
81,2024-03-21,780208.64,392,1990.33
82,2024-03-22,476849.68,271,1759.59
83,2024-03-23,436520.99,424,1029.53
84,2024-03-24,135923.36,168,809.07
85,2024-03-25,549163.53,445,1234.08
86,2024-03-26,147370.8,88,1674.67
87,2024-03-27,137964.76,146,944.96
88,2024-03-28,346186.97,320,1081.83
89,2024-03-29,345461.45,330,1046.85
90,2024-03-30,661756.56,380,1741.46
91,2024-03-31,661673.2,407,1625.73
92,2024-04-01,298342.04,150,1988.95
93,2024-04-02,259691.23,172,1509.83
94,2024-04-03,215729.86,178,1211.97
95,2024-04-04,109585.28,63,1739.45
96,2024-04-05,567804.51,372,1526.36
97,2024-04-06,368661.98,198,1861.93
98,2024-04-07,297113.58,334,889.56
99,2024-04-08,211203.58,121,1745.48
100,2024-04-09,563160.33,355,1586.37
101,2024-04-10,311486.24,204,1526.89
102,2024-04-11,508712.64,435,1169.45
103,2024-04-12,447791.62,416,1076.42
104,2024-04-13,325207.95,393,827.5
105,2024-04-14,287566.01,212,1356.44
106,2024-04-15,328912.26,242,1359.14
107,2024-04-16,329800.78,195,1691.29
108,2024-04-17,162251.13,168,965.78
109,2024-04-18,396476.83,434,913.54
110,2024-04-19,162025.01,168,964.43
111,2024-04-20,440296.36,490,898.56
112,2024-04-21,595185.51,468,1271.76
113,2024-04-22,110484.86,78,1416.47
114,2024-04-23,565536.99,424,1333.81
115,2024-04-24,88398.17,70,1262.83
116,2024-04-25,562623.13,354,1589.33
117,2024-04-26,273871.3,274,999.53
118,2024-04-27,680398.35,372,1829.03
119,2024-04-28,82745.45,63,1313.42
120,2024-04-29,530659.27,310,1711.8
121,2024-04-30,144641.76,97,1491.15
122,2024-05-01,399708.77,479,834.47
123,2024-05-02,470714.76,293,1606.54
124,2024-05-03,430191.14,391,1100.23
125,2024-05-04,830695.66,442,1879.4
126,2024-05-05,95861.75,54,1775.22
127,2024-05-06,981627.64,495,1983.09
128,2024-05-07,270779.21,228,1187.63
129,2024-05-08,143305.69,78,1837.25
130,2024-05-09,423656.87,217,1952.34
131,2024-05-10,89911.42,62,1450.18
