customer_id,tier_id,points_balance,join_date
9523,4,12288,2025-08-30
8592,4,13080,2025-12-31
45462,2,4144,2024-03-10
45639,3,6946,2022-03-17
13750,3,9993,2022-06-26
10046,3,5098,2025-07-27
19840,2,4904,2022-01-18
46935,4,14829,2023-08-03
8810,3,7414,2022-11-13
41513,2,4128,2025-03-14
17466,2,1004,2025-04-09
4024,2,3308,2022-04-21
34538,2,1101,2021-08-07
43910,3,7228,2025-07-06
45031,2,3517,2021-07-23
36800,2,1069,2023-05-31
27957,3,9214,2023-09-23
33722,4,10651,2025-09-14
13502,3,6724,2022-08-08
4373,2,3749,2024-09-21
45206,2,3210,2022-12-27
19775,4,13533,2022-05-15
49880,2,1359,2024-08-17
23163,2,3390,2025-07-27
40942,3,9530,2025-04-18
35975,2,2121,2022-03-23
4228,4,14211,2025-10-04
22671,3,6138,2023-11-02
22824,3,5368,2022-03-11
4629,4,10557,2024-12-21
29888,3,9016,2021-02-16
16426,2,4151,2022-08-31
5023,3,9114,2021-07-27
11989,1,639,2022-03-02
46450,2,4716,2024-12-30
131,2,2624,2025-01-22
23685,1,451,2022-05-13
38929,3,7528,2022-02-07
25733,2,4975,2023-07-05
26700,3,8582,2024-10-23
34616,4,13887,2022-11-14
3056,4,13887,2024-10-18
8923,2,1213,2021-03-05
39364,3,7509,2021-09-17
43451,2,4353,2023-11-09
2408,3,6836,2025-02-13
15308,4,11277,2024-11-03
28095,4,11304,2021-03-21
20614,4,14261,2022-10-23
2915,3,8119,2021-08-01
45685,4,11674,2021-07-01
5,4,12339,2024-10-22
41394,3,8565,2021-06-02
40207,2,2622,2025-03-18
21219,4,13434,2022-11-11
47588,3,8516,2025-12-06
46115,3,9540,2025-02-26
45347,1,831,2021-09-30
46258,4,10272,2026-02-02
42714,3,6251,2022-01-16
21336,3,9913,2024-11-01
12806,4,12258,2022-02-01
2868,3,5900,2022-09-08
33253,4,13153,2021-12-12
43324,3,8452,2022-11-24
9159,2,3839,2024-02-16
36555,3,9743,2025-07-05
21920,4,13203,2024-11-08
23411,4,13300,2025-09-15
22256,3,9182,2023-06-07
21880,4,11754,2024-12-25
39148,1,687,2021-10-08
49903,3,8976,2025-05-26
5210,2,4660,2021-04-05
982,3,8216,2023-10-05
33740,4,11556,2021-07-08
12863,4,13750,2023-09-15
37784,3,9940,2023-07-22
34607,3,5788,2021-07-28
30979,4,12026,2022-02-22
29823,2,1461,2024-12-15
30211,2,2034,2023-05-24
27326,3,5609,2022-03-28
30016,2,2356,2021-09-30
29107,4,10545,2025-02-11
33945,3,5161,2022-11-09
3475,2,2203,2023-10-14
17707,4,11587,2026-01-01
43045,4,10988,2023-10-24
24499,2,1846,2023-08-09
1550,2,4462,2023-05-14
12588,4,12491,2024-02-11
17023,4,10257,2024-03-17
30331,3,5950,2025-06-17
17982,3,8024,2023-12-31
16717,3,9848,2024-05-12
31008,4,12565,2023-02-20
36361,2,3535,2021-09-27
4329,4,13695,2025-07-17
47124,4,13096,2022-02-04
1131,4,13814,2024-08-21
13638,2,3940,2025-09-14
13631,2,1221,2021-07-15
5426,2,3900,2024-03-02
20078,4,11036,2021-12-21
7346,4,12289,2023-12-11
34095,4,14944,2024-06-23
8542,3,9553,2021-12-24
16316,4,13589,2023-11-29
17632,4,10680,2021-05-06
44462,2,2322,2021-03-22
10541,2,2536,2024-06-24
5074,2,2209,2025-01-20
21144,4,13080,2023-09-28
22474,3,6082,2024-01-10
8238,4,13744,2025-08-26
42293,3,7354,2023-07-14
31910,2,4303,2024-02-11
31157,3,9217,2025-07-03
32087,2,3466,2021-04-23
39181,4,10727,2022-10-10
128,2,3466,2024-07-16
36457,3,9953,2021-04-11
7177,2,1949,2024-03-29
2204,4,11535,2021-09-24
2260,4,10158,2022-11-22
39140,2,1868,2024-04-17
39963,3,6634,2023-09-06
36528,1,521,2023-11-13
40927,3,8129,2024-04-11
30022,2,3418,2026-01-03
20526,3,9929,2023-05-02
25557,4,11058,2025-06-18
41589,4,10985,2024-09-23
37650,3,8538,2024-10-04
42611,2,3725,2024-05-13
36061,3,5006,2022-06-28
45316,4,11106,2025-08-24
20404,2,2237,2024-07-08
44321,4,11831,2023-10-03
10871,3,6961,2025-10-24
11213,2,3498,2022-03-14
2844,3,7721,2021-08-11
16265,3,5892,2025-05-17
47864,2,4207,2021-10-16
44714,3,6307,2022-01-30
4285,3,9722,2025-10-18
22477,2,2633,2021-11-02
30802,4,10494,2025-12-18
31842,3,6591,2023-05-06
38592,4,11534,2025-04-26
22358,4,12898,2024-06-03
43789,2,4833,2022-09-20
9864,1,821,2024-01-30
32223,3,8916,2025-08-09
35791,3,6553,2023-10-05
21916,4,12012,2025-11-28
8620,4,11047,2023-01-15
14116,2,1419,2022-09-06
13814,1,885,2024-07-28
38268,4,12096,2021-07-15
29176,2,1561,2025-01-07
9919,4,13463,2022-12-29
26773,2,4337,2025-04-04
2190,2,4319,2021-03-03
37062,2,4035,2024-09-04
46293,4,14513,2025-01-07
26882,4,11645,2024-02-05
32499,2,4066,2023-02-07
37118,2,1166,2025-04-27
3430,2,2368,2022-08-29
1561,2,1218,2022-11-17
14529,3,5918,2024-01-06
3007,3,8531,2022-08-11
5577,2,4181,2025-07-04
41464,3,7422,2023-07-08
37914,2,3900,2023-07-28
23342,4,10404,2023-01-10
25586,4,14294,2023-02-04
12156,4,11397,2025-02-11
29202,3,6340,2021-05-29
