redemption_id,customer_id,reward_name,points_redeemed,redemption_date
1,13135,Gift Card $10,1000,2025-03-08
2,6502,Free Shipping Voucher,200,2025-07-06
3,44735,Gift Card $50,5000,2024-12-27
4,34764,Gift Card $10,1000,2026-01-05
5,39551,Free Shipping Voucher,200,2024-09-07
6,45499,Product Discount,500,2025-01-26
7,13434,Gift Card $50,5000,2024-07-04
8,30976,Gift Card $10,1000,2024-05-10
9,33810,Gift Card $10,1000,2024-04-29
10,40963,Product Discount,500,2024-09-23
11,24753,Gift Card $10,1000,2025-05-09
12,24787,Product Discount,500,2025-03-05
13,17824,Gift Card $10,1000,2024-02-24
14,9220,Gift Card $10,1000,2025-04-06
15,49952,Free Shipping Voucher,200,2024-04-09
16,17023,Gift Card $50,5000,2024-05-10
17,34585,Product Discount,500,2024-09-24
18,4757,Gift Card $50,5000,2025-07-04
19,46866,Gift Card $10,1000,2025-01-03
20,24518,Gift Card $50,5000,2025-02-10
21,19428,Free Shipping Voucher,200,2025-05-15
22,35906,Gift Card $10,1000,2024-11-20
23,17575,Free Shipping Voucher,200,2024-04-23
24,10550,Gift Card $50,5000,2025-12-27
25,21113,Gift Card $10,1000,2024-06-25
26,29870,Free Shipping Voucher,200,2025-10-13
27,20112,Free Shipping Voucher,200,2025-06-21
28,7476,Gift Card $50,5000,2025-11-23
29,11905,Product Discount,500,2025-01-12
30,4060,Gift Card $50,5000,2025-06-26
31,23213,Free Shipping Voucher,200,2025-07-13
32,27979,Free Shipping Voucher,200,2024-06-09
33,36295,Free Shipping Voucher,200,2025-12-24
34,40588,Gift Card $10,1000,2025-06-08
35,20922,Free Shipping Voucher,200,2024-12-03
36,20382,Product Discount,500,2025-05-15
37,4074,Gift Card $50,5000,2025-05-03
38,23002,Gift Card $10,1000,2024-02-17
39,23538,Gift Card $50,5000,2024-09-24
40,14510,Gift Card $10,1000,2024-10-07
41,5379,Gift Card $50,5000,2024-07-15
42,392,Gift Card $50,5000,2025-07-05
43,15486,Gift Card $10,1000,2025-11-03
44,46182,Free Shipping Voucher,200,2024-12-17
45,8211,Free Shipping Voucher,200,2024-12-05
46,8425,Free Shipping Voucher,200,2025-04-07
47,11577,Gift Card $10,1000,2025-05-05
48,39908,Product Discount,500,2024-10-27
49,9746,Gift Card $50,5000,2024-02-23
50,14969,Gift Card $50,5000,2025-09-15
51,43044,Product Discount,500,2025-05-19
52,31142,Gift Card $10,1000,2024-06-24
53,30776,Gift Card $50,5000,2025-11-24
54,10922,Product Discount,500,2025-07-29
55,27241,Free Shipping Voucher,200,2026-01-16
56,28435,Gift Card $50,5000,2024-11-30
57,3153,Product Discount,500,2024-02-20
58,29328,Free Shipping Voucher,200,2025-09-28
59,26732,Gift Card $50,5000,2024-09-22
60,3891,Gift Card $50,5000,2025-05-08
61,5267,Product Discount,500,2025-02-27
62,25560,Product Discount,500,2026-01-08
63,24875,Gift Card $10,1000,2025-01-02
64,35926,Product Discount,500,2025-01-16
65,29968,Gift Card $10,1000,2024-05-24
66,9075,Product Discount,500,2026-01-19
67,28687,Product Discount,500,2025-12-27
68,18466,Free Shipping Voucher,200,2025-08-22
69,329,Free Shipping Voucher,200,2025-11-17
70,24935,Gift Card $10,1000,2025-06-20
71,44478,Product Discount,500,2025-09-02
72,23717,Product Discount,500,2025-10-07
73,39720,Gift Card $50,5000,2024-02-16
74,14403,Gift Card $10,1000,2024-05-03
75,45009,Free Shipping Voucher,200,2024-02-27
76,16403,Gift Card $10,1000,2024-08-26
77,27893,Gift Card $50,5000,2024-11-27
78,41858,Product Discount,500,2024-03-30
79,18188,Free Shipping Voucher,200,2024-10-22
80,46331,Free Shipping Voucher,200,2024-12-05
81,27517,Gift Card $10,1000,2024-09-29
82,20015,Gift Card $50,5000,2024-03-12
83,16445,Gift Card $10,1000,2024-12-12
84,39237,Free Shipping Voucher,200,2024-06-07
85,24857,Product Discount,500,2026-01-26
86,8306,Gift Card $10,1000,2025-01-18
87,26405,Free Shipping Voucher,200,2025-10-31
88,15031,Gift Card $10,1000,2025-03-05
89,34020,Free Shipping Voucher,200,2026-01-20
90,9405,Gift Card $50,5000,2025-10-27
91,21132,Free Shipping Voucher,200,2024-06-19
92,24211,Gift Card $10,1000,2025-06-22
93,47002,Gift Card $50,5000,2026-02-07
94,31479,Gift Card $50,5000,2024-05-07
95,36281,Free Shipping Voucher,200,2025-07-21
96,15220,Gift Card $10,1000,2025-11-09
97,44596,Product Discount,500,2026-02-11
98,3554,Free Shipping Voucher,200,2025-07-18
99,32950,Gift Card $10,1000,2026-01-11
100,48661,Free Shipping Voucher,200,2025-01-01
101,49710,Product Discount,500,2024-11-21
102,34328,Product Discount,500,2024-11-28
103,34641,Gift Card $10,1000,2025-11-25
104,49995,Free Shipping Voucher,200,2025-04-08
105,28886,Free Shipping Voucher,200,2024-05-15
106,18962,Gift Card $10,1000,2025-09-18
107,41712,Free Shipping Voucher,200,2025-07-11
108,36872,Free Shipping Voucher,200,2025-07-31
109,20257,Gift Card $10,1000,2024-03-28
110,48897,Product Discount,500,2025-05-27
111,35779,Product Discount,500,2025-01-31
112,23339,Product Discount,500,2024-08-03
113,21198,Gift Card $10,1000,2024-09-06
114,33967,Gift Card $50,5000,2024-04-28
115,29936,Gift Card $10,1000,2024-10-01
116,47160,Product Discount,500,2025-02-21
117,42435,Gift Card $10,1000,2024-06-24
118,11964,Free Shipping Voucher,200,2025-05-24
119,29006,Product Discount,500,2024-12-01
120,9876,Gift Card $10,1000,2025-08-14
121,11925,Gift Card $50,5000,2024-05-21
122,13747,Gift Card $10,1000,2025-04-06
123,15138,Gift Card $50,5000,2024-03-16
124,3400,Free Shipping Voucher,200,2024-09-02
125,6407,Free Shipping Voucher,200,2025-07-03
126,31790,Gift Card $10,1000,2025-02-02
127,19697,Gift Card $50,5000,2024-06-08
128,17168,Product Discount,500,2025-04-14
129,43999,Product Discount,500,2025-11-02
130,49030,Gift Card $10,1000,2024-08-26
131,6096,Free Shipping Voucher,200,2025-07-01
132,27674,Product Discount,500,2024-12-24
133,48928,Gift Card $50,5000,2024-12-30
134,9425,Product Discount,500,2024-09-21
135,5621,Product Discount,500,2024-05-12
136,25699,Product Discount,500,2024-10-25
137,35526,Gift Card $10,1000,2024-11-14
138,2730,Product Discount,500,2026-01-13
139,16738,Product Discount,500,2025-06-14
140,1678,Free Shipping Voucher,200,2024-02-26
141,22131,Gift Card $50,5000,2024-09-25
142,31011,Free Shipping Voucher,200,2025-01-02
143,3989,Free Shipping Voucher,200,2025-11-22
144,38438,Free Shipping Voucher,200,2026-01-26
145,22264,Gift Card $10,1000,2024-05-11
146,33057,Gift Card $50,5000,2024-06-02
147,40030,Gift Card $10,1000,2025-08-11
148,39373,Gift Card $10,1000,2024-08-30
149,2615,Gift Card $10,1000,2024-10-18
150,15849,Product Discount,500,2024-04-07
151,32909,Gift Card $50,5000,2024-12-09
152,49587,Product Discount,500,2024-09-22
153,31177,Free Shipping Voucher,200,2025-03-21
154,20918,Gift Card $50,5000,2026-02-14
155,6179,Gift Card $50,5000,2024-06-01
156,13389,Product Discount,500,2025-08-19
157,11357,Free Shipping Voucher,200,2025-08-24
158,46330,Free Shipping Voucher,200,2025-01-07
159,28431,Gift Card $10,1000,2024-03-24
160,34887,Free Shipping Voucher,200,2024-11-09
161,46133,Product Discount,500,2025-12-16
162,48596,Free Shipping Voucher,200,2024-06-21
163,29474,Gift Card $10,1000,2024-03-06
164,42536,Gift Card $10,1000,2025-06-21
165,12882,Product Discount,500,2024-06-30
166,5099,Free Shipping Voucher,200,2025-04-07
167,28084,Gift Card $10,1000,2025-12-31
168,33927,Gift Card $50,5000,2024-12-28
169,19840,Free Shipping Voucher,200,2025-02-07
170,22208,Product Discount,500,2025-12-27
171,31407,Free Shipping Voucher,200,2026-01-07
172,16881,Free Shipping Voucher,200,2024-08-19
173,45535,Gift Card $50,5000,2024-06-09
174,30118,Gift Card $10,1000,2025-05-30
175,6140,Gift Card $50,5000,2024-04-10
176,45675,Gift Card $50,5000,2024-12-10
177,48635,Product Discount,500,2025-12-01
178,12468,Free Shipping Voucher,200,2025-02-14
179,43089,Product Discount,500,2025-02-13
180,23112,Gift Card $50,5000,2024-02-27
181,16935,Gift Card $50,5000,2025-06-23
182,4339,Free Shipping Voucher,200,2025-12-30
183,40655,Gift Card $50,5000,2024-09-18
184,3175,Gift Card $10,1000,2024-05-30
185,38949,Product Discount,500,2025-11-04
186,36289,Free Shipping Voucher,200,2026-01-27
187,22631,Free Shipping Voucher,200,2026-01-24
188,36696,Gift Card $10,1000,2025-01-15
189,27074,Product Discount,500,2024-06-10
190,4134,Gift Card $50,5000,2025-03-22
191,31896,Gift Card $50,5000,2024-07-05
192,4632,Free Shipping Voucher,200,2024-11-28
193,16146,Free Shipping Voucher,200,2024-04-24
194,19633,Product Discount,500,2026-02-09
195,28582,Gift Card $10,1000,2025-12-27
196,25791,Gift Card $50,5000,2025-09-08
197,47216,Gift Card $10,1000,2025-06-14
198,45361,Gift Card $50,5000,2025-01-04
199,1037,Free Shipping Voucher,200,2025-04-21
200,37166,Gift Card $10,1000,2024-11-14
201,7594,Product Discount,500,2024-04-11
202,28078,Gift Card $50,5000,2024-04-10
203,31398,Free Shipping Voucher,200,2025-01-06
204,48450,Gift Card $10,1000,2025-12-07
205,14656,Product Discount,500,2025-11-04
206,48912,Gift Card $50,5000,2025-07-25
207,12294,Gift Card $10,1000,2025-12-08
208,25030,Free Shipping Voucher,200,2026-01-03
209,3083,Gift Card $10,1000,2024-03-27
210,21335,Gift Card $50,5000,2025-07-04
211,22369,Gift Card $10,1000,2024-03-02
212,41848,Free Shipping Voucher,200,2025-01-17
213,20546,Product Discount,500,2024-03-08
214,41146,Free Shipping Voucher,200,2026-01-30
215,26686,Free Shipping Voucher,200,2025-08-05
216,31285,Product Discount,500,2024-08-12
217,28507,Free Shipping Voucher,200,2024-10-02
218,15098,Product Discount,500,2025-11-13
219,37962,Gift Card $50,5000,2025-06-12
220,24406,Gift Card $10,1000,2025-07-20
221,19963,Gift Card $50,5000,2025-04-27
222,37153,Gift Card $10,1000,2025-01-04
223,20840,Gift Card $10,1000,2024-05-15
224,1952,Product Discount,500,2024-04-07
225,33302,Gift Card $10,1000,2024-12-20
226,30999,Product Discount,500,2024-10-06
227,33279,Gift Card $10,1000,2024-09-26
228,982,Product Discount,500,2024-06-16
229,17440,Gift Card $10,1000,2026-01-16
230,17960,Gift Card $50,5000,2024-02-17
231,26890,Gift Card $10,1000,2024-05-25
232,18649,Product Discount,500,2025-04-21
233,36469,Gift Card $50,5000,2025-08-07
234,7559,Free Shipping Voucher,200,2024-06-16
235,2542,Product Discount,500,2025-06-14
236,3476,Gift Card $10,1000,2025-04-28
237,49641,Free Shipping Voucher,200,2024-12-19
238,23792,Gift Card $10,1000,2024-09-30
239,47400,Gift Card $50,5000,2024-12-16
240,7351,Product Discount,500,2024-08-10
241,16108,Product Discount,500,2024-07-08
242,7145,Gift Card $50,5000,2024-03-20
243,34496,Gift Card $10,1000,2025-02-07
244,15613,Free Shipping Voucher,200,2024-03-13
245,20594,Free Shipping Voucher,200,2026-01-23
246,24742,Product Discount,500,2024-12-13
247,24373,Product Discount,500,2025-04-22
248,10558,Gift Card $10,1000,2026-02-10
249,9862,Product Discount,500,2025-12-24
250,11914,Free Shipping Voucher,200,2024-11-01
251,4564,Product Discount,500,2025-09-02
252,39521,Free Shipping Voucher,200,2025-02-16
253,8812,Gift Card $10,1000,2024-12-23
254,21480,Gift Card $50,5000,2025-08-17
255,29535,Gift Card $10,1000,2024-09-03
256,36367,Gift Card $50,5000,2025-07-04
257,30778,Free Shipping Voucher,200,2024-10-29
258,40155,Free Shipping Voucher,200,2025-12-20
259,18866,Gift Card $10,1000,2024-05-17
260,47195,Gift Card $50,5000,2024-10-16
261,6506,Free Shipping Voucher,200,2024-03-01
262,17909,Free Shipping Voucher,200,2025-04-28
263,36645,Gift Card $10,1000,2026-01-23
264,23354,Gift Card $50,5000,2024-05-04
265,46235,Gift Card $10,1000,2024-03-06
266,2215,Gift Card $10,1000,2024-06-30
267,6504,Gift Card $10,1000,2025-12-28
268,46692,Gift Card $50,5000,2025-08-05
269,26947,Gift Card $10,1000,2024-09-25
270,7823,Gift Card $50,5000,2025-03-22
271,37296,Free Shipping Voucher,200,2025-11-28
272,44712,Free Shipping Voucher,200,2025-02-18
273,14503,Gift Card $10,1000,2025-06-03
274,46207,Free Shipping Voucher,200,2024-08-29
275,12462,Gift Card $50,5000,2024-08-26
276,40211,Product Discount,500,2025-11-05
277,15111,Product Discount,500,2025-06-30
278,35972,Product Discount,500,2025-04-09
279,27351,Gift Card $10,1000,2025-01-10
280,44074,Gift Card $50,5000,2024-08-05
281,16055,Product Discount,500,2024-12-02
282,7869,Gift Card $50,5000,2025-12-06
283,7175,Gift Card $50,5000,2025-03-11
284,44509,Gift Card $50,5000,2025-01-05
285,23748,Free Shipping Voucher,200,2025-02-05
286,16783,Free Shipping Voucher,200,2025-02-25
287,30654,Gift Card $10,1000,2024-10-14
288,23203,Gift Card $50,5000,2025-02-05
289,9847,Product Discount,500,2025-11-08
290,12960,Gift Card $10,1000,2025-01-01
291,49745,Gift Card $10,1000,2024-10-11
292,17534,Gift Card $50,5000,2026-01-19
293,5937,Free Shipping Voucher,200,2025-02-03
294,42711,Gift Card $50,5000,2025-01-27
295,17083,Gift Card $10,1000,2025-02-06
296,45014,Product Discount,500,2024-09-18
297,10590,Gift Card $10,1000,2024-12-24
298,44717,Free Shipping Voucher,200,2024-06-11
