work_order_id,product_id,line_id,start_timestamp,end_timestamp,quantity_produced,rejected_quantity,status
1,3872,3,2025-01-19 01:31:35.560604,2025-01-19 08:31:35.560604,2264,97,Completed
2,5096,8,2024-09-29 10:28:14.703786,2024-09-29 16:28:14.703786,435,15,Completed
3,5023,10,2025-11-08 23:11:41.482646,2025-11-09 04:11:41.482646,1837,50,Completed
4,3447,1,2024-12-11 17:43:51.017493,2024-12-11 21:43:51.017493,1469,4,Completed
5,5494,3,2025-09-04 03:33:56.805080,2025-09-04 14:33:56.805080,3975,65,Completed
6,1114,6,2024-04-03 04:57:04.514057,2024-04-03 05:57:04.514057,225,6,Completed
7,487,10,2025-02-20 06:36:03.667006,2025-02-20 14:36:03.667006,2855,73,Completed
8,4511,7,2025-03-17 18:50:09.056962,2025-03-18 03:50:09.056962,2828,112,Completed
9,3638,10,2025-08-19 05:13:19.063159,2025-08-19 08:13:19.063159,1164,25,Completed
10,1123,3,2025-09-03 22:02:56.237329,2025-09-04 04:02:56.237329,2170,10,Completed
11,2616,9,2025-02-20 03:59:29.890415,2025-02-20 14:59:29.890415,2897,92,Completed
12,2655,8,2025-08-19 18:07:30.932243,2025-08-20 02:07:30.932243,615,22,Completed
13,5383,6,2025-02-03 21:00:02.438236,2025-02-04 07:00:02.438236,2298,5,Completed
14,1732,3,2024-03-17 03:13:54.440588,2024-03-17 12:13:54.440588,3090,120,Completed
15,358,5,2026-01-11 17:05:31.551693,2026-01-11 23:05:31.551693,1497,40,Completed
16,345,2,2024-11-13 22:59:17.784376,2024-11-14 02:59:17.784376,799,7,Completed
17,4696,10,2025-08-02 04:47:31.781210,2025-08-02 15:47:31.781210,3577,44,Completed
18,814,7,2024-05-28 10:00:58.993104,2024-05-28 15:00:58.993104,1838,72,Completed
19,4622,6,2024-12-28 23:38:30.790732,2024-12-29 02:38:30.790732,706,28,Completed
20,4598,7,2024-07-15 08:09:05.343130,2024-07-15 11:09:05.343130,958,29,Completed
21,5051,7,2024-11-19 20:44:55.187141,2024-11-20 03:44:55.187141,2158,88,Completed
22,473,2,2024-06-27 15:05:57.088256,2024-06-27 19:05:57.088256,835,3,Completed
23,563,5,2024-04-07 02:23:19.207199,2024-04-07 05:23:19.207199,923,25,Completed
24,1179,3,2025-11-17 01:48:33.367881,2025-11-17 12:48:33.367881,3517,23,Completed
25,1465,2,2025-09-25 22:03:04.483292,2025-09-26 01:03:04.483292,523,4,Completed
26,4330,5,2025-01-03 13:51:14.281228,2025-01-03 18:51:14.281228,1361,32,Completed
27,2110,5,2025-05-22 11:24:04.802162,2025-05-22 14:24:04.802162,789,3,Completed
28,5016,2,2025-09-25 22:58:38.384789,2025-09-26 05:58:38.384789,1339,32,Completed
29,1172,2,2025-01-05 22:38:19.255405,2025-01-06 04:38:19.255405,1085,44,Completed
30,4605,4,2025-07-08 06:50:47.878033,2025-07-08 17:50:47.878033,4373,113,Completed
31,513,1,2024-03-01 03:59:30.776912,2024-03-01 06:59:30.776912,1147,18,Completed
32,4289,1,2024-09-04 22:14:54.856942,2024-09-05 09:14:54.856942,3760,38,Completed
33,5304,2,2025-10-29 07:27:13.750962,2025-10-29 09:27:13.750962,428,13,Completed
34,3659,1,2024-02-16 09:01:57.367498,2024-02-16 11:01:57.367498,729,27,Completed
35,2033,4,2025-01-30 18:54:28.077944,2025-01-31 02:54:28.077944,3831,98,Completed
36,310,2,2025-11-12 01:05:41.349678,2025-11-12 06:05:41.349678,1003,39,Completed
37,5786,10,2025-07-22 02:24:32.908521,2025-07-22 07:24:32.908521,1602,27,Completed
38,2432,5,2025-06-24 05:29:15.245386,2025-06-24 13:29:15.245386,2324,82,Completed
39,2519,9,2024-11-07 11:16:58.532156,2024-11-07 22:16:58.532156,2725,66,Completed
40,2013,1,2024-08-11 23:21:11.862018,2024-08-12 05:21:11.862018,2460,89,Completed
41,1198,4,2026-02-02 23:40:05.562768,2026-02-03 07:40:05.562768,3453,68,Completed
42,1603,9,2025-04-29 15:32:02.370982,2025-04-29 21:32:02.370982,1589,10,Completed
43,4533,4,2024-02-20 17:53:31.954624,2024-02-20 23:53:31.954624,2792,7,Completed
44,1784,8,2025-11-14 06:10:40.657071,2025-11-14 07:10:40.657071,64,2,Completed
45,3359,3,2024-03-18 14:34:11.680141,2024-03-18 21:34:11.680141,2195,96,Completed
46,1572,2,2025-02-02 20:19:02.108262,2025-02-03 01:19:02.108262,1035,29,Completed
47,1304,5,2024-07-19 00:11:10.277945,2024-07-19 04:11:10.277945,1185,7,Completed
48,5184,5,2025-08-31 13:13:04.043233,2025-08-31 14:13:04.043233,288,12,Completed
49,1929,4,2026-01-21 12:58:04.812991,2026-01-21 15:58:04.812991,1458,62,Completed
50,2845,8,2024-09-21 15:25:18.946718,2024-09-21 23:25:18.946718,532,12,Completed
51,5171,6,2024-12-29 14:50:55.318496,2024-12-30 00:50:55.318496,2393,38,Completed
52,2613,6,2026-01-08 13:08:04.572270,2026-01-08 20:08:04.572270,1593,51,Completed
53,4892,1,2024-05-04 13:35:37.792299,2024-05-04 19:35:37.792299,2331,44,Completed
