spend_id,campaign_id,spend_date,amount,platform
1,144,2024-02-23,1708.51,Google
2,84,2025-09-28,2569.39,Instagram
3,139,2024-03-05,3025.07,Google
4,2,2026-01-11,1725.82,LinkedIn
5,185,2024-09-28,4533.8,Twitter
6,115,2024-03-17,2383.73,Instagram
7,21,2024-04-15,4546.56,Twitter
8,250,2024-10-26,3266.33,Google
9,33,2025-04-07,149.94,Twitter
10,179,2024-03-30,2206.07,Facebook
11,239,2026-01-28,4815.71,Twitter
12,28,2024-02-18,1507.56,Instagram
13,56,2024-05-14,703.1,Instagram
14,158,2025-09-17,4024.23,Instagram
15,112,2026-01-02,4880.11,LinkedIn
16,23,2025-06-03,2415.95,Google
17,169,2025-08-19,3356.53,Facebook
18,40,2024-06-29,4149.19,Instagram
19,198,2025-04-15,3349.35,Instagram
20,41,2025-08-16,3159.39,Instagram
21,181,2024-05-12,4294.44,Facebook
22,240,2025-08-05,285.09,Instagram
23,248,2024-07-23,4712.57,LinkedIn
24,169,2024-01-01,1000.09,Instagram
25,182,2024-02-29,618.36,Twitter
26,211,2025-03-28,4333.9,LinkedIn
27,10,2024-02-07,4909.92,Google
28,173,2024-06-28,1294.67,Twitter
29,5,2025-11-11,4357.4,Instagram
30,29,2024-11-08,4234.3,Facebook
31,2,2024-04-18,2667.1,Twitter
32,66,2025-03-06,1637.95,Google
33,110,2024-12-28,2674.88,Twitter
34,168,2024-06-24,4037.51,LinkedIn
35,108,2025-08-18,3436.02,Twitter
36,64,2024-05-15,2943.98,LinkedIn
37,28,2024-02-05,1857.5,Facebook
38,202,2024-10-25,1907.76,Instagram
39,157,2024-05-27,1577.91,Google
40,30,2024-09-12,1381.87,Twitter
41,131,2025-03-23,2911.63,Instagram
42,30,2024-11-24,4227.9,Facebook
43,58,2025-02-09,4487.03,Twitter
44,133,2025-10-22,2624.06,Twitter
45,173,2024-03-13,820.14,Instagram
46,74,2024-06-26,827.95,Google
47,24,2026-02-06,3906.48,Facebook
48,92,2025-04-23,1000.73,Instagram
49,110,2025-11-22,2389.57,Google
50,101,2025-10-15,4401.66,Google
51,42,2025-10-15,3160.17,Instagram
52,95,2025-08-28,1759.63,Twitter
53,228,2024-07-24,1625.9,Google
54,225,2025-06-14,837.55,Google
55,58,2024-09-02,3230.54,Google
56,126,2025-02-26,148.85,Instagram
57,2,2025-01-17,2843.59,LinkedIn
58,73,2025-11-25,341.97,Twitter
59,1,2024-08-02,1995.37,Google
60,181,2025-06-24,847.15,Instagram
61,249,2026-01-05,307.58,Twitter
62,241,2024-12-22,2056.94,LinkedIn
63,107,2025-09-20,2440.84,LinkedIn
64,108,2025-09-07,4650.68,LinkedIn
65,143,2024-08-17,1375.52,Google
66,246,2025-02-19,2009.27,LinkedIn
67,169,2025-12-07,120.4,Google
68,120,2025-12-03,2786.65,Twitter
69,241,2025-04-17,3662.47,Twitter
70,112,2025-06-02,2119.21,Twitter
71,29,2024-05-18,3712.32,Facebook
72,187,2025-08-10,3317.64,Google
73,79,2025-04-20,1182.8,Twitter
74,115,2025-11-25,920.45,Twitter
75,180,2024-03-13,4783.43,Facebook
76,102,2025-07-05,579.7,Facebook
77,171,2024-03-28,4398.19,Twitter
78,246,2025-09-22,3033.47,LinkedIn
79,174,2024-03-16,2871.28,Facebook
80,111,2024-12-25,2100.74,Twitter
81,57,2025-07-29,1474.84,Facebook
82,138,2024-02-11,1497.74,LinkedIn
83,12,2024-08-02,2860.57,Instagram
84,63,2025-05-29,3483.71,Instagram
85,211,2025-04-08,621.34,Facebook
86,229,2025-05-07,2437.38,Instagram
87,221,2025-10-15,2517.7,Twitter
88,121,2025-04-26,4580.41,Instagram
89,16,2025-12-31,592.67,Twitter
90,95,2025-10-07,2595.9,Twitter
91,9,2024-08-11,694.56,Google
92,164,2025-08-28,1397.77,Facebook
93,193,2024-11-07,3579.23,Instagram
94,208,2024-09-11,1235.74,Google
95,161,2025-01-20,1097.05,LinkedIn
96,206,2026-01-25,644.03,Twitter
97,46,2025-11-18,3673.58,Twitter
98,76,2025-11-27,2011.48,Google
99,211,2025-07-02,3238.27,Google
100,91,2025-11-25,4924.4,Google
101,38,2024-08-03,3247.72,Facebook
102,179,2025-12-14,4881.93,LinkedIn
103,56,2024-06-19,2711.72,Facebook
104,237,2024-09-12,995.45,Google
105,209,2024-04-29,3702.98,Instagram
106,133,2024-03-22,3851.95,Twitter
107,119,2025-02-12,2730.84,Instagram
108,151,2024-03-08,543.66,Twitter
109,129,2025-03-29,2142.89,Twitter
110,227,2025-04-01,2850.77,Google
111,139,2025-08-12,4022.36,Facebook
112,101,2025-04-20,406.26,Instagram
113,38,2024-10-10,2707.53,LinkedIn
114,96,2024-01-29,1199.22,Google
115,201,2024-10-05,344.26,Facebook
116,74,2024-08-30,2669.0,Google
117,216,2025-03-20,2037.25,Facebook
118,114,2025-02-04,3765.84,Twitter
119,109,2024-05-11,2617.37,Facebook
120,131,2025-09-12,4458.07,LinkedIn
121,22,2025-11-21,4218.28,Facebook
122,160,2024-01-13,2489.95,Google
123,167,2024-03-09,4379.2,Twitter
124,133,2025-11-22,2063.1,Instagram
125,27,2024-02-24,4935.08,Google
126,80,2024-10-06,4257.36,LinkedIn
127,160,2025-09-21,2336.99,Google
128,168,2024-07-16,2897.86,Instagram
129,182,2026-01-10,2331.25,Facebook
130,116,2024-03-30,3355.04,Facebook
131,137,2024-04-16,1943.59,Facebook
132,185,2024-08-07,3083.49,Instagram
133,121,2024-05-11,3272.49,Twitter
134,19,2025-02-10,2708.17,LinkedIn
135,81,2024-05-29,2405.77,Facebook
136,48,2025-05-23,4152.4,Facebook
137,152,2024-07-19,2312.75,Twitter
138,73,2024-09-22,1757.91,Google
139,223,2024-05-24,4474.63,Twitter
140,138,2025-01-03,1192.75,Twitter
141,16,2024-11-29,119.59,Google
142,41,2025-11-25,2244.64,LinkedIn
143,101,2024-03-25,3520.98,Facebook
144,175,2025-11-10,3982.73,Instagram
145,146,2024-04-16,736.47,Google
146,125,2025-02-24,715.27,Instagram
147,155,2024-08-14,3891.94,Instagram
148,233,2024-01-25,1127.28,LinkedIn
149,72,2024-09-18,2866.44,Facebook
150,232,2025-01-14,3203.67,Google
151,215,2025-06-05,4440.79,Twitter
152,73,2025-09-05,1768.43,Facebook
153,66,2025-02-15,3378.22,LinkedIn
154,163,2024-05-30,1542.85,Google
155,23,2025-12-06,2111.79,LinkedIn
156,53,2025-07-11,4321.87,Facebook
157,29,2024-09-09,4628.57,Twitter
158,234,2025-05-20,4519.06,Google
159,36,2025-04-12,624.79,Instagram
160,9,2024-06-17,1210.4,LinkedIn
161,103,2024-10-26,1443.83,Instagram
162,204,2025-12-04,2647.01,Twitter
163,213,2025-03-01,4773.11,Instagram
164,143,2026-01-17,4220.39,Instagram
165,108,2024-05-04,2226.08,Facebook
166,118,2024-11-26,4554.25,Twitter
167,130,2025-04-25,2005.67,Facebook
168,81,2026-01-07,2147.57,Google
169,48,2025-11-21,1672.05,Google
170,27,2024-12-05,1585.11,Twitter
171,206,2025-01-10,1874.5,Instagram
172,76,2026-02-10,3220.15,Facebook
173,219,2024-11-02,4792.35,Google
174,140,2025-09-26,4369.46,Instagram
175,191,2025-07-26,485.62,Google
176,20,2024-09-16,4819.96,LinkedIn
177,132,2024-03-07,438.36,LinkedIn
178,199,2024-10-25,2804.13,LinkedIn
179,116,2025-04-20,1975.35,Instagram
180,248,2024-12-09,3173.63,Twitter
181,227,2024-10-25,3680.62,Facebook
182,144,2025-09-10,3916.93,Google
183,36,2025-09-24,475.59,LinkedIn
184,234,2025-04-29,3839.39,Google
185,19,2024-07-25,2489.84,Facebook
186,211,2024-06-01,3907.5,Instagram
187,182,2025-02-21,1037.18,Facebook
188,219,2026-01-22,2078.94,Twitter
189,109,2024-07-19,3704.94,LinkedIn
190,159,2024-09-07,2512.86,Twitter
191,104,2025-08-09,2732.88,Google
192,15,2025-07-04,1764.52,LinkedIn
193,73,2024-04-19,3825.73,Instagram
194,47,2024-06-03,2014.7,Instagram
195,15,2024-11-12,3470.63,LinkedIn
196,66,2025-02-05,2821.15,Google
197,28,2024-11-08,301.11,Twitter
198,117,2024-10-18,1421.82,Instagram
199,93,2025-01-28,1587.1,Facebook
200,5,2024-05-13,786.79,LinkedIn
201,35,2025-09-08,4007.03,Twitter
202,160,2025-12-03,3726.48,Google
203,25,2025-07-19,3142.57,Facebook
204,208,2025-06-08,1511.46,Twitter
205,117,2024-12-31,2282.98,LinkedIn
206,156,2024-04-27,4266.43,LinkedIn
