email_id,campaign_id,sent_date,emails_sent,emails_opened,emails_clicked
1,200,2024-12-26,43396,13436,772
2,5,2025-02-12,1791,9382,4548
3,23,2026-02-15,23412,3994,1931
4,67,2025-05-20,17963,17302,827
5,92,2024-06-09,32908,9085,842
6,144,2025-02-25,8641,10736,3804
7,96,2024-03-30,35345,9034,4622
8,159,2025-10-08,42946,6695,2772
9,173,2025-05-10,11544,12966,2491
10,27,2025-05-31,7671,4269,4885
11,228,2025-11-30,17120,15294,1935
12,157,2025-07-14,34031,8977,2666
13,221,2024-10-18,28417,7101,700
14,19,2025-01-18,9500,9335,2647
15,76,2024-06-11,40626,10581,674
16,49,2024-08-25,31583,10149,4880
17,3,2025-02-17,47758,12546,2700
18,143,2025-04-03,45881,4947,763
19,147,2025-07-14,21995,19761,1072
20,96,2025-07-24,12305,4986,3441
21,122,2025-03-31,18298,170,2401
22,33,2025-12-08,23372,19232,2076
23,200,2024-04-28,28991,13553,1354
24,212,2025-07-20,37019,12221,1884
25,16,2024-10-27,41961,4769,2414
26,144,2025-07-21,27489,11124,4397
27,110,2025-11-07,6801,13637,1322
28,211,2025-08-12,40567,14422,3770
29,108,2024-09-28,26739,6390,72
30,34,2025-04-05,29411,13192,1976
31,162,2024-01-10,33111,5583,3591
32,223,2024-10-09,10200,3225,3775
33,157,2024-07-26,1215,7049,2268
34,140,2025-01-25,38019,778,3766
35,15,2024-02-11,28696,17097,4886
36,197,2025-01-30,9926,7092,2758
37,120,2025-03-17,33614,19464,180
38,220,2024-12-02,6554,9075,3112
39,16,2025-02-06,23284,7907,767
40,17,2024-11-25,46043,19056,3099
41,108,2025-03-06,42401,17524,1524
42,168,2026-01-24,36182,6736,4359
43,144,2025-07-14,35452,19378,3267
44,157,2024-10-08,14949,7061,875
45,74,2024-01-14,20785,17411,3648
46,218,2025-07-04,7420,1576,3612
47,152,2025-11-30,23495,5887,1248
48,169,2025-05-10,28433,17682,3075
49,178,2024-08-21,37722,16850,1868
50,58,2024-05-04,42338,17826,3287
51,203,2025-06-17,24233,17611,3568
52,174,2024-07-03,11533,2757,4539
53,9,2026-01-16,32809,3320,4088
54,170,2025-10-04,42944,10296,1680
55,229,2025-09-30,32959,9446,465
56,56,2024-12-28,16367,17675,922
57,158,2024-02-28,6925,16871,1742
58,98,2025-11-19,41023,18449,1677
59,210,2024-05-28,43861,19199,232
60,167,2025-03-08,35849,15484,4654
61,216,2024-05-17,27013,16048,3005
62,68,2024-01-07,5082,19243,2646
63,116,2024-05-15,24157,649,2380
64,191,2025-05-10,45128,3741,2720
65,31,2025-04-03,45672,19046,1635
66,225,2024-07-04,23873,15385,2574
67,25,2024-07-30,17806,143,2403
68,143,2025-09-05,24361,12633,4232
69,10,2024-10-20,34633,11458,4565
70,237,2024-09-26,33241,8506,1266
71,34,2024-05-20,25868,13281,901
72,152,2025-10-29,43615,17158,3222
73,239,2025-05-05,28587,9573,660
74,25,2025-10-11,34736,1018,1146
75,20,2024-01-19,36262,17691,605
76,202,2026-02-12,9416,2314,4258
77,56,2026-01-10,11703,19904,3048
78,171,2025-02-01,15503,16782,1250
79,132,2025-08-04,9540,13761,537
80,15,2024-10-17,43020,19193,4090
81,36,2025-03-24,22824,14524,3355
82,150,2024-11-02,17964,5901,675
83,148,2026-01-02,19615,989,1122
84,66,2025-12-05,24720,4672,2160
85,193,2026-02-08,2363,1040,2429
86,211,2024-02-14,18379,11613,3699
87,110,2025-08-03,23143,6911,4612
88,140,2026-01-03,23091,3507,2272
89,105,2025-09-12,18557,18159,3393
90,79,2025-12-31,20527,16587,4045
91,39,2024-12-23,27791,11292,2876
92,84,2024-04-25,20085,4296,589
93,160,2025-07-02,15283,18425,412
94,173,2025-04-28,2085,4157,893
95,249,2025-04-06,10820,13967,2304
96,110,2025-01-29,37731,14706,1620
97,169,2024-06-25,18575,5005,4321
98,141,2025-09-29,8656,13115,534
99,78,2025-08-09,34872,17297,3337
100,2,2024-10-25,11955,9578,4434
101,115,2025-03-01,30998,2131,663
102,31,2024-06-09,26958,16232,4954
103,57,2024-11-09,27553,9010,4135
104,203,2025-02-18,32410,7254,1496
105,48,2024-11-20,15664,4991,1698
106,205,2026-02-09,3837,9570,779
107,157,2025-06-30,35748,5552,2762
108,177,2024-04-22,19851,619,3030
109,32,2024-09-28,35995,8822,646
110,89,2024-11-14,10892,1726,1698
111,135,2026-01-09,24440,10370,4047
112,169,2025-09-18,21174,8921,1247
113,233,2025-05-13,43049,15052,1755
114,28,2024-01-03,7172,608,3767
115,140,2024-12-05,34459,7765,2286
116,170,2025-06-25,25381,578,3417
