store_id,product_id,quantity_on_hand,reorder_level
86,3285,96,24
2,3922,147,36
132,5326,111,45
45,2471,163,43
13,4838,166,30
55,432,139,21
160,796,4,39
22,3393,128,47
89,2040,110,12
55,2829,105,32
145,3939,1,19
198,1656,190,18
179,2390,173,31
136,3757,198,24
189,5123,24,11
97,751,123,31
138,3925,74,41
19,2689,132,26
128,3427,157,45
142,4148,108,30
67,2570,111,32
183,1983,183,12
61,2806,45,38
184,3311,140,21
63,4404,36,36
105,4360,97,49
104,689,15,33
139,3460,195,27
175,2338,29,45
134,2464,76,35
34,4346,122,49
193,3317,86,42
99,5514,97,39
64,931,63,24
87,2984,181,16
81,461,150,48
66,5052,20,40
159,3790,83,14
83,1988,95,15
190,5496,154,32
182,2404,155,38
92,2947,187,16
136,5235,92,34
170,5758,154,10
169,2819,62,30
187,5440,57,25
168,3248,13,23
150,4475,47,10
152,3253,125,30
38,3464,54,42
130,2223,109,43
125,3645,45,24
41,1652,30,32
19,2587,64,24
105,1990,16,30
130,5140,111,36
92,1418,102,37
96,1564,51,39
62,2228,84,26
16,130,191,31
94,2689,37,38
150,5035,161,16
142,69,154,38
116,3080,146,36
56,1012,119,12
65,912,170,37
173,4684,176,16
54,468,1,39
194,654,122,18
86,5340,102,39
174,2430,13,48
161,1067,167,28
50,5295,146,44
105,5743,2,38
22,258,21,39
40,4710,186,27
39,2886,104,34
105,5153,61,12
169,1477,57,44
68,3244,80,23
7,5208,3,10
85,5532,127,48
199,3514,29,37
132,914,32,37
76,2137,95,20
91,285,160,37
187,4276,58,28
84,3389,56,25
154,884,173,24
31,3405,98,19
99,4789,88,34
197,4721,83,21
52,2125,143,23
112,3220,78,14
72,4931,164,31
21,1978,85,45
16,5223,117,14
179,3852,2,11
16,337,125,38
146,466,175,39
175,3435,9,12
56,1036,30,31
156,2605,177,46
82,5402,152,41
78,717,148,46
184,5733,96,16
37,3980,176,21
144,825,10,49
193,126,198,32
60,644,8,12
189,4052,131,22
11,4281,196,17
126,3850,17,33
66,1329,192,35
126,559,83,40
32,2762,55,47
147,2919,9,29
56,3484,187,25
5,12,67,24
131,5526,117,41
156,2752,92,38
90,5717,52,15
94,1965,105,19
72,4032,105,37
100,66,160,22
29,5298,176,19
59,1999,101,32
25,591,54,39
150,221,98,29
97,4395,172,28
101,929,108,38
117,1885,166,33
199,1531,10,22
23,933,83,39
70,3473,23,34
79,5530,179,32
79,3243,91,35
168,3898,116,10
98,1289,196,43
14,2325,73,24
29,2369,72,41
144,3007,59,47
87,73,188,46
10,3483,116,18
47,206,18,30
4,2596,40,11
12,3515,73,29
42,2399,75,23
4,4526,145,39
84,1507,13,27
92,1822,98,28
92,5330,173,42
6,273,1,14
142,361,24,38
35,4404,110,12
175,5234,32,30
186,3503,83,11
65,2396,103,47
147,2648,19,33
57,3427,45,30
193,604,50,22
13,3470,67,22
136,4644,190,44
18,163,81,48
163,5690,166,24
87,1670,165,42
114,1982,83,41
26,4670,75,25
166,2598,76,45
66,4821,7,49
26,3804,53,40
126,3337,56,36
57,4109,21,32
25,5712,120,17
30,3311,127,45
135,4975,123,29
27,5745,63,21
139,3607,183,45
101,4653,49,45
136,2864,128,40
11,597,66,30
126,1085,99,17
30,2531,156,43
94,5550,76,11
116,3756,71,38
15,459,134,43
184,41,182,36
35,2602,154,35
39,5178,71,13
24,820,2,28
8,3125,38,42
43,3121,159,31
170,190,63,46
84,5668,133,35
169,2996,103,35
47,2857,105,38
26,5285,161,12
180,2963,181,33
150,1914,88,35
133,5610,79,39
143,5050,171,41
164,1911,187,44
101,5144,188,14
63,319,83,16
93,4580,174,28
177,4663,171,36
55,5252,138,32
72,3097,135,19
60,2877,64,42
185,253,94,33
29,5,150,27
19,3396,144,32
73,2693,83,34
138,3825,40,13
101,400,139,37
138,859,20,26
57,2700,146,40
182,5313,24,45
184,4217,107,46
68,2498,53,17
197,2504,50,32
87,2987,105,17
103,226,42,20
183,3181,2,14
197,3225,6,13
72,5474,121,37
129,4270,118,42
118,1776,129,14
140,4942,184,45
163,928,32,48
116,5565,84,35
82,413,93,38
161,3632,62,27
109,3667,109,17
153,5470,180,46
16,3397,119,13
136,5591,33,36
35,3427,2,38
174,3061,47,33
139,3551,110,44
189,3790,88,46
44,2546,163,49
139,3048,48,34
139,1408,120,33
150,410,196,26
85,3032,179,49
82,5329,109,19
190,127,92,23
176,316,162,24
102,5431,55,26
63,1149,188,48
179,2249,174,42
173,5071,187,41
33,3439,72,35
60,4420,81,27
123,856,113,41
2,1887,107,18
141,4204,169,15
194,5768,185,21
57,5137,183,27
171,1279,69,32
45,3057,173,36
31,1033,16,15
138,1553,68,32
23,1530,191,16
29,51,10,46
31,5172,106,18
18,845,29,37
11,524,140,42
103,883,131,48
47,2142,178,20
3,5315,125,10
130,3013,142,27
182,1765,185,41
72,2957,51,38
159,1015,128,40
136,781,98,21
171,156,162,20
176,4217,101,17
130,4399,16,34
22,5548,36,36
124,447,148,21
133,5573,62,26
135,3420,20,27
20,5677,169,33
77,1405,144,46
130,5245,78,18
32,3154,41,29
90,2302,157,24
3,1721,184,35
169,2907,39,12
42,2690,42,31
77,5162,122,19
173,5426,53,47
101,4127,177,25
199,3799,170,20
145,5200,166,33
128,5786,156,39
47,2073,171,47
197,3107,185,43
152,1750,70,48
199,3874,31,49
123,2221,131,10
34,535,69,40
178,3946,70,13
42,2139,190,16
33,3658,62,41
123,784,104,45
27,5814,117,48
59,3652,118,18
147,626,50,41
115,398,94,25
131,3920,139,13
199,3183,163,35
128,3923,132,20
120,4474,160,14
153,2691,112,11
113,2346,83,34
15,5315,102,24
83,5810,156,12
188,1207,71,45
83,4290,118,34
23,1748,197,44
11,2613,123,37
187,4506,170,37
116,4115,16,11
162,4469,37,46
103,3954,39,17
7,111,171,49
106,866,90,25
172,2352,27,11
192,1720,197,36
114,5632,133,12
23,157,23,47
102,1589,6,13
58,1818,188,26
20,5499,2,18
155,2977,183,11
117,1733,128,37
188,3690,136,23
136,2633,127,40
101,475,67,13
195,3194,93,25
2,2235,43,36
22,1499,59,31
70,3546,142,17
103,3301,85,32
104,5710,102,37
36,3203,13,11
108,3770,23,23
24,917,85,25
140,3070,101,25
22,1637,39,26
83,1448,57,27
73,4808,189,41
124,2630,163,15
81,4153,49,40
151,2694,85,39
74,4471,143,30
191,1723,122,13
30,3879,173,26
147,5579,101,49
26,3198,25,14
128,1605,147,38
11,3402,50,16
20,564,82,33
118,1895,113,36
56,3110,9,14
173,3655,136,41
196,2415,25,31
47,1610,60,38
89,185,24,41
58,3719,28,46
10,3378,99,35
22,1864,157,37
71,296,117,12
24,4136,94,42
194,5340,4,47
96,4698,66,38
189,5122,166,11
7,3950,169,21
72,4348,198,11
127,5527,136,44
38,3665,104,35
149,1193,117,48
136,185,3,16
121,2087,45,35
89,4762,8,13
28,2143,66,38
92,4403,136,37
54,4679,84,40
159,5653,33,20
116,5108,133,31
116,2106,168,45
120,4119,128,42
41,5751,151,19
37,298,61,16
125,860,124,10
166,936,110,26
179,702,69,40
76,2829,140,30
37,3242,136,48
101,3650,177,28
31,2603,38,36
190,561,67,33
146,5467,154,14
90,1676,76,39
6,1270,105,48
137,2088,59,38
139,5578,161,27
95,4988,101,29
119,508,55,35
110,2908,23,30
120,1656,189,26
130,4096,196,29
123,4228,14,37
29,4188,148,19
110,3626,165,16
121,2269,132,17
179,5516,167,26
69,2929,1,48
151,1302,108,28
7,4164,149,21
128,5490,103,12
56,1608,117,18
127,5341,156,32
77,4167,90,15
62,2440,156,44
74,4626,153,27
15,2108,156,22
53,4553,68,38
171,445,30,20
120,740,187,19
35,543,26,17
14,5233,51,44
93,4559,1,23
197,3825,38,18
122,5430,120,38
177,1192,181,19
18,5043,62,45
179,202,111,43
129,1480,9,36
125,3673,113,25
27,3748,86,35
64,4102,185,44
60,1559,120,46
169,4708,134,16
149,5524,7,49
14,3005,168,42
116,5207,62,24
148,855,22,43
92,629,11,39
85,1316,184,47
87,5421,179,30
139,1366,118,47
120,2391,61,23
194,5162,160,19
84,841,72,15
24,2333,35,40
119,5141,22,35
89,5350,83,43
37,3518,3,26
86,4517,103,12
127,1189,160,42
152,5315,56,29
15,3361,178,31
12,1778,82,42
95,304,84,13
192,999,186,40
31,5547,73,13
181,1104,171,23
94,1044,127,14
84,5675,131,40
72,74,152,26
44,5485,140,46
30,8,70,41
35,5223,28,45
21,4952,14,30
111,1940,11,34
63,3725,95,20
92,1421,90,14
145,1257,128,22
12,2975,105,40
146,1807,41,24
92,2383,160,12
60,1762,98,35
67,47,127,28
115,4606,95,32
15,3108,92,29
16,2912,37,45
22,1279,159,31
118,3028,61,41
113,2841,122,17
95,3125,85,18
191,1110,134,47
159,4291,24,42
1,1961,197,30
75,1705,0,38
6,4676,48,46
87,2002,171,37
137,168,68,27
180,3477,164,11
62,4447,97,24
58,1890,56,11
108,2193,180,43
19,3445,192,12
109,3828,141,13
141,2906,108,12
123,2393,81,21
160,516,150,13
100,2108,49,38
9,2812,65,48
49,4060,25,47
165,3494,150,22
31,3010,19,27
159,451,158,47
59,4765,52,47
183,5020,191,37
147,1638,121,22
191,2823,60,17
130,1429,6,26
45,4302,190,24
96,4212,155,33
43,2092,22,35
98,1239,181,46
1,3636,18,17
189,2659,136,43
131,4701,67,14
91,5101,168,46
44,3891,174,20
135,3991,6,14
33,5189,22,25
137,782,166,45
30,4879,131,42
146,3198,172,44
56,4259,46,17
105,11,198,13
31,5704,73,13
200,3442,115,17
191,3477,192,37
178,3727,182,25
89,4141,67,33
1,5708,105,49
110,3815,184,33
82,3592,61,13
19,4888,97,10
115,3143,48,28
126,1817,109,43
64,3953,196,39
53,5349,198,18
6,3921,142,21
17,3966,15,36
46,4447,157,25
200,127,122,32
118,3978,158,25
73,4343,6,38
101,3179,5,35
183,4530,85,41
91,3314,191,40
6,4792,68,35
198,1537,187,30
109,2154,108,28
196,1328,40,18
40,3994,61,34
91,4826,12,14
66,1722,132,22
137,5165,85,36
11,2322,97,23
148,5561,50,17
116,2755,108,13
43,1948,197,39
58,2897,198,43
154,163,197,20
38,3481,12,48
94,4665,186,18
36,4925,173,47
183,4438,36,10
6,4306,189,21
131,3979,190,34
65,3834,131,40
124,5237,91,16
192,2617,42,34
186,3499,116,25
117,1711,40,41
186,298,168,39
18,1412,98,28
151,409,87,17
96,2850,158,33
157,1592,2,27
151,69,148,12
128,3625,20,26
36,3745,108,23
70,3326,78,38
95,2604,174,29
134,2140,70,37
162,3564,26,32
44,3156,139,30
44,842,3,32
27,158,175,23
100,5500,152,41
52,5315,95,39
170,5343,74,11
25,2663,118,13
74,5151,160,47
39,4191,37,12
167,3082,130,11
140,4936,133,25
139,1749,32,20
113,3285,192,23
3,1195,160,18
115,4910,45,46
22,5077,85,43
4,2271,135,45
136,1435,135,27
14,861,129,23
14,1998,115,36
16,1035,77,32
160,327,108,40
64,5253,196,11
16,5353,45,12
52,2619,125,25
19,5537,199,40
69,4179,135,11
140,815,166,11
93,112,103,10
5,2729,24,46
42,5385,71,11
17,4491,10,19
111,3235,126,26
72,4748,0,39
104,5260,146,34
94,3710,126,49
10,1634,17,36
