product_id,product_name,brand_id,supplier_id,price,cost_price
1,Samsung Provident Plus,1,81,140622.17,98435.52
2,Samsung Dolorum X,1,2,149225.1,104457.57
3,Samsung Cum Pro,1,,66016.8,46211.76
4,Samsung Nam Pro,1,71,6956.15,4869.3
5,Samsung Facere Max,1,75,134783.82,94348.67
6,Samsung Consectetur Plus,1,46,10912.07,7638.45
7,Samsung Corrupti,1,54,64649.49,45254.64
8,Samsung Laborum Pro,1,56,134907.91,94435.54
9,Samsung Consequuntur Pro,1,89,3441.02,2408.71
10,Samsung Quas X,1,46,101878.42,71314.89
11,Samsung Soluta Lite,1,40,132394.34,92676.04
12,Samsung Iure,1,57,44383.51,31068.46
13,Samsung Illo,1,26,110553.48,77387.44
14,Samsung Animi Max,1,4,88627.81,62039.47
15,Samsung Qui Pro,1,26,2012.46,1408.72
16,Samsung Dicta X,1,61,81037.87,56726.51
17,Samsung Aut Lite,1,13,109383.92,76568.74
18,Samsung Provident X,1,52,114860.69,80402.48
19,Samsung Praesentium Plus,1,26,134102.7,93871.89
20,Samsung Pariatur Max,1,79,30443.51,21310.46
21,Samsung Tempora X,1,26,140932.37,98652.66
22,Samsung Perferendis,1,84,14481.23,10136.86
23,Samsung Id Max,1,74,135168.35,94617.84
24,Samsung Quisquam Max,1,28,98216.36,68751.45
25,Samsung Soluta X,1,78,3372.96,2361.07
26,Samsung Deleniti Pro,1,76,128664.13,90064.89
27,Samsung Corporis Plus,1,3,121722.15,85205.5
28,Samsung Voluptatem Plus,1,6,40177.9,28124.53
29,Samsung Modi Lite,1,60,30318.42,21222.89
30,Samsung Nemo Plus,1,55,72934.35,51054.04
31,Samsung Modi Pro,1,,77523.3,54266.31
32,Samsung Numquam Lite,1,14,17535.25,12274.68
33,Samsung Quia,1,38,111471.24,78029.87
34,Samsung Aut Max,1,40,97266.84,68086.79
35,Samsung Facere Max,1,14,19545.23,13681.66
36,Samsung Aliquam Plus,1,32,138994.7,97296.29
37,Samsung Deserunt,1,64,76269.65,53388.75
38,Samsung Placeat Lite,1,50,39079.09,27355.36
39,Samsung Eius Lite,1,5,4767.03,3336.92
40,Samsung Nihil,1,29,4031.98,2822.39
41,Samsung Magnam Plus,1,4,29532.81,20672.97
42,Samsung Maxime Plus,1,75,128074.99,89652.49
43,Samsung Enim Pro,1,85,49949.79,34964.85
44,Samsung Sit Max,1,72,38158.55,26710.98
45,Samsung Cupiditate Plus,1,26,44142.2,30899.54
46,Samsung Maiores Max,1,,127602.41,89321.69
47,Samsung Expedita X,1,76,116683.19,81678.23
48,Samsung Magni Pro,1,36,3162.25,2213.57
49,Samsung Recusandae Max,1,50,132242.17,92569.52
50,Samsung Odio Max,1,28,143578.09,100504.66
51,Samsung Quam Lite,1,63,65744.34,46021.04
52,Samsung Impedit Lite,1,61,13928.47,9749.93
53,Samsung Quisquam X,1,29,111515.07,78060.55
54,Samsung Id X,1,42,30228.01,21159.61
55,Samsung Voluptate Max,1,1,57928.37,40549.86
56,Samsung Illo Plus,1,67,144478.19,101134.73
57,Samsung In,1,27,110654.04,77457.83
58,Samsung Error Lite,1,28,145049.07,101534.35
59,Samsung Ex,1,86,119622.56,83735.79
60,Samsung Eum Pro,1,34,54318.6,38023.02
61,Samsung Nesciunt Max,1,48,107473.88,75231.72
62,Samsung Cum,1,7,75443.58,52810.51
63,Samsung Placeat Max,1,37,50608.22,35425.75
64,Apple Ullam Pro,2,51,113792.18,79654.53
65,Apple Nobis Pro,2,41,49717.84,34802.49
66,Apple Distinctio Lite,2,10,119306.01,83514.21
67,Apple Inventore Max,2,26,95433.18,66803.23
68,Apple Assumenda Pro,2,5,56954.56,39868.19
69,Apple Sunt X,2,59,124922.5,87445.75
70,Apple Eius X,2,75,131162.4,91813.68
71,Apple Maiores,2,14,109041.48,76329.04
72,Apple Nulla X,2,68,111819.41,78273.59
73,Apple Facere Max,2,73,26468.92,18528.24
74,Apple Quas,2,54,138316.48,96821.54
75,Apple Iusto Max,2,48,89313.37,62519.36
76,Apple Magnam Max,2,84,104774.46,73342.12
77,Apple Nobis Pro,2,18,117080.13,81956.09
78,Apple Suscipit Plus,2,23,5003.34,3502.34
79,Apple Earum X,2,57,4355.08,3048.56
80,Apple Quam X,2,69,22492.29,15744.6
81,Apple Minus X,2,9,112357.82,78650.47
82,Apple Repudiandae Pro,2,22,111138.79,77797.15
83,Apple Corporis Pro,2,13,4896.58,3427.61
84,Apple Saepe,2,2,6342.57,4439.8
85,Apple Quaerat Max,2,81,50025.7,35017.99
86,Apple Eveniet Plus,2,3,12835.67,8984.97
87,Apple Ad X,2,82,129021.43,90315.0
88,Apple Enim Lite,2,13,105485.44,73839.81
89,Apple Veritatis Lite,2,36,127382.25,89167.58
