promo_id,promo_name,discount_percent,start_date,end_date,active
1,Balanced Sale,10,2024-08-16,2024-08-27,False
2,Devolved Sale,50,2024-12-03,2024-12-09,True
3,Cloned Sale,50,2025-07-16,2025-07-27,True
4,Monitored Sale,20,2025-05-30,2025-06-04,True
5,Adaptive Sale,25,2025-04-17,2025-04-24,True
6,Profit-focused Sale,20,2024-03-24,2024-04-05,False
7,Organic Sale,5,2024-06-17,2024-06-27,False
8,Function-based Sale,20,2024-07-07,2024-07-14,True
9,Triple-buffered Sale,25,2025-02-20,2025-02-23,True
10,Re-engineered Sale,50,2024-09-18,2024-09-28,False
11,Optional Sale,10,2025-12-21,2025-12-29,False
12,Enhanced Sale,5,2024-04-24,2024-05-07,True
13,Business-focused Sale,15,2025-06-29,2025-07-04,True
14,Integrated Sale,50,2024-07-20,2024-07-24,True
15,Focused Sale,10,2025-10-31,2025-11-04,True
16,Phased Sale,50,2024-08-17,2024-08-20,False
17,Mandatory Sale,5,2025-09-24,2025-10-08,False
18,Compatible Sale,20,2024-04-12,2024-04-18,True
19,Multi-channeled Sale,10,2025-01-03,2025-01-11,True
20,Compatible Sale,10,2025-09-13,2025-09-17,False
21,Advanced Sale,5,2024-08-14,2024-08-18,False
22,Cross-platform Sale,25,2024-05-20,2024-05-31,False
23,Diverse Sale,15,2025-04-14,2025-04-27,False
24,Configurable Sale,10,2025-03-27,2025-04-02,False
25,Synchronized Sale,10,2025-10-31,2025-11-12,True
26,Reactive Sale,50,2025-06-26,2025-07-02,False
27,Customer-focused Sale,20,2024-07-29,2024-08-01,False
28,Synchronized Sale,25,2025-04-24,2025-05-09,False
29,Multi-channeled Sale,20,2025-07-19,2025-08-01,False
30,Centralized Sale,10,2025-08-28,2025-09-09,False
31,Synergized Sale,25,2025-05-02,2025-05-16,True
32,Decentralized Sale,25,2024-09-03,2024-09-07,False
33,Right-sized Sale,5,2025-01-27,2025-02-01,False
34,Cross-platform Sale,20,2024-08-12,2024-08-27,False
35,Quality-focused Sale,5,2025-11-17,2025-11-22,False
36,Cloned Sale,25,2024-03-13,2024-03-27,False
37,Stand-alone Sale,25,2025-07-17,2025-07-26,False
38,Expanded Sale,5,2024-04-07,2024-04-12,True
39,De-engineered Sale,25,2024-02-20,2024-02-29,True
40,Polarized Sale,10,2024-05-13,2024-05-21,False
41,Compatible Sale,25,2025-12-14,2025-12-21,False
42,Mandatory Sale,20,2025-05-05,2025-05-20,False
43,Optional Sale,50,2026-01-09,2026-01-17,True
44,Up-sized Sale,50,2025-03-10,2025-03-23,False
45,Public-key Sale,10,2026-02-14,2026-02-28,False
46,Synchronized Sale,25,2025-04-07,2025-04-12,False
47,Profit-focused Sale,10,2025-01-16,2025-01-19,True
48,Adaptive Sale,15,2024-06-24,2024-07-05,False
49,Adaptive Sale,25,2024-07-17,2024-07-21,True
50,Ameliorated Sale,10,2024-12-02,2024-12-05,True
51,Distributed Sale,5,2025-05-11,2025-05-15,False
52,Customizable Sale,15,2025-12-31,2026-01-08,False
53,Phased Sale,10,2024-05-02,2024-05-16,False
54,Up-sized Sale,5,2025-05-27,2025-06-11,False
55,Implemented Sale,15,2024-08-02,2024-08-06,False
56,Profound Sale,20,2025-08-30,2025-09-11,False
57,Horizontal Sale,20,2026-02-13,2026-02-27,True
58,Virtual Sale,5,2025-05-25,2025-06-08,False
59,Triple-buffered Sale,10,2025-08-24,2025-09-05,True
