return_id,order_id,prod_id,return_date,reason,refund_amount
1,9,3641,2024-11-08,Not liked,978.31
2,34,4143,2024-04-03,Wrong Item,8770.61
3,37,842,2024-10-20,Not liked,5247.61
4,67,2421,2024-06-27,Not liked,4466.0
5,95,1386,2025-12-07,Wrong Item,4926.95
6,103,3553,2025-11-12,Wrong Item,7053.04
7,106,2301,2025-06-29,Defective,3293.86
8,127,5750,2024-02-10,Wrong Item,10536.19
9,128,1076,2025-05-19,Defective,372.44
10,149,5025,2026-02-08,Defective,9073.62
11,151,4137,2024-03-17,Not liked,1279.17
12,155,2182,2024-05-21,Wrong Item,408.05
13,182,360,2025-01-14,Defective,119848.45
14,201,4455,2025-03-12,Size issue,126.06
15,204,3134,2024-12-30,Not liked,518.95
16,228,4766,2024-01-21,Not liked,1843.13
17,238,4833,2025-06-07,Wrong Item,1134.21
18,258,3033,2024-05-16,Size issue,408.9
19,285,2285,2025-10-18,Defective,415.58
20,293,4088,2024-10-20,Size issue,3811.83
21,299,4946,2025-03-19,Defective,14525.13
22,332,1316,2026-01-30,Not liked,3953.94
23,333,557,2024-11-26,Not liked,93377.5
24,338,243,2024-08-02,Not liked,21567.92
25,377,3136,2024-12-12,Defective,723.56
26,396,729,2026-01-12,Wrong Item,594.52
27,422,3421,2025-01-08,Not liked,13741.88
28,430,999,2024-02-21,Wrong Item,2318.15
29,457,2655,2024-06-03,Defective,1865.69
30,465,793,2026-02-21,Not liked,7415.94
31,492,4086,2026-02-07,Size issue,9447.03
32,494,3698,2025-02-14,Not liked,7200.96
33,537,4443,2024-12-13,Not liked,1173.19
34,544,4912,2026-02-11,Not liked,8665.53
35,550,1718,2024-06-10,Defective,13149.92
36,560,3687,2025-07-12,Size issue,8857.11
37,603,3257,2025-02-10,Not liked,1784.92
38,606,4947,2025-03-03,Wrong Item,14244.65
39,648,734,2024-06-08,Defective,9177.71
40,657,2344,2024-07-02,Size issue,2163.5
41,670,630,2024-12-02,Wrong Item,140248.9
42,675,3739,2024-08-17,Wrong Item,9360.49
43,688,1778,2025-07-11,Wrong Item,14103.81
44,714,5619,2025-11-29,Size issue,10300.56
45,715,2309,2025-10-22,Wrong Item,3118.97
46,730,5604,2025-11-01,Defective,26810.74
47,737,46,2026-02-15,Not liked,127602.41
48,738,2074,2024-09-14,Wrong Item,1649.36
49,774,792,2025-01-31,Not liked,2931.89
50,788,2099,2026-01-14,Size issue,3876.09
51,804,4220,2024-04-15,Not liked,7899.66
52,810,81,2025-07-14,Size issue,112357.82
53,834,2848,2025-10-20,Defective,1723.78
54,898,735,2025-04-06,Not liked,1766.46
55,935,5549,2024-01-13,Size issue,25197.72
56,967,4544,2024-11-19,Wrong Item,1551.05
57,971,675,2024-03-10,Defective,1107.28
58,978,5168,2024-05-31,Size issue,2262.8
59,990,3709,2025-08-30,Wrong Item,8067.46
60,991,3077,2025-03-08,Size issue,596.49
61,994,2261,2025-05-25,Defective,485.09
62,1010,1283,2025-11-24,Wrong Item,6497.65
63,1012,5080,2025-12-27,Not liked,9287.88
64,1062,1085,2025-07-08,Wrong Item,3544.69
65,1083,5779,2025-12-31,Size issue,27761.63
66,1104,3001,2024-01-23,Size issue,1887.05
67,1131,1047,2025-02-23,Wrong Item,4012.96
68,1132,2071,2025-07-31,Not liked,2180.79
69,1153,3071,2025-07-30,Wrong Item,1599.49
70,1167,4988,2024-07-24,Not liked,12855.05
71,1183,675,2025-10-15,Defective,1107.28
72,1189,571,2026-01-02,Wrong Item,22801.99
73,1212,5650,2024-08-30,Size issue,9463.76
74,1238,1114,2025-05-16,Defective,5186.64
75,1277,4002,2025-02-12,Defective,1646.63
76,1296,4586,2025-12-22,Defective,331.5
77,1328,124,2024-03-11,Wrong Item,95057.39
78,1363,5226,2024-11-08,Defective,11976.01
79,1364,2970,2024-06-25,Defective,132.1
80,1400,1991,2025-02-11,Wrong Item,4635.86
81,1401,4262,2025-12-15,Wrong Item,6138.16
82,1406,1395,2026-02-06,Defective,3375.75
83,1466,4391,2025-01-03,Size issue,8856.95
84,1485,5435,2024-05-28,Size issue,46719.07
85,1506,3195,2024-10-23,Size issue,1469.43
86,1510,5341,2024-03-21,Defective,11817.72
87,1512,5060,2024-02-27,Size issue,12876.06
88,1517,3520,2024-07-11,Defective,5439.02
89,1525,1062,2025-11-21,Defective,1893.15
90,1526,405,2025-03-18,Defective,52904.71
91,1566,3986,2024-02-29,Not liked,9793.48
92,1603,2498,2025-01-11,Not liked,1572.78
93,1604,83,2025-03-26,Size issue,4896.58
94,1615,4976,2025-02-19,Defective,9563.98
95,1617,4639,2025-03-25,Not liked,1663.06
96,1640,4462,2024-01-18,Defective,1713.94
97,1645,3687,2024-12-13,Not liked,8857.11
98,1663,3943,2024-04-01,Defective,849.07
99,1676,850,2024-11-29,Defective,9005.76
100,1710,5013,2024-07-12,Size issue,9849.09
101,1712,4354,2025-09-19,Not liked,2981.77
102,1724,970,2024-11-22,Not liked,6386.9
103,1733,3690,2025-08-25,Wrong Item,2329.24
104,1739,3363,2025-05-23,Size issue,4418.31
105,1744,2594,2025-03-28,Size issue,1975.77
106,1772,479,2024-04-23,Wrong Item,113530.62
107,1803,3421,2026-01-01,Wrong Item,13741.88
108,1873,4084,2024-11-20,Not liked,3636.71
109,1901,2294,2024-05-12,Defective,845.08
110,1924,3910,2025-05-07,Not liked,6385.8
111,1935,5050,2024-09-26,Wrong Item,2272.27
112,2005,118,2024-04-12,Size issue,14270.95
113,2026,558,2026-02-18,Defective,69634.3
114,2049,2469,2025-01-20,Wrong Item,4895.01
115,2056,1826,2024-06-06,Defective,18447.0
116,2112,879,2025-11-22,Defective,5857.63
117,2116,5074,2025-03-17,Wrong Item,12149.93
118,2139,3167,2025-07-31,Size issue,550.84
119,2143,2404,2024-11-15,Defective,192.04
120,2147,1574,2025-12-28,Size issue,38343.51
121,2153,97,2024-02-05,Defective,52844.98
122,2159,2086,2024-12-08,Not liked,3446.56
123,2189,4091,2025-05-06,Wrong Item,239.09
124,2193,2323,2024-08-22,Not liked,3046.93
125,2209,5157,2025-05-04,Size issue,6500.14
126,2216,3420,2024-10-22,Wrong Item,11973.91
127,2233,4901,2025-05-20,Wrong Item,5656.1
128,2247,4656,2024-10-12,Wrong Item,862.67
129,2262,482,2024-07-04,Not liked,139157.82
130,2314,32,2025-11-18,Size issue,17535.25
131,2320,166,2025-03-07,Size issue,55968.08
132,2337,4732,2024-09-08,Size issue,1191.51
133,2419,2723,2025-09-27,Size issue,1819.17
134,2449,5798,2025-01-22,Wrong Item,15055.03
135,2461,5266,2025-12-05,Wrong Item,5697.76
136,2482,966,2026-03-01,Size issue,8470.1
137,2556,2316,2025-01-23,Size issue,2150.84
138,2578,3115,2024-10-02,Not liked,1866.25
139,2628,118,2025-06-11,Defective,14270.95
140,2638,905,2024-06-19,Defective,2660.55
141,2645,4824,2025-04-05,Not liked,1390.49
142,2676,816,2025-08-09,Size issue,5165.95
143,2678,1815,2024-04-22,Size issue,1265.55
144,2689,2933,2024-02-13,Defective,769.45
145,2690,3943,2024-01-19,Size issue,849.07
146,2697,2221,2024-07-22,Wrong Item,2326.34
147,2720,4160,2024-09-08,Not liked,8040.33
148,2734,3472,2024-07-17,Size issue,13893.65
149,2758,2450,2024-02-21,Size issue,477.6
150,2787,5254,2025-11-18,Not liked,4048.89
151,2812,5246,2025-03-31,Size issue,5432.47
152,2854,3583,2024-03-10,Size issue,4791.71
153,2874,233,2024-04-27,Not liked,97040.66
154,2875,1612,2025-10-10,Defective,27372.11
155,2898,35,2025-03-06,Not liked,19545.23
156,2906,2687,2024-08-26,Wrong Item,339.16
157,2920,1058,2026-02-27,Wrong Item,1514.04
158,2941,4106,2025-07-27,Wrong Item,7425.78
159,2955,2522,2025-11-22,Size issue,4039.15
160,2976,2678,2024-12-23,Not liked,1519.36
161,2985,5421,2025-09-02,Not liked,4991.28
162,2996,2797,2024-07-12,Size issue,1213.34
163,3021,3730,2025-01-08,Size issue,10641.16
164,3024,2944,2025-07-27,Defective,1010.32
165,3046,121,2024-07-23,Size issue,129246.74
166,3048,2139,2025-04-28,Wrong Item,877.44
167,3050,850,2024-06-13,Not liked,9005.76
168,3052,1230,2024-06-12,Defective,7819.45
169,3073,5574,2024-04-07,Wrong Item,7823.14
170,3103,5760,2024-08-15,Size issue,4639.8
171,3128,5788,2025-01-27,Wrong Item,37501.24
172,3144,5190,2024-05-04,Defective,13810.93
173,3150,5284,2026-03-03,Wrong Item,3433.4
174,3168,1339,2024-09-20,Size issue,1853.01
175,3184,102,2025-09-25,Defective,8052.54
176,3206,425,2024-09-21,Size issue,19077.71
177,3307,4795,2025-07-16,Defective,1466.27
178,3447,4357,2025-09-19,Size issue,4477.38
179,3453,2342,2024-09-20,Not liked,1122.97
180,3466,1854,2024-08-15,Defective,34672.71
181,3486,947,2025-10-14,Not liked,3543.28
182,3487,5179,2024-05-06,Size issue,11712.63
183,3498,5806,2025-01-12,Wrong Item,32927.08
184,3500,3239,2024-11-24,Defective,1979.16
185,3527,1117,2024-05-30,Defective,2776.15
186,3584,3055,2024-11-06,Wrong Item,653.02
187,3621,3364,2025-11-27,Wrong Item,10321.19
188,3660,522,2024-12-22,Not liked,53818.58
189,3751,1135,2025-03-10,Size issue,5783.1
190,3783,4880,2025-11-27,Defective,3522.36
191,3797,3000,2024-10-14,Not liked,903.08
192,3800,5016,2025-11-05,Not liked,6843.18
193,3822,3827,2026-01-31,Wrong Item,1241.4
194,3843,2181,2025-08-15,Not liked,2048.18
195,3872,2388,2025-08-25,Defective,2667.43
196,3884,4245,2025-10-01,Not liked,6787.61
197,3903,736,2025-04-20,Defective,8200.38
198,3942,102,2025-04-10,Size issue,8052.54
199,3968,4197,2025-07-08,Not liked,3996.61
200,3990,4832,2025-02-15,Wrong Item,310.64
201,4014,4961,2025-10-09,Size issue,8231.33
202,4027,4603,2024-07-24,Not liked,805.28
203,4038,1194,2025-05-30,Defective,8143.55
204,4057,1527,2024-07-21,Wrong Item,32993.65
205,4062,5407,2024-08-25,Not liked,5481.96
206,4075,1627,2025-09-11,Defective,31876.5
207,4082,1884,2024-03-16,Defective,10212.23
208,4097,1783,2025-11-26,Wrong Item,28728.1
209,4120,194,2025-05-06,Defective,119298.95
210,4164,566,2026-01-09,Defective,7225.64
211,4194,1890,2025-03-22,Not liked,7042.36
212,4272,4442,2024-05-02,Size issue,651.84
213,4279,4059,2026-01-18,Not liked,1420.72
214,4318,1338,2024-09-08,Not liked,4971.88
215,4323,4137,2025-11-22,Defective,1279.17
216,4374,3405,2025-08-01,Size issue,922.19
217,4417,5239,2025-08-27,Wrong Item,2843.24
218,4430,2629,2024-03-29,Defective,1837.34
219,4453,3563,2024-08-29,Wrong Item,5385.73
220,4459,5429,2025-03-15,Wrong Item,14925.02
221,4504,799,2025-11-20,Wrong Item,3719.64
222,4527,2707,2025-09-02,Wrong Item,419.41
223,4535,337,2025-12-25,Defective,90632.08
224,4537,2709,2025-09-15,Defective,1917.34
225,4557,4828,2025-05-15,Size issue,390.45
226,4560,52,2024-12-19,Not liked,13928.47
227,4572,3213,2025-03-04,Defective,617.05
228,4574,2003,2024-08-14,Wrong Item,35411.57
229,4615,3882,2024-02-23,Not liked,8374.14
230,4653,929,2024-12-07,Size issue,6484.52
231,4664,3267,2025-08-18,Not liked,3619.07
232,4694,5269,2024-12-25,Size issue,1875.33
233,4696,2284,2024-06-27,Not liked,3351.98
234,4742,742,2025-06-27,Not liked,9588.84
235,4745,3865,2025-05-29,Size issue,2224.87
236,4764,112,2025-10-01,Defective,124348.29
237,4765,5351,2024-02-01,Wrong Item,8551.79
238,4772,1221,2026-01-22,Not liked,9879.58
239,4785,2164,2024-04-09,Size issue,3338.81
240,4818,5039,2024-09-26,Defective,13921.43
241,4832,3861,2025-08-18,Size issue,5276.6
242,4864,5333,2025-06-05,Wrong Item,913.25
243,4875,5592,2024-09-25,Wrong Item,2251.14
244,4879,764,2025-05-03,Wrong Item,4144.11
245,4945,3369,2025-05-14,Defective,3454.66
246,4948,1452,2024-06-02,Wrong Item,3721.93
247,4972,533,2024-09-16,Defective,55159.62
248,4982,1456,2025-11-29,Size issue,1258.29
249,4988,2846,2024-01-30,Not liked,1783.63
250,5016,4914,2026-01-30,Wrong Item,439.39
251,5032,2967,2025-12-15,Not liked,408.26
252,5045,5399,2025-03-28,Not liked,8918.25
253,5076,681,2025-10-20,Wrong Item,2901.99
254,5091,1453,2024-11-18,Not liked,9173.17
255,5134,1791,2025-03-13,Not liked,30847.86
256,5158,5268,2024-10-13,Size issue,13516.84
257,5174,1213,2024-07-05,Defective,6574.28
258,5191,706,2024-09-26,Wrong Item,4813.6
259,5197,4449,2025-07-03,Wrong Item,1863.36
260,5263,4661,2025-06-29,Size issue,1756.21
261,5267,1380,2025-01-29,Size issue,6360.44
262,5268,5614,2024-05-11,Not liked,2300.22
263,5314,4894,2024-08-14,Size issue,14585.63
264,5386,2889,2025-08-09,Wrong Item,583.38
265,5401,1845,2025-04-14,Size issue,17716.67
266,5410,2983,2026-01-06,Defective,593.36
267,5443,3720,2025-08-22,Size issue,8463.52
268,5445,5175,2024-04-10,Defective,4572.95
269,5449,5519,2025-06-06,Wrong Item,27466.75
270,5451,461,2025-04-25,Wrong Item,54540.61
271,5467,4348,2024-03-14,Size issue,7238.85
272,5486,5416,2024-09-19,Defective,7070.42
273,5493,2777,2025-12-01,Defective,423.98
274,5495,2763,2024-07-20,Defective,176.55
275,5497,4190,2024-05-09,Wrong Item,8219.25
276,5524,1882,2025-03-21,Size issue,18171.43
277,5530,5306,2025-10-04,Not liked,6729.31
278,5536,3382,2025-04-08,Size issue,798.78
279,5582,1777,2024-06-11,Size issue,4267.76
280,5592,3975,2025-05-26,Wrong Item,5582.04
281,5596,495,2025-03-07,Not liked,146490.72
282,5666,882,2025-09-28,Not liked,3374.65
283,5668,4874,2024-12-27,Defective,216.02
284,5694,1413,2025-07-27,Not liked,2066.66
285,5704,4838,2024-04-27,Wrong Item,1649.78
286,5732,3472,2025-04-17,Defective,13893.65
287,5750,469,2024-09-05,Wrong Item,142001.91
288,5762,2622,2025-02-12,Not liked,310.36
289,5764,3711,2024-08-05,Wrong Item,13683.05
290,5768,2005,2024-10-14,Not liked,30505.52
291,5810,1003,2025-02-24,Defective,6969.71
292,5817,3072,2026-01-03,Size issue,1124.97
