store_expense_id,store_id,expense_type,amount,expense_date
1,30,Internet,3776.67,2025-05-16
2,43,Cleaning,9509.61,2025-04-27
3,69,Security,7333.34,2025-05-18
4,104,Water,6006.65,2025-08-14
5,119,Security,1602.39,2025-05-22
6,17,Electricity,1602.15,2025-06-08
7,128,Repair,627.93,2025-11-16
8,19,Water,8668.45,2025-10-31
9,64,Water,6031.09,2025-04-13
10,94,Internet,7095.32,2025-11-10
11,98,Internet,254.82,2025-12-27
12,125,Internet,9700.6,2025-07-09
13,32,Security,8332.8,2026-01-01
14,48,Electricity,2162.77,2025-10-17
15,9,Security,1859.16,2025-12-14
16,175,Internet,1874.87,2025-07-27
17,73,Internet,3077.21,2025-08-26
18,101,Security,5271.33,2025-02-19
19,122,Internet,4347.85,2025-09-08
20,183,Repair,2947.73,2025-12-12
21,39,Security,6137.94,2025-10-08
22,171,Security,1437.96,2025-12-11
23,192,Security,2956.84,2025-07-18
24,183,Security,3695.3,2025-04-29
25,186,Security,4587.9,2026-02-06
26,162,Electricity,7862.5,2026-02-14
27,70,Electricity,2036.75,2025-07-04
28,137,Repair,5166.63,2025-11-25
29,28,Electricity,5944.52,2025-08-22
30,136,Cleaning,512.18,2025-11-19
31,189,Security,6095.07,2025-04-25
32,136,Electricity,1746.72,2025-07-17
33,53,Electricity,697.26,2025-10-11
34,162,Cleaning,9491.41,2025-11-30
35,106,Internet,9658.04,2025-07-04
36,40,Internet,8093.55,2025-02-24
37,69,Repair,3080.91,2025-09-23
38,172,Cleaning,1021.84,2026-02-13
39,189,Repair,6858.12,2025-02-14
40,80,Security,4429.52,2025-03-07
41,25,Electricity,1264.28,2025-05-10
42,60,Electricity,4977.01,2025-07-20
43,88,Repair,392.17,2025-10-19
44,154,Internet,9097.74,2025-12-06
45,158,Security,2624.86,2025-09-20
46,195,Electricity,6642.1,2025-04-10
47,33,Repair,3151.53,2025-11-08
48,98,Repair,5224.68,2026-01-20
49,171,Water,5489.77,2025-09-26
50,198,Electricity,1889.3,2026-01-25
51,15,Cleaning,9697.37,2025-07-10
52,36,Repair,7762.57,2025-06-23
53,63,Water,9398.01,2025-08-04
54,57,Repair,8953.53,2025-11-27
55,155,Internet,5999.1,2025-12-11
56,165,Cleaning,9222.65,2025-02-17
57,90,Security,930.5,2025-08-30
58,91,Security,2000.03,2025-03-13
59,120,Security,500.01,2025-11-04
60,198,Security,3287.04,2025-05-03
61,193,Internet,3917.34,2025-10-26
62,196,Water,2749.92,2025-08-31
63,43,Water,8295.94,2025-09-25
64,3,Security,3599.7,2026-01-20
65,117,Cleaning,2845.3,2026-02-08
66,39,Water,5449.83,2025-07-23
67,92,Security,1452.2,2025-02-27
68,101,Water,8031.86,2025-04-15
69,198,Security,791.78,2026-02-08
70,12,Internet,9869.53,2025-03-04
71,58,Cleaning,7733.84,2025-08-31
72,133,Cleaning,2027.22,2025-07-10
73,102,Security,104.95,2025-12-21
74,47,Water,8163.84,2025-07-30
75,176,Internet,7083.23,2025-10-27
76,175,Water,7303.62,2025-06-09
77,21,Cleaning,7724.14,2026-02-10
78,145,Security,786.74,2025-12-09
79,84,Internet,3616.73,2025-08-14
80,60,Electricity,1202.9,2025-07-12
81,20,Repair,8637.88,2025-07-03
82,5,Water,6251.82,2025-11-07
83,18,Repair,3342.44,2025-06-24
84,176,Repair,682.41,2025-04-09
85,93,Internet,3144.27,2025-11-17
86,72,Internet,3285.57,2025-07-03
87,38,Repair,7309.58,2026-01-03
88,68,Cleaning,6393.7,2025-12-24
89,150,Cleaning,8877.77,2025-03-03
90,44,Water,4748.54,2025-04-23
91,102,Repair,1239.96,2025-12-24
92,24,Internet,7146.79,2025-12-25
93,134,Repair,7619.81,2025-09-08
94,61,Water,5634.71,2025-04-16
95,130,Water,7721.12,2025-04-09
96,54,Internet,4963.27,2025-05-18
97,182,Internet,5251.19,2026-02-13
98,110,Security,4304.03,2025-11-29
99,53,Repair,302.92,2026-01-29
100,138,Water,1123.52,2026-01-06
101,21,Internet,362.72,2025-12-24
102,194,Repair,6382.28,2025-10-23
103,145,Water,3177.84,2025-09-07
104,83,Cleaning,5110.28,2026-02-05
105,41,Cleaning,9080.29,2025-04-28
