ticket_id,customer_id,agent_id,category,priority,status,created_date,resolved_date,subject
1,37072,1142,Product Defect,Medium,Closed,2024-02-04,2024-02-04 02:00:00,Product Defect - Nihil non iusto vero.
2,16381,1372,Product Defect,Low,Open,2025-05-01,2025-05-01 16:00:00,Product Defect - Omnis nobis fuga neque.
3,22544,2913,Return Request,Low,Closed,2024-12-03,,Return Request - Possimus nam.
4,28814,2403,Account Update,Low,Resolved,2025-10-03,2025-10-08 20:00:00,Account Update - Distinctio necessitatibus alias minus.
5,40132,1731,Return Request,Critical,Open,2025-01-04,,Return Request - Officiis voluptatibus.
6,33861,2915,Order Status,High,Resolved,2024-01-09,2024-01-13 13:00:00,Order Status - Fugiat veritatis ex vitae similique.
7,8840,1892,Payment Failure,High,Closed,2024-01-23,2024-01-28 19:00:00,Payment Failure - Molestiae temporibus accusantium blanditiis distinctio.
8,5840,2418,Product Defect,Critical,Open,2025-12-13,2025-12-14 13:00:00,Product Defect - Porro officia.
9,8191,507,Payment Failure,Medium,Closed,2024-04-02,2024-04-04 19:00:00,Payment Failure - Voluptatibus magni molestiae.
10,20816,2254,Payment Failure,Medium,Closed,2025-09-22,2025-09-27 13:00:00,Payment Failure - Tempore atque omnis consequuntur rem.
11,6543,2183,Payment Failure,High,Closed,2025-07-14,2025-07-18 18:00:00,Payment Failure - Quos sed maiores accusamus minus.
12,28675,1414,Order Status,Low,In Progress,2026-01-09,2026-01-14 07:00:00,Order Status - Temporibus ullam deserunt sapiente iure.
13,11567,780,Payment Failure,Critical,Closed,2024-04-06,2024-04-11 16:00:00,Payment Failure - Beatae recusandae blanditiis.
14,6707,169,Payment Failure,Medium,Closed,2024-03-21,2024-03-24 13:00:00,Payment Failure - Aliquid cumque.
15,47374,1000,Return Request,Critical,Closed,2025-09-18,2025-09-18 19:00:00,Return Request - Animi consequatur optio ea.
16,4944,443,Account Update,Medium,Resolved,2025-04-15,,Account Update - Odio nam quibusdam.
17,37202,2614,Account Update,Low,In Progress,2025-08-28,2025-08-29 14:00:00,Account Update - Rerum id numquam harum.
18,49540,1350,Account Update,Medium,In Progress,2024-03-25,2024-03-30 04:00:00,Account Update - Dolore quasi quia aut architecto.
19,36849,526,Return Request,Critical,Closed,2026-01-24,2026-01-26 22:00:00,Return Request - Illo repudiandae tempore quod.
20,15553,2417,Product Defect,High,In Progress,2024-06-04,,Product Defect - Possimus quisquam corrupti placeat atque.
21,14790,2560,Payment Failure,Low,In Progress,2024-01-06,,Payment Failure - Sint explicabo iste quae.
22,44546,2605,Return Request,High,In Progress,2024-03-30,2024-04-02 21:00:00,Return Request - Omnis suscipit impedit ipsa molestias.
23,33208,309,Login Issue,High,Resolved,2026-01-28,,Login Issue - Quos quas saepe ratione omnis.
24,29214,1821,Payment Failure,High,Closed,2026-02-13,2026-02-14 00:00:00,Payment Failure - Sequi nihil.
