change_id,table_name,record_id,column_name,old_value,new_value,changed_by,changed_at,action
1773,products,3203,price,2604.05,2346.68,1034.0,2024-03-24 20:44:55,UPDATE
1231,products,1627,price,,657.26,2879.0,2025-02-04 22:14:25,UPDATE
3366,employees,2119,salary,74417,86404,2632.0,2025-02-04 21:05:49,UPDATE
5536,products,1667,price,,688.24,2375.0,2026-02-15 23:25:13,UPDATE
1126,employees,1289,salary,54963,62552,1748.0,2024-07-08 03:20:34,UPDATE
9160,products,5688,price,449.04,466.66,25.0,,update
3715,products,168,price,964.12,889.85,,2024-05-12 18:20:06,UPDATE
6623,Employees,1378,salary,66055,73227,,2024-01-12 22:36:23,UPDATE
2711,,3412,price,1001.25,999.71,2226.0,2025-10-10 16:57:14,UPDATE
5875,products,5189,,999.26,1004.27,2261.0,2025-10-01 10:07:55,UPDATE
271,employees,205,salary,41129,48381,2421.0,2024-03-19 17:50:18,update
6192,Products,3083,price,2846.68,3011.63,1587.0,2024-01-16 18:26:14,UPDATE
3522,employees,2759,salary,45857,53202,2763.0,,UPDATE
2378,Products,5030,price,2393.79,2325.26,39.0,2025-04-09 10:13:37,UPDATE
654,products,1294,price,,2179.62,,2024-08-19 05:50:10,UPDATE
6191,products,3314,price,4026.94,4145.89,110.0,2025-03-12 23:14:33,UPDATE
8884,products,2664,price,2345.65,2308.53,2596.0,2024-02-15 22:31:27,UPDATE
6267,Products,1470,price,,1557.76,1107.0,2024-05-02 03:28:40,UPDATE
8387,products,5404,price,2537.57,2293.14,122.0,2025-09-02 05:41:45,UPDATE
6934,employees,1471,salary,74642,79501,1237.0,2025-07-11 23:02:21,UPDATE
9439,products,5156,price,4403.39,4218.87,2897.0,2025-04-04 17:25:49,UPDATE
2133,employees,97,salary,34183,36804,954.0,2025-01-05 06:40:06,UPDATE
8780,products,3924,price,3988.42,3708.69,2226.0,2024-03-18 05:47:41,UPDATE
7989,products,3780,price,1864.78,2012.8,1853.0,2024-10-24 01:01:54,UPDATE
8859,products,2754,price,4281.72,4247.03,1002.0,2024-08-31 20:58:45,UPDATE
9131,employees,2115,salary,66833,79605,2838.0,2025-06-07 08:51:37,UPDATE
5744,products,3333,Price,1742.24,1691.7,1050.0,2024-12-03 06:58:12,UPDATE
8726,products,2864,price,850.75,771.7,2449.0,2025-09-21 21:39:53,UPDATE
7163,products,3148,price,3587.34,3599.59,2994.0,2025-08-27 15:34:32,UPDATE
8829,products,369,price,3758.17,3692.53,,2024-03-29 02:14:27,UPDATE
206,products,244,price,2078.42,2253.7,1622.0,2024-12-09 21:47:02,UPDATE
4600,products,899,price,1050.4,1086.2,901.0,2025-08-10 14:35:51,UPDATE
1570,products,3497,price,3490.97,3719.06,579.0,2024-09-10 01:32:45,UPDATE
9103,products,4750,,4034.63,4060.03,1616.0,2025-05-07 17:04:33,UPDATE
4529,products,5213,price,2104.53,2047.78,1504.0,2025-11-19 03:00:03,UPDATE
937,products,5504,price,2972.83,2843.38,1875.0,2024-02-16 09:39:11,UPDATE
7307,products,5728,price,3108.76,2904.87,2868.0,2025-06-27 14:15:49,UPDATE
7536,products,4435,price,1318.67,1222.5,2596.0,2025-11-09 23:46:02,UPDATE
6054,PRODUCTS,2942,price,941.78,999.98,2154.0,2025-11-08 11:27:22,UPDATE
4278,employees,1918,salary,34363,38042,1445.0,2024-08-05 09:19:04,UPDATE
9927,products,324,price,2866.73,2605.81,303.0,2025-06-11 05:02:55,UPDATE
5856,products,627,price,4862.95,4858.72,2285.0,2025-10-30 08:22:19,UPDATE
9793,products,162,price,3613.59,3303.74,602.0,,
618,,2188,salary,78482,85157,,2024-05-13 01:09:37,UPDATE
119,employees,48,SALARY,48683,57247,1962.0,2025-11-23 01:58:52,UPDATE
7883,products,4811,price,181.21,181.91,1202.0,2024-06-28 20:41:14,
2995,Products,1332,price,4533.52,4679.23,1425.0,2026-01-28 18:53:17,UPDATE
4862,Employees,693,salary,33578,39799,1676.0,2024-04-08 11:44:46,UPDATE
7038,products,689,price,3808.74,3431.91,2347.0,2025-08-31 23:59:44,UPDATE
8969,EMPLOYEES,2782,salary,34717,36945,1334.0,2024-12-21 20:17:35,UPDATE
4242,employees,2289,salary,69747,82672,1051.0,2025-07-04 12:39:48,UPDATE
2999,employees,1754,salary,33926,36086,1544.0,2024-11-03 04:00:49,UPDATE
2113,employees,1587,salary,69011,82508,2720.0,2024-01-25 20:37:05,UPDATE
4001,EMPLOYEES,682,salary,,,1291.0,2025-04-15 03:34:54,UPDATE
7266,products,479,price,2067.92,2050.21,738.0,2024-03-02 02:10:50,UPDATE
850,products,2955,price,2000.22,1938.13,5.0,2025-09-03 22:14:45,Update
922,products,1257,price,3452.84,3788.6,1664.0,2025-07-02 20:55:53,UPDATE
3187,employees,780,salary,76056,84303,771.0,,UPDATE
8456,products,1441,price,3060.41,2899.48,2541.0,2025-02-16 09:43:20,UPDATE
4551,Products,4687,price,2358.93,2343.33,523.0,2025-02-27 09:23:56,UPDATE
5113,Products,360,price,4254.01,4422.92,718.0,2025-04-25 09:44:59,UPDATE
694,Products,1932,price,340.22,339.43,2602.0,2024-06-19 21:06:20,
5441,employees,618,Salary,61228,65657,515.0,2025-01-17 04:39:16,UPDATE
5890,products,5499,price,1961.15,2113.54,1736.0,2024-03-30 22:44:17,UPDATE
8176,products,4683,price,1028.69,1127.6,1878.0,2025-07-24 03:59:08,UPDATE
82,employees,2664,salary,75886,80614,307.0,2024-09-03 19:40:15,UPDATE
9622,products,5526,price,1526.18,1469.49,2766.0,2024-07-15 09:56:16,UPDATE
17,employees,464,salary,54767,59802,331.0,2025-07-14 03:40:02,
5214,products,3677,price,492.88,510.3,,2024-05-17 17:44:06,UPDATE
2530,EMPLOYEES,2963,salary,70056,,268.0,2025-10-18 04:54:54,UPDATE
1716,products,5159,price,4558.47,4215.21,2628.0,2025-02-04 09:55:59,UPDATE
8691,products,1992,price,2220.45,2313.42,2699.0,2025-03-18 13:03:02,update
7906,employees,1259,salary,31610,37769,357.0,2025-12-06 02:19:43,UPDATE
5695,products,2962,price,2856.48,3128.79,1882.0,,UPDATE
4661,employees,2412,salary,45509,51588,1690.0,2024-11-10 11:23:04,UPDATE
2792,products,3280,price,4683.41,4391.14,679.0,2025-04-08 06:14:50,UPDATE
5388,products,3224,price,863.45,816.7,1631.0,2025-01-01 11:35:25,UPDATE
774,employees,161,salary,53082,62702,519.0,2025-07-08 08:27:56,UPDATE
5447,Products,343,price,1752.43,1615.19,826.0,2025-01-27 05:04:10,UPDATE
7635,products,2596,,2779.25,,848.0,2025-05-17 20:40:30,UPDATE
9575,Employees,1044,salary,63899,74732,2538.0,2024-11-23 09:30:44,UPDATE
8162,employees,2444,salary,73391,79409,363.0,2025-09-25 19:05:14,UPDATE
1898,products,5199,price,3629.21,3449.45,1326.0,2025-08-09 06:51:21,update
2194,products,957,price,1552.27,1417.15,1909.0,2024-11-13 01:55:11,UPDATE
7948,employees,582,salary,78542,83329,1204.0,2025-05-14 02:18:24,UPDATE
7348,employees,1217,salary,78247,82943,218.0,2024-03-24 11:06:49,UPDATE
3697,products,3510,price,2237.23,2352.58,,2025-05-27 01:18:22,UPDATE
6482,products,2642,price,4982.69,5468.08,628.0,2024-07-24 14:01:52,UPDATE
7269,products,2503,price,2827.41,2988.6,1081.0,2025-07-01 15:50:45,UPDATE
8961,employees,1130,SALARY,69136,80774,299.0,2025-04-29 20:47:26,UPDATE
2967,products,196,price,4365.65,3981.32,15.0,2025-10-07 21:52:09,Update
1481,products,690,price,1266.84,1332.9,210.0,2025-10-30 15:46:40,UPDATE
6547,products,4503,price,300.81,307.93,2527.0,2025-10-15 19:54:42,UPDATE
5826,products,1542,price,3989.32,4225.47,1152.0,2025-05-21 11:12:00,UPDATE
487,Products,2666,price,441.98,405.54,1205.0,2024-10-10 21:16:13,UPDATE
8451,products,3157,price,2941.13,2794.59,1323.0,2025-10-21 22:37:59,UPDATE
6812,products,2431,price,3242.57,3307.02,2021.0,,
8614,products,4920,price,4506.23,4455.17,2827.0,,
677,products,2074,price,2774.19,2885.5,1505.0,,UPDATE
6817,products,3904,,198.71,206.39,418.0,2025-03-03 23:05:19,UPDATE
4538,products,1679,price,3935.41,4149.45,1711.0,2024-04-25 05:52:06,UPDATE
1553,products,4651,price,739.56,801.94,832.0,2024-12-21 12:05:57,Update
9209,products,2133,price,4900.34,5137.82,1995.0,2025-02-10 21:58:02,UPDATE
9717,employees,410,salary,46205,51841,2770.0,2024-11-28 20:24:45,UPDATE
4799,employees,2484,salary,34704,37000,1951.0,2024-03-28 03:15:01,UPDATE
3614,products,5668,price,3342.6,3657.67,1847.0,2024-03-25 20:27:28,UPDATE
280,EMPLOYEES,2619,salary,46905,51540,94.0,2025-01-20 06:23:52,
6534,products,679,price,502.31,473.22,453.0,2026-01-16 21:55:15,UPDATE
2498,products,4680,price,1401.56,1517.12,,2025-09-05 20:54:07,UPDATE
866,products,2031,PRICE,1269.56,1207.19,459.0,2025-07-23 22:44:11,UPDATE
4701,employees,1846,salary,30295,35316,2735.0,2025-09-08 13:39:09,UPDATE
4308,products,1749,price,3021.43,,363.0,2024-04-01 03:56:20,
8064,products,450,,3208.52,3481.94,994.0,2024-01-05 23:18:57,UPDATE
9804,Products,5755,price,3888.99,3915.06,1852.0,2024-05-05 01:32:08,update
8329,products,3032,price,3287.65,3013.36,435.0,2025-06-15 02:45:00,UPDATE
9352,products,3071,price,4023.2,4221.9,212.0,2024-08-25 00:48:47,
2870,employees,1129,,,40310,161.0,2024-12-07 09:58:17,update
1361,employees,1734,salary,57268,63132,12.0,2024-05-19 14:11:16,UPDATE
1294,products,110,price,2287.63,2383.02,2025.0,2024-08-30 01:53:24,UPDATE
6811,products,4172,Price,1016.99,994.72,,2024-11-09 05:29:31,UPDATE
3851,products,4734,price,154.83,149.74,2102.0,2024-02-13 23:29:40,
1370,products,538,price,1387.48,,1155.0,2025-08-25 09:21:49,UPDATE
9800,products,449,PRICE,4456.87,4424.63,2122.0,2026-01-01 18:45:44,UPDATE
2477,Employees,2613,salary,37835,44008,2390.0,2025-05-25 18:15:30,Update
6247,products,4705,price,624.2,585.33,1962.0,2025-08-05 04:35:21,UPDATE
4244,products,4558,price,4058.05,3949.39,692.0,2024-02-24 13:37:48,UPDATE
7896,,4622,,3002.78,3042.4,1132.0,2025-03-22 00:30:06,UPDATE
7099,,5139,price,315.77,305.44,1727.0,2024-04-12 04:38:12,UPDATE
3330,products,4141,price,1601.19,1460.61,2231.0,2025-07-22 01:47:55,UPDATE
305,products,2828,price,2653.57,2804.93,2739.0,2025-07-16 20:32:32,Update
7960,products,1019,price,1147.95,1050.67,1163.0,2025-12-11 01:55:26,
6754,employees,1505,salary,37599,41810,1928.0,2025-12-21 15:24:49,UPDATE
