call_id,customer_id,agent_id,call_start_time,call_duration_seconds,call_reason,status
1460,44318,2259,2025-08-23 14:41:06.628478,687.0,Technical Support,Escalated
20406,40257,628,2025-11-04 01:41:46.612170,1032.0,Complaint,Pending
21156,37088,2141,,1650.0,RETURN/REFUND,Resolved
12921,42031,630,2025-02-22 13:07:01.210086,550.0,Complaint,PENDING
11536,24930,2259,2025-09-03 21:09:09.342299,208.0,ORDER INQUIRY,Pending
6391,17776,217,2025-07-07 10:54:07.895216,1267.0,RETURN/REFUND,Resolved
20520,32733,359,2025-09-27 19:24:03.537647,455.0,Account Access,Resolved
900,15852,401,2025-07-29 18:09:56.122987,174.0,Return/Refund,
14643,20433,1387,2025-05-03 02:51:19.239692,969.0,Order Inquiry,Escalated
20916,4274,1441,2025-12-10 14:41:04.143734,788.0,Product Question,Resolved
5598,48099,1372,2025-03-30 03:32:38.921276,1392.0,Product Question,Resolved
22611,19935,1403,2025-08-19 02:36:05.096593,1175.0,Technical Support,Pending
281,47563,2850,2025-08-10 13:31:22.648774,67.0,Return/Refund,Dropped
14840,23667,2939,2025-02-15 14:43:19.793351,550.0,Technical Support,Escalated
5192,563,359,2025-02-19 12:10:57.434173,1434.0,Order Inquiry,
547,40603,233,2026-02-14 08:39:50.636400,128.0,Product Question,Resolved
14536,31958,2680,2025-04-04 19:55:06.371588,929.0,,Escalated
22520,43013,1591,,,Order Inquiry,Pending
14442,5584,1661,2025-06-28 13:16:06.830948,1690.0,Product Question,Pending
24686,27824,2284,2026-01-29 22:06:01.856127,1238.0,Order Inquiry,Resolved
23089,11087,2646,2025-10-29 09:41:38.849789,574.0,PRODUCT QUESTION,Pending
23524,19507,359,2025-09-05 21:39:15.521201,805.0,Complaint,Pending
5445,11009,278,2025-04-05 10:38:01.299028,75.0,Complaint,Dropped
16301,45475,2043,2025-10-30 16:29:48.201459,354.0,complaint,Resolved
1500,1721,1822,2025-09-22 15:59:40.253186,1205.0,Billing Issue,Resolved
22615,48180,1455,,925.0,Account Access,Pending
1061,1555,895,2025-07-27 07:25:18.704713,992.0,return/refund,Pending
14849,22097,290,2025-08-02 01:52:31.554648,464.0,Order Inquiry,Escalated
8669,18438,939,2025-04-02 19:57:25.896943,1350.0,Billing Issue,Dropped
14371,5140,2303,2025-10-30 12:02:58.619583,130.0,Order Inquiry,Dropped
3433,26609,2449,2025-12-01 03:41:35.917817,741.0,Order Inquiry,Escalated
21566,37360,175,2025-11-02 19:43:26.869425,898.0,Return/Refund,Resolved
3160,14810,2785,2025-04-21 04:29:56.131667,930.0,COMPLAINT,Pending
10056,29216,2059,2026-01-12 05:30:43.519756,,Order Inquiry,
12153,6887,1416,,860.0,Return/Refund,
22527,41889,2449,2025-11-28 06:53:10.643317,246.0,Return/Refund,Pending
1529,38531,2539,2025-09-16 10:44:17.792391,888.0,Technical Support,Escalated
23372,40709,1496,2025-11-04 06:01:41.175893,1024.0,Return/Refund,Resolved
24808,27957,2303,2025-07-06 17:31:27.091975,1719.0,Return/Refund,Pending
19884,106,34,2025-06-08 17:58:35.282566,919.0,Order Inquiry,
23942,19920,2646,,78.0,Complaint,Escalated
6111,9333,1822,2025-03-28 03:26:37.694769,1372.0,Return/Refund,
8044,22931,1455,2025-04-14 12:11:51.143900,861.0,Complaint,
15509,22140,1195,2025-12-27 17:21:31.095165,126.0,Order Inquiry,escalated
21353,42813,1386,2025-06-25 10:59:36.532924,1622.0,Return/Refund,Escalated
17423,44217,353,,1457.0,RETURN/REFUND,Pending
19990,10236,1255,2026-01-05 19:42:30.640489,432.0,Return/Refund,Pending
4102,18346,1591,2025-06-08 07:50:15.335869,862.0,Product Question,
9929,9563,779,2025-09-03 19:13:56.015342,1265.0,Complaint,Escalated
4638,39930,233,2025-03-23 11:34:28.977074,1633.0,Technical Support,Escalated
16198,26520,1372,2025-06-22 05:20:23.344695,,Return/Refund,Pending
2885,19187,63,2025-10-16 14:41:40.067861,701.0,Complaint,Resolved
21815,46612,2713,2025-04-24 18:18:55.383761,,Product Question,Escalated
14926,16636,1195,2025-08-25 13:46:07.920758,77.0,Technical Support,Dropped
2930,31839,212,2025-11-20 20:00:22.149176,242.0,Order Inquiry,Dropped
6576,7318,2178,2026-01-09 13:44:20.613754,1691.0,Order Inquiry,Pending
18786,44780,2434,2025-07-21 20:49:13.139151,1024.0,Complaint,
9090,23814,2757,2025-12-29 00:40:18.171935,216.0,Billing Issue,Dropped
4936,46960,2043,2025-07-26 07:57:35.482713,1316.0,Product Question,Dropped
4949,38583,2629,2025-12-13 15:15:44.260672,1748.0,Technical Support,Pending
9880,9473,727,2025-08-30 08:11:44.012980,1034.0,Return/Refund,Dropped
20881,38408,313,2025-09-07 05:52:11.294085,1639.0,RETURN/REFUND,Dropped
20350,42090,2625,2025-04-02 22:08:27.952339,1328.0,Complaint,Escalated
11288,6636,628,2025-10-27 06:46:05.278452,415.0,Order Inquiry,Pending
22943,8004,2646,2025-04-16 05:44:10.697493,219.0,Order Inquiry,Escalated
13976,39132,1214,2025-04-29 14:30:34.486641,767.0,,Escalated
14877,39111,1528,2025-06-15 07:49:42.051190,1186.0,Account Access,Dropped
3034,39930,805,2025-06-28 23:28:50.766162,995.0,Product Question,Pending
1285,11270,1637,2025-10-04 16:26:57.217156,1006.0,Billing Issue,Dropped
16832,26080,413,2025-03-19 11:20:59.684301,1759.0,,
12610,45981,1255,2025-08-16 03:22:11.573316,1284.0,Return/Refund,Resolved
8925,29399,1372,,637.0,Order Inquiry,Dropped
