loyalty_id,customer_id,points_earned,source,date_earned
23232,8048,158.0,Purchase,2025-10-02
15119,42261,55.0,Purchase,2025-11-08
14765,10324,130.0,Referral,
20605,23340,129.0,Bonus,2026-01-07
24780,29261,23.0,Bonus,2025-06-09
4044,44044,,BONUS,2025-11-13
11933,9847,48.0,Bonus,2026-02-10
8900,8050,495.0,Referral,2025-06-18
3459,47395,179.0,Bonus,2025-02-26
2723,48715,117.0,Bonus,2026-01-16
23459,8458,366.0,Bonus,2026-02-24
8594,39355,197.0,Purchase,2025-04-23
15051,44425,288.0,Bonus,2026-02-18
5848,29112,269.0,Purchase,2025-02-28
21611,24987,99.0,Bonus,2025-11-27
22268,6843,256.0,Purchase,2025-05-02
21712,47819,411.0,Bonus,2025-07-13
3681,27620,227.0,referral,2026-01-23
1467,38945,128.0,Referral,2025-12-21
13565,20157,356.0,referral,
4716,19885,342.0,Bonus,2025-09-26
20229,40365,307.0,referral,2025-10-17
1408,3920,281.0,Bonus,2025-08-16
22252,22195,362.0,Bonus,2025-11-01
19414,3329,373.0,Bonus,2025-12-14
7,3617,383.0,Purchase,2026-01-09
15861,21868,238.0,Purchase,2025-12-05
4379,42232,175.0,PURCHASE,
5718,27489,212.0,Bonus,2025-11-28
18557,19872,278.0,Purchase,2025-03-01
3196,25286,271.0,Bonus,2025-02-28
22448,35664,144.0,purchase,2025-10-25
8343,25757,95.0,Purchase,2025-11-03
9010,22396,452.0,Purchase,2025-10-20
22148,7745,289.0,,2026-02-18
20429,17386,43.0,Purchase,2025-02-27
86,3345,134.0,Purchase,2026-01-03
919,33257,,Bonus,2025-08-05
11352,7996,194.0,Bonus,2025-11-10
14478,23366,,Purchase,2025-03-04
22121,46599,205.0,Referral,2025-06-05
14302,40053,192.0,BONUS,2025-03-24
10751,47249,12.0,,2025-07-24
7922,21566,64.0,bonus,2025-08-13
11562,49248,219.0,Bonus,2025-10-06
9527,20743,132.0,Bonus,2026-02-20
15326,35518,225.0,Bonus,2025-10-22
13077,7108,233.0,Bonus,2026-01-05
9721,19584,248.0,Purchase,2025-04-12
24717,29025,138.0,Referral,2025-12-14
3744,45208,476.0,Bonus,2025-08-02
21503,25200,195.0,Referral,2025-07-02
17890,30415,404.0,,2025-03-02
19078,18119,217.0,Bonus,2025-03-25
20428,4078,139.0,Purchase,
14360,991,24.0,Purchase,2025-04-28
14740,28644,420.0,BONUS,2025-06-12
17220,19079,97.0,Bonus,2025-10-16
15429,11544,198.0,Purchase,2025-12-23
1325,1303,99.0,Referral,2025-03-04
9929,14957,232.0,Purchase,2025-06-07
14869,24951,11.0,Referral,2025-10-14
23380,13166,81.0,Bonus,2025-12-26
15902,47592,423.0,Referral,
16648,41897,154.0,Bonus,2025-12-28
7597,26340,246.0,Bonus,2026-01-12
6800,45434,408.0,Purchase,2026-01-19
22750,14089,481.0,Referral,2026-01-26
10932,17543,24.0,Referral,2025-08-14
11835,44498,48.0,Bonus,2025-08-27
11215,11508,358.0,Bonus,2025-03-16
2661,48071,361.0,purchase,2025-07-21
19368,9083,197.0,Purchase,2025-11-23
17311,31697,83.0,Referral,2025-06-04
17194,21304,114.0,Purchase,2025-07-10
19275,39616,327.0,,2025-11-29
14439,22056,366.0,Purchase,2025-07-26
22229,23488,297.0,Bonus,2025-08-23
7548,15502,197.0,Referral,2026-01-17
1095,42425,86.0,Referral,2025-12-23
16805,24019,169.0,Purchase,2025-05-17
5750,1367,20.0,Referral,2025-07-25
24526,27416,253.0,Bonus,2025-10-16
723,10673,216.0,Referral,2025-08-17
17095,40691,495.0,Purchase,2025-05-04
11019,12216,143.0,Purchase,2025-06-28
19818,4914,250.0,Bonus,2026-01-12
6316,18643,313.0,Purchase,2026-01-09
24791,43115,443.0,Referral,
20066,27004,,Bonus,2025-12-22
18001,42845,281.0,Purchase,2025-11-30
3220,49082,213.0,Bonus,2025-07-16
8587,33399,441.0,Referral,2026-01-04
16050,28030,381.0,Bonus,2025-11-27
18860,24100,377.0,Referral,2025-03-13
16493,6976,388.0,Bonus,2025-04-06
5648,4938,76.0,REFERRAL,2025-03-19
9794,29216,303.0,Referral,2025-09-08
