review_id,customer_id,product_id,rating,review_text,review_date
20838,15648,4521,5.0,Aspernatur quia odit corrupti.,2024-04-11
9866,29120,3022,5.0,Ipsum quod fugiat dolores.,2025-09-01
9075,21580,2558,5.0,Voluptatum in ex distinctio.,2025-12-16
12996,18463,1987,5.0,LABORE ALIAS SAEPE REM QUAS ITAQUE CUM OMNIS.,2024-04-08
4198,26574,1952,5.0,Et sunt aspernatur.,
26019,47865,1201,2.0,Dolore est harum laboriosam provident reiciendis architecto.,2024-10-08
28679,34648,2172,4.0,Facere voluptatem minus nemo beatae.,2025-05-11
13801,9539,3564,5.0,Esse explicabo nesciunt natus.,2025-04-06
27527,4961,1848,1.0,Corrupti commodi modi itaque dolorum.,2024-07-26
23243,26299,3472,5.0,Ea qui eum reprehenderit.,2025-10-07
23172,7984,1538,,Voluptatem inventore rem a.,
15134,26480,1508,3.0,Eaque blanditiis odio numquam voluptate.,2025-01-02
2599,18659,1112,5.0,Expedita in laudantium commodi repellat sed.,2025-06-16
8579,34260,1364,5.0,Ut consectetur et aperiam aperiam.,2024-12-04
18978,46700,3121,4.0,,2024-12-11
11256,45341,5133,4.0,Repellat dicta quidem quis ad.,2025-02-14
712,37870,4632,5.0,Occaecati reiciendis impedit eum sint asperiores.,2026-02-05
4858,5582,5106,5.0,Magni Dolores Totam Minima Recusandae Facere Incidunt Odio.,2025-07-04
453,15647,4887,5.0,Ab ut rem vero culpa voluptatem.,2024-05-06
21103,32817,5253,5.0,illum magnam officiis repudiandae nesciunt aspernatur possimus.,2024-11-03
22473,40578,68,5.0,Accusamus vitae provident perferendis cupiditate.,2025-08-09
16037,48880,2889,4.0,nisi soluta dignissimos praesentium itaque consequuntur.,2025-11-02
13573,13649,5441,4.0,Consequatur laudantium cumque.,2026-02-20
21146,19838,2374,5.0,Iure aliquam expedita est beatae labore perferendis.,2025-05-12
5136,23319,1277,4.0,Magni nihil perspiciatis perspiciatis ad qui qui.,2026-01-24
18199,23188,2084,5.0,ipsa perferendis delectus nemo quam quo.,2025-08-20
10128,45712,3658,2.0,,2026-01-25
632,28330,657,4.0,Reprehenderit sequi rem nulla praesentium iste.,2024-05-06
17592,26793,3385,4.0,Harum doloribus molestias amet.,2025-09-16
10003,42253,240,3.0,Excepturi eveniet voluptas nesciunt animi perferendis.,2024-09-27
4568,48737,1840,4.0,Velit est totam illo.,2025-10-19
28029,34091,1747,5.0,Suscipit laborum sapiente animi ullam.,2026-01-31
148,1792,5131,5.0,Eligendi dignissimos corporis nihil quis ullam et.,2024-06-09
866,9625,723,5.0,Tenetur ex doloribus deleniti odio.,2025-02-15
24018,9966,2971,4.0,Minima porro beatae itaque.,2025-08-30
8645,34730,2719,3.0,Placeat delectus animi provident culpa.,2024-12-23
22562,20536,4689,5.0,Aliquam blanditiis voluptate voluptate temporibus ratione.,2025-08-20
16784,48587,5432,5.0,Laboriosam aperiam omnis nostrum iusto laborum.,2024-12-18
24810,47766,5083,3.0,,2024-12-16
13954,35521,5788,5.0,Vel sed aut ducimus consequatur veritatis totam pariatur.,2024-09-06
8399,11310,4736,5.0,Quis ullam esse ratione minima doloribus enim.,2024-11-02
24719,3533,970,4.0,Reiciendis amet neque saepe praesentium doloremque autem.,2024-03-09
2802,16861,5840,,Quasi aliquam temporibus recusandae natus natus.,2024-11-03
13107,22420,863,4.0,Nam cumque quod quibusdam alias.,2024-07-09
18989,6907,1699,,Totam commodi nesciunt ducimus deserunt libero est quasi.,
24556,6127,1689,3.0,Veniam adipisci aut iure quos.,2025-12-16
4454,23724,1938,5.0,Cumque cumque soluta sint.,2024-12-24
7787,26791,5838,5.0,Inventore illum cumque dolores.,2024-08-04
13463,43878,931,5.0,Tenetur natus autem corrupti magni.,2026-02-06
21043,36740,774,4.0,Quidem rerum cumque commodi nemo.,2025-12-31
12187,9867,3996,3.0,Delectus eius perspiciatis deserunt.,2025-08-10
21838,12365,3682,4.0,Ad possimus itaque cupiditate blanditiis cupiditate expedita.,2024-03-15
3219,13515,2602,5.0,Repellendus maiores doloribus quis.,2024-06-29
11920,41199,1566,5.0,Assumenda recusandae doloremque.,2025-10-30
29938,45917,2410,4.0,Facere maxime praesentium provident iure veritatis ullam.,2025-09-17
3344,21796,1354,2.0,Tempore Suscipit Incidunt.,2025-11-08
9179,43091,2257,4.0,Placeat deserunt maiores quidem voluptatem nisi.,2025-11-09
12786,34997,829,5.0,Est et ab veniam quia quas nesciunt.,2025-05-14
