summary_id,summary_date,total_revenue,total_orders,avg_order_value
359,2024-12-24,574715.15,429.0,1339.66
683,2025-11-13,481619.29,404.0,1192.13
781,2026-02-19,223816.09,213.0,1050.78
129,2024-05-08,387877.87,211.0,1838.28
268,2024-09-24,303850.78,,1133.77
479,2025-04-23,521010.64,401.0,1299.28
559,2025-07-12,479023.75,263.0,1821.38
252,2024-09-08,163554.47,87.0,1879.94
411,2025-02-14,174082.09,211.0,825.03
415,2025-02-18,508887.33,304.0,1673.97
474,2025-04-18,290257.36,344.0,843.77
44,2024-02-13,361738.3,222.0,1629.45
744,2026-01-13,678759.87,,1922.83
321,2024-11-16,441236.42,314.0,1405.21
130,2024-05-09,240570.94,278.0,865.36
292,2024-10-18,405243.38,408.0,993.24
393,2025-01-27,356707.37,213.0,1674.68
420,2025-02-23,393253.47,232.0,1695.06
54,2024-02-23,345057.46,318.0,1085.09
432,2025-03-07,100054.97,62.0,1613.79
644,2025-10-05,254958.18,179.0,1424.35
164,2024-06-12,577632.05,417.0,1385.21
458,2025-04-02,309341.88,223.0,1387.18
156,2024-06-04,601587.2,353.0,1704.21
151,2024-05-30,286893.16,229.0,1252.81
523,2025-06-06,505536.06,484.0,1044.5
640,2025-10-01,675597.64,496.0,1362.09
291,2024-10-17,62545.18,76.0,822.96
59,2024-02-28,329553.6,181.0,1820.74
124,2024-05-03,296290.2,201.0,1474.08
668,2025-10-29,244493.13,277.0,882.65
374,2025-01-08,336490.72,392.0,858.39
504,2025-05-18,257582.73,235.0,1096.1
751,2026-01-20,586700.09,326.0,1799.69
419,2025-02-22,235263.59,139.0,1692.54
159,2024-06-07,773474.8,472.0,1638.72
518,2025-06-01,460679.36,283.0,1627.84
407,2025-02-10,335121.77,274.0,1223.07
231,2024-08-18,325659.01,173.0,1882.42
772,2026-02-10,886942.67,462.0,1919.79
661,2025-10-22,140099.05,103.0,1360.18
450,2025-03-25,74210.3,60.0,1236.84
748,2026-01-17,357026.0,,1433.84
280,2024-10-06,424552.22,485.0,875.37
618,2025-09-09,470664.94,406.0,1159.27
442,2025-03-17,419958.7,269.0,1561.18
701,2025-12-01,247173.89,260.0,950.67
229,2024-08-16,363405.19,246.0,1477.26
761,2026-01-30,310583.16,227.0,1368.21
558,2025-07-11,527387.1,272.0,1938.92
608,2025-08-30,406213.76,281.0,1445.6
669,2025-10-30,251725.52,127.0,1982.09
431,2025-03-06,318636.63,194.0,1642.46
710,2025-12-10,88180.37,78.0,1130.52
222,,137323.2,69.0,1990.19
59,2024-02-28,329553.6,181.0,1820.74
516,2025-05-30,200529.73,159.0,1261.19
366,2024-12-31,778008.84,486.0,1600.84
5,2024-01-05,669129.44,426.0,1570.73
189,2024-07-07,421327.61,275.0,1532.1
338,2024-12-03,534663.03,464.0,1152.29
667,2025-10-28,166877.81,134.0,1245.36
148,2024-05-27,641786.48,417.0,1539.06
728,2025-12-28,799246.58,454.0,
665,2025-10-26,216298.21,121.0,1787.59
449,2025-03-24,191645.94,,972.82
158,2024-06-06,219258.43,245.0,894.93
629,2025-09-20,403923.71,395.0,1022.59
191,2024-07-09,222811.91,182.0,1224.24
387,2025-01-21,621015.55,382.0,1625.7
356,2024-12-21,209346.94,118.0,1774.13
81,2024-03-21,641478.0,340.0,1886.7
170,2024-06-18,812426.23,438.0,1854.85
467,2025-04-11,661849.32,367.0,1803.4
256,2024-09-12,531931.98,350.0,1519.81
352,2024-12-17,237368.25,204.0,
121,2024-04-30,861552.37,464.0,1856.79
619,2025-09-10,105845.76,66.0,1603.72
98,2024-04-07,662393.65,404.0,1639.59
688,2025-11-18,836115.35,467.0,1790.4
251,2024-09-07,591584.4,413.0,1432.41
66,2024-03-06,446078.42,348.0,1281.83
86,2024-03-26,405154.21,279.0,1452.17
401,2025-02-04,705963.14,496.0,1423.31
264,2024-09-20,329121.92,240.0,1371.34
639,2025-09-30,,310.0,1073.52
648,2025-10-09,344706.33,242.0,1424.41
530,2025-06-13,769351.51,385.0,1998.32
16,2024-01-16,,117.0,1854.58
499,2025-05-13,253144.06,269.0,941.06
184,2024-07-02,228411.47,115.0,1986.19
709,2025-12-09,372319.29,380.0,979.79
675,2025-11-05,276830.32,140.0,1977.36
255,,263737.87,177.0,1490.04
385,2025-01-19,909675.56,468.0,1943.75
758,2026-01-27,78114.54,81.0,964.38
676,2025-11-06,364480.66,221.0,1649.23
97,2024-04-06,153297.13,91.0,1684.58
95,2024-04-04,471271.16,249.0,1892.66
747,2026-01-16,,84.0,1439.88
107,,206430.39,251.0,822.43
667,2025-10-28,166877.81,134.0,1245.36
125,2024-05-04,506980.45,263.0,1927.68
