customer_id,tier_id,points_balance,join_date
15192,3,9870.0,2023-01-06
10192,3,6229.0,2024-05-30
17529,4,13854.0,2022-07-12
1343,3,8562.0,2025-07-22
17024,3,6591.0,2021-05-30
12542,4,13836.0,2024-06-20
21910,4,13297.0,2021-09-14
30854,2,1789.0,2023-11-12
10538,2,2041.0,2024-04-05
35961,2,3577.0,2022-08-12
24896,2,4231.0,2025-05-29
13257,2,1055.0,2024-06-11
20752,4,11776.0,2025-04-28
5193,4,,
10705,4,10828.0,2023-07-13
3984,4,11047.0,2023-03-27
7349,4,11188.0,2025-12-17
31269,4,14734.0,2024-04-23
44398,3,6754.0,2025-02-16
11896,4,13868.0,2022-01-05
11484,1,831.0,2024-03-02
13512,3,8268.0,2026-02-02
39328,3,5552.0,2025-09-29
40719,3,,2025-07-04
26252,3,5272.0,2021-06-11
31916,3,9555.0,2021-09-16
19555,2,3689.0,2021-07-25
40688,3,6369.0,
35734,4,,2022-01-17
13731,3,7126.0,2024-09-13
30252,4,10774.0,2021-06-03
16931,4,13025.0,2025-05-29
34063,4,,2026-01-13
8656,2,,2024-09-05
11467,1,115.0,2022-05-18
13650,4,10146.0,2025-08-24
12183,3,6603.0,2022-05-13
15397,3,5003.0,2025-09-30
38421,3,5893.0,2024-02-13
15512,3,7640.0,2024-01-24
39213,3,7337.0,2023-07-22
19685,4,14767.0,2024-05-18
15267,2,1685.0,2024-10-02
32783,2,3127.0,2023-01-21
37371,1,690.0,2022-04-30
48182,2,4744.0,2025-08-14
28390,2,,2025-02-21
5145,3,8577.0,2023-10-10
7085,3,6532.0,2022-06-30
46648,3,7680.0,2021-10-03
35385,3,6907.0,2022-12-07
10337,4,14461.0,2025-10-05
12374,2,3308.0,2022-06-11
17078,3,6568.0,
39910,4,12393.0,2021-04-25
27501,2,3883.0,2023-08-27
35975,4,13081.0,2022-09-22
45538,3,9756.0,2025-06-18
20710,4,10414.0,2021-12-12
38387,3,6730.0,2021-11-09
27407,2,3277.0,2025-02-16
17022,3,9260.0,2025-11-25
2267,3,6587.0,2024-08-04
3457,4,12676.0,2023-12-04
6498,4,12132.0,2021-10-21
27859,1,238.0,2025-01-05
20533,2,4141.0,2022-08-16
15321,2,3876.0,2024-06-01
5094,4,11753.0,2025-04-02
28406,4,14873.0,2023-01-19
24131,4,13443.0,2025-10-17
36045,4,10699.0,2024-07-15
8928,3,5061.0,2021-12-06
42691,3,7812.0,
5326,2,4645.0,2025-10-08
42684,3,7584.0,2026-01-27
22534,2,4796.0,2022-01-04
25700,3,9496.0,2023-10-08
43982,4,10176.0,2023-05-29
35663,3,8108.0,2025-07-07
17852,4,12553.0,2022-01-17
40282,3,7600.0,2022-11-11
23677,1,252.0,2021-05-13
19362,2,1928.0,2023-07-23
9153,2,4197.0,2024-10-27
14156,4,12284.0,2023-02-06
41089,1,573.0,
7344,2,2676.0,2025-07-24
19412,2,2907.0,2023-01-30
39237,3,6734.0,2025-02-04
14280,2,4936.0,2025-05-29
32901,3,5426.0,2021-05-01
41561,2,3410.0,2025-08-20
15176,2,,2022-11-25
13152,3,9903.0,2024-08-04
7827,3,6476.0,2022-04-10
22728,4,14229.0,2021-07-14
47605,4,11535.0,2021-06-13
40483,4,11705.0,2023-04-17
43161,4,12887.0,2023-02-26
679,3,,2021-03-28
18272,4,,2022-09-05
43017,3,9711.0,2023-07-29
1522,3,5009.0,2021-06-25
13115,4,,2023-05-27
45453,4,13825.0,2023-08-01
20504,4,14879.0,2023-08-10
8928,3,5061.0,2021-12-06
35644,4,,2022-04-17
33194,3,6645.0,2023-10-24
42555,2,4209.0,2024-08-07
4870,3,7289.0,2023-12-15
21568,4,11006.0,2021-08-13
49198,4,10276.0,2022-01-26
10602,3,9042.0,2022-03-27
6742,2,4544.0,2025-09-11
5372,3,9037.0,2023-08-21
38696,4,12940.0,2021-06-25
1393,3,5251.0,2025-12-20
19082,4,10109.0,2024-07-31
28352,2,2411.0,2023-07-29
48430,3,7072.0,2025-09-01
10605,3,6507.0,2022-12-31
33786,4,12217.0,2021-06-22
21249,4,13226.0,2024-05-25
23788,4,14635.0,2022-11-19
41324,2,,2025-11-13
46688,1,160.0,2021-07-10
20980,3,5518.0,2022-06-11
3913,2,3353.0,2022-11-18
5837,2,3885.0,2023-12-04
1452,4,11614.0,2023-12-27
48449,2,1500.0,2023-11-06
31260,4,11446.0,2023-02-03
6107,4,10576.0,2023-09-10
17492,2,,2025-04-16
16,3,7654.0,2024-11-07
5001,4,11886.0,2022-03-22
10656,2,1417.0,2025-04-29
7318,4,11384.0,2022-07-30
7118,2,1695.0,2022-06-23
17559,4,13717.0,2021-05-02
13820,4,13973.0,2022-04-04
13169,2,,2021-05-20
38609,3,5402.0,2025-04-03
9400,3,7757.0,2023-11-03
21105,3,9187.0,2023-02-22
11701,3,9737.0,2022-10-21
11944,3,6921.0,2023-04-28
4780,3,8687.0,
45575,4,11758.0,
28581,4,12936.0,2022-11-01
13554,4,14570.0,2022-03-22
4834,4,10239.0,2021-04-08
14832,2,1768.0,2021-10-26
10823,1,731.0,2023-12-13
26311,3,9336.0,2023-09-20
33228,4,11662.0,2021-08-03
2507,2,2422.0,2023-09-21
45207,2,1359.0,2021-06-18
14550,4,12117.0,2025-02-13
11026,1,543.0,2025-05-13
18881,3,8490.0,2021-10-29
44588,4,13446.0,2022-05-06
45446,4,12455.0,2022-08-30
23532,4,10320.0,
19229,2,3925.0,2025-11-23
30517,4,10313.0,2022-12-16
5941,2,2471.0,2022-03-07
1853,2,4096.0,2024-08-19
38031,3,8802.0,2023-07-09
34392,4,,2021-03-15
5814,3,,2024-02-08
34284,4,11727.0,2023-02-22
32166,2,,2022-10-30
21639,3,6795.0,2021-11-14
10220,2,,2025-10-12
1366,2,3848.0,2024-07-13
20392,3,5507.0,2022-04-29
33228,4,11662.0,2021-08-03
26597,4,11645.0,2024-01-29
47698,2,4352.0,2023-02-01
35628,2,1442.0,2023-04-17
38533,3,9238.0,2023-08-12
18440,3,8486.0,2025-02-06
43246,4,12055.0,2023-11-30
3417,4,13816.0,2025-10-19
24381,1,470.0,2024-12-09
37951,2,,2025-01-25
31584,2,3893.0,2023-11-24
34196,4,12678.0,2025-02-26
8553,4,10490.0,2026-01-16
10002,3,5485.0,2022-02-11
24045,4,12685.0,2021-04-24
46720,2,3940.0,2026-02-14
34331,3,9783.0,2025-11-07
8920,4,12395.0,2023-05-12
17020,3,8959.0,2025-11-12
11261,2,2487.0,2025-09-04
24062,3,5550.0,2023-08-28
4281,1,651.0,2022-08-04
48188,4,14585.0,2024-04-16
29666,3,6961.0,2021-12-23
18488,3,8275.0,2025-02-20
11799,4,13583.0,2023-12-21
44129,3,5682.0,2022-04-09
43204,4,13183.0,2022-11-21
35134,2,1520.0,2021-09-25
28738,4,12916.0,2023-04-10
8468,2,2303.0,2023-10-12
22074,2,1542.0,2022-03-29
36265,2,4381.0,2021-12-02
48984,3,5791.0,2025-03-30
39964,3,8309.0,2022-11-25
48042,4,12000.0,2025-04-18
48089,2,4745.0,2023-09-02
33110,2,1976.0,2024-02-22
3760,3,6031.0,2025-08-02
43903,4,11078.0,2022-12-11
4537,3,7859.0,2023-07-22
9819,4,14633.0,2022-12-16
8460,2,3970.0,2025-10-26
21681,2,,2022-10-18
891,4,12107.0,2026-01-17
10300,2,3564.0,2024-10-24
26531,4,13850.0,2023-06-17
36560,3,5615.0,2025-06-21
6777,1,675.0,2022-07-05
49498,2,4429.0,2023-05-02
23061,4,10589.0,2022-03-27
18491,3,7165.0,2022-04-30
13277,2,1361.0,2024-10-20
32415,4,12500.0,2023-11-26
2981,2,1080.0,2024-01-21
39122,4,12589.0,2022-04-04
46802,2,3362.0,2024-06-25
25979,2,1868.0,2023-08-05
14854,2,4717.0,2022-10-02
16433,4,13100.0,2025-07-12
20277,1,424.0,2025-04-16
14280,2,4936.0,2025-05-29
12153,3,,2023-10-15
30877,2,1214.0,2024-01-29
47760,4,12023.0,2022-04-15
15641,4,10903.0,2024-10-06
46987,4,14232.0,2025-07-28
18212,3,8511.0,2022-01-31
37589,3,9834.0,
22361,4,12604.0,2023-08-14
8249,3,9768.0,2025-04-29
34666,4,12524.0,2024-11-30
1616,2,4626.0,2021-10-16
20212,3,7758.0,2022-06-24
21558,3,5934.0,2022-04-01
27737,3,5656.0,2022-03-30
2258,4,13077.0,2023-07-24
39078,3,8413.0,2022-08-22
31357,2,1935.0,2025-12-31
31646,2,4469.0,2021-11-01
8611,2,4152.0,2024-01-08
10253,2,4906.0,2023-03-19
31199,2,1510.0,2023-12-08
13776,3,6072.0,2025-02-18
31488,3,8290.0,2023-12-20
41487,2,1115.0,2022-01-12
32696,3,5241.0,2024-08-28
33518,4,11485.0,2021-08-05
49981,2,2658.0,
2378,2,3448.0,2025-11-05
12875,2,4894.0,2024-09-24
34866,3,7513.0,2023-12-13
27831,2,,2023-07-03
9478,4,14538.0,2024-08-14
14424,4,11489.0,2023-10-05
30827,4,14707.0,2025-12-23
35795,2,1900.0,2023-07-16
18889,4,11111.0,2022-11-02
47430,4,14910.0,2023-03-11
45280,4,14912.0,2021-05-29
25180,3,5908.0,2025-06-13
46051,4,11006.0,2021-10-02
14654,2,1627.0,2021-09-05
8081,2,2344.0,2026-02-24
30087,4,13446.0,2021-11-29
18482,4,11797.0,2023-05-21
44211,4,11157.0,2021-11-22
26238,3,9542.0,2024-03-26
29389,3,5904.0,2025-10-15
7741,3,9577.0,2023-01-01
33184,4,10075.0,2024-06-20
8430,3,6899.0,2021-11-24
2863,4,11746.0,2022-04-05
3153,2,1695.0,2023-02-15
25537,4,10398.0,2024-03-13
49068,2,2272.0,2025-01-19
31893,3,5118.0,2023-12-31
25391,2,4095.0,2023-10-21
5441,2,1868.0,2023-11-29
42800,2,4501.0,2022-11-11
43600,4,12275.0,2024-08-13
19295,4,14113.0,2024-05-04
37690,4,10087.0,2026-01-06
1063,4,10060.0,2024-02-10
16553,3,6266.0,2021-11-18
31534,2,2642.0,
30705,4,11678.0,2022-04-29
35556,2,1663.0,2023-09-09
48225,2,3621.0,
44538,4,12400.0,2025-07-28
11498,3,8059.0,2026-01-28
7009,4,13279.0,2021-05-07
8853,4,12407.0,2023-02-26
26668,2,3741.0,2022-12-02
48336,4,10516.0,2023-01-16
2303,2,1955.0,2023-07-23
3552,4,13732.0,2024-09-01
43601,4,14618.0,2025-04-26
16699,3,5691.0,2022-09-02
38174,3,9408.0,
9821,4,11018.0,2025-07-23
22648,4,12032.0,2024-11-06
31864,4,10407.0,
28086,4,14384.0,2023-03-22
45005,4,14594.0,
18554,2,2759.0,2026-01-26
35192,4,,2023-12-20
39049,2,2357.0,2022-03-05
31121,3,7806.0,2022-01-12
25412,3,5752.0,2023-10-11
14944,2,4585.0,2022-08-16
27631,4,14498.0,2024-02-08
6226,2,1539.0,2023-11-27
4014,4,14606.0,2024-01-01
38816,3,6773.0,2022-01-05
35337,4,12313.0,
14190,4,12280.0,2023-08-27
35323,4,11709.0,2022-12-12
28033,4,12513.0,2021-03-22
45169,4,14611.0,2024-10-19
21292,2,3556.0,2022-08-02
35188,4,14424.0,2021-04-24
44556,4,13052.0,2023-01-12
13619,3,6531.0,2021-06-15
32554,3,6087.0,2024-12-09
41786,4,12843.0,2023-12-14
24166,3,7570.0,2025-01-04
41187,4,14668.0,2025-05-15
7194,4,11103.0,2022-02-12
32134,3,8777.0,2025-05-16
40255,3,6073.0,2025-08-08
7179,2,3976.0,2024-11-12
45601,4,10865.0,2021-10-24
42737,4,12702.0,
6429,3,8996.0,2022-06-24
42719,2,2550.0,2023-11-16
3768,3,5399.0,2023-05-18
41973,4,13414.0,2022-07-03
14792,3,5524.0,2023-12-02
2233,4,11614.0,2023-08-10
42957,2,3705.0,2021-07-27
19235,3,,2024-05-05
29078,3,9549.0,2024-02-23
17552,4,11608.0,2021-08-06
20885,4,14239.0,2025-10-27
47765,2,1025.0,2021-04-18
26376,4,12630.0,2024-11-26
411,2,2003.0,2023-12-02
441,4,11601.0,2024-03-02
23333,4,13104.0,2022-07-06
6180,3,9356.0,2021-06-25
40810,2,4130.0,2023-08-21
24260,4,13973.0,2021-06-29
41281,1,498.0,2025-08-02
9447,4,13449.0,2021-03-07
31506,2,3496.0,2025-02-11
27614,4,10033.0,2025-01-23
6866,2,1823.0,2025-12-02
15785,2,3532.0,2026-01-17
8988,4,11381.0,2025-08-25
23452,3,7234.0,2021-02-25
46479,3,5633.0,2023-06-16
47985,4,12304.0,2021-04-25
42738,4,11549.0,2022-06-15
28126,2,2450.0,2024-04-18
16080,2,1825.0,2022-06-29
13972,3,7758.0,2025-08-24
49502,2,1010.0,2023-10-08
35100,2,,2024-09-16
43658,3,6373.0,2021-11-05
47660,3,,2022-12-28
11509,3,5867.0,2026-02-03
41479,3,8727.0,2022-12-21
9756,2,4758.0,2025-10-30
38491,3,6518.0,2025-03-04
1273,3,5187.0,2022-12-06
27789,4,10747.0,2024-05-25
35396,4,10211.0,2025-07-26
46284,2,3967.0,2025-01-29
13944,4,10147.0,2025-09-01
8937,3,5474.0,2021-02-28
28556,3,6049.0,2022-11-24
16646,2,,2023-08-27
29727,3,7923.0,2021-12-06
8693,1,602.0,2023-01-31
19499,3,5926.0,2025-05-26
32442,3,5139.0,2021-05-09
47336,3,5077.0,2025-09-03
3407,3,8721.0,2024-06-13
44366,2,3667.0,2021-05-13
10119,4,14772.0,2026-01-08
38781,1,,2021-03-15
27719,4,14165.0,2021-12-21
17846,4,10579.0,2023-02-23
36604,2,2024.0,
6603,2,4932.0,2024-08-21
32512,3,7785.0,2023-06-16
31939,3,,2022-02-01
47372,4,11619.0,2022-07-08
33726,3,9989.0,2024-09-29
19055,4,14256.0,2021-07-24
43168,4,12714.0,2023-01-05
18106,4,12464.0,2024-07-06
26261,2,,2025-09-15
4100,2,3423.0,2024-04-05
39484,4,11078.0,2021-12-07
4517,4,14538.0,2023-12-07
3304,2,4751.0,2025-02-03
42025,4,12803.0,2024-05-18
18425,4,14488.0,2024-06-28
26797,3,8631.0,2022-07-17
44861,3,9519.0,2021-03-17
6513,3,7871.0,2025-02-17
38262,2,2748.0,2022-06-15
35343,4,13043.0,2021-09-17
18245,3,9460.0,2022-05-28
27460,2,1351.0,2025-07-19
5126,3,5067.0,2023-06-30
27034,3,8336.0,2023-08-08
21736,4,11057.0,2022-05-09
46727,3,5772.0,
32312,2,3873.0,2021-08-04
9909,2,1895.0,2024-10-03
37160,3,9044.0,2024-09-26
39528,4,13149.0,2023-04-08
7237,4,11532.0,2021-08-27
14267,2,1855.0,2022-03-11
45655,2,4092.0,
28685,3,5191.0,2021-05-05
40885,2,1848.0,2024-01-13
6034,3,5965.0,2023-01-07
35863,2,3073.0,2021-04-17
6100,1,732.0,2022-11-19
19645,2,2515.0,2024-09-01
34625,2,4654.0,2023-08-19
33195,2,1822.0,2025-05-19
38095,3,7513.0,2022-12-16
37148,2,1972.0,2023-07-30
13923,4,12217.0,2023-10-13
43214,3,8002.0,2022-03-02
32770,2,1274.0,2023-01-11
30271,1,435.0,2025-08-19
35147,3,8089.0,2022-11-25
20282,3,9062.0,2024-11-12
44696,2,3522.0,2025-11-09
17468,4,13046.0,2024-09-06
34217,3,8438.0,2024-04-30
32428,3,5380.0,2024-01-04
42894,2,1522.0,2026-02-10
19536,2,1384.0,2024-04-18
42682,4,10886.0,2021-07-13
1403,3,5071.0,2023-10-22
45631,4,14317.0,2021-06-09
19580,4,13915.0,2021-03-27
9985,4,11092.0,2024-07-07
1347,2,2584.0,2025-12-30
27668,4,11720.0,2025-01-11
44635,3,7641.0,2023-11-18
24887,3,9516.0,2024-12-18
8116,1,790.0,2025-01-03
18470,3,7726.0,2022-11-12
