redemption_id,customer_id,reward_name,points_redeemed,redemption_date
8654,36696,Gift Card $10,1000.0,2025-01-13
528,6610,Free Shipping Voucher,200.0,2025-07-25
7420,49995,Free Shipping Voucher,200.0,2025-11-16
7647,41710,Free Shipping Voucher,200.0,2026-01-11
653,1536,Gift Card $50,5000.0,2024-07-03
2473,6210,Gift Card $10,1000.0,
5328,10701,Gift Card $50,5000.0,2024-04-18
562,42556,product discount,500.0,2025-11-30
3036,23949,Free Shipping Voucher,200.0,2025-05-17
7039,16016,Gift Card $50,5000.0,2024-07-31
6897,27601,Gift Card $50,5000.0,2024-06-03
5987,28525,Product Discount,500.0,2025-09-19
938,31502,Gift Card $50,5000.0,2024-09-23
3565,27386,Free Shipping Voucher,200.0,2024-09-28
9780,33560,,1000.0,2024-10-17
7892,26687,Gift Card $50,5000.0,2024-10-17
3350,2569,Gift Card $10,1000.0,2026-02-12
4452,28977,Free Shipping Voucher,200.0,
2601,16445,Product Discount,500.0,2025-10-07
8602,611,Gift Card $10,1000.0,2024-02-15
5200,23589,Gift Card $10,1000.0,2024-10-31
9771,28914,Gift Card $10,1000.0,2024-12-06
2292,17593,Free Shipping Voucher,200.0,2025-02-21
9594,39932,Free Shipping Voucher,200.0,2025-01-19
3514,30299,GIFT CARD $10,1000.0,2026-01-20
166,5099,Free Shipping Voucher,200.0,2025-04-07
1209,38941,Gift Card $10,1000.0,2024-12-14
6694,18001,Free Shipping Voucher,200.0,2025-12-11
2345,22035,Gift Card $10,1000.0,2024-10-22
1843,40973,,500.0,2024-07-06
7267,22312,Gift Card $10,1000.0,2024-10-16
1455,4740,Product Discount,500.0,2024-12-14
2774,30432,Gift Card $10,1000.0,
7512,13713,Product Discount,500.0,2025-01-24
8956,29202,Gift Card $50,5000.0,2024-12-22
4935,2269,Gift Card $10,1000.0,2024-07-26
8123,13420,Gift Card $10,1000.0,2024-10-02
9029,27099,Gift Card $50,5000.0,2025-10-24
105,28886,Free Shipping Voucher,200.0,2024-05-15
9506,2591,Gift Card $50,5000.0,2025-07-31
9544,34882,Product Discount,500.0,2024-09-02
733,19910,Gift Card $10,1000.0,2024-04-02
253,8812,Gift Card $10,1000.0,2024-12-23
6007,4797,Product Discount,500.0,2025-08-25
6348,10032,Free Shipping Voucher,200.0,2024-02-26
7834,26152,Gift Card $50,5000.0,2024-11-10
738,24333,Free Shipping Voucher,200.0,2025-04-02
2921,48829,Gift Card $50,5000.0,2025-09-13
7479,8907,Product Discount,500.0,2024-08-19
950,9631,,500.0,2025-06-19
2739,17335,Gift Card $10,1000.0,2024-11-18
6157,5957,Gift Card $50,5000.0,2024-06-20
1707,43891,Gift Card $10,1000.0,2024-05-12
1171,3873,Product Discount,500.0,2025-06-13
7479,8907,Product Discount,500.0,2024-08-19
1250,37935,Free Shipping Voucher,200.0,2026-01-07
1599,5874,,,2025-11-02
8100,48310,Product Discount,500.0,2024-11-12
6959,47714,Gift Card $10,1000.0,2025-03-31
4590,9041,Gift Card $50,5000.0,2024-07-28
9077,28612,Free Shipping Voucher,200.0,2025-11-28
2847,7961,Gift Card $10,1000.0,
4359,48241,PRODUCT DISCOUNT,500.0,2025-06-04
5180,45318,Gift Card $50,5000.0,2024-05-22
5758,15529,Gift Card $50,5000.0,2024-11-30
6682,12109,Product Discount,500.0,2024-05-29
7389,17381,Gift Card $50,5000.0,2025-10-16
3082,45489,Gift Card $50,5000.0,2025-04-03
3286,44384,Product Discount,500.0,2025-09-07
8005,25445,Gift Card $10,1000.0,2024-04-13
2792,34260,Free Shipping Voucher,200.0,2024-03-25
3275,46486,Product Discount,500.0,2024-02-29
414,4415,Free Shipping Voucher,200.0,2025-03-03
1739,46028,Gift Card $50,5000.0,2024-07-15
9970,923,,200.0,2024-09-01
7682,8832,Gift Card $50,5000.0,2025-04-26
2102,31690,Product Discount,500.0,2026-01-28
4128,33310,Gift Card $10,1000.0,2024-11-11
788,39368,Gift Card $10,1000.0,2024-08-12
769,26193,Gift Card $10,1000.0,2025-11-02
1662,39997,Gift Card $50,5000.0,2025-01-22
5851,16015,Product Discount,500.0,2024-09-07
891,13852,Gift Card $10,1000.0,2026-01-12
8877,10372,,500.0,2024-10-09
3782,30111,Free Shipping Voucher,200.0,2024-06-24
6153,40733,Product Discount,500.0,2024-06-15
5192,1998,Product Discount,500.0,2024-07-24
6481,25851,Free Shipping Voucher,200.0,2024-11-13
3003,20327,Gift Card $10,1000.0,2024-07-22
6253,24605,Gift Card $50,5000.0,2025-06-12
3552,5817,Product Discount,500.0,2024-03-04
