work_order_id,product_id,line_id,start_timestamp,end_timestamp,quantity_produced,rejected_quantity,status
7776,322,2,2025-06-13 18:32:25.604595,,426.0,17.0,Completed
11112,5653,10,2026-01-28 01:10:52.949450,2026-01-28 12:10:52.949450,4371.0,149.0,Completed
8650,2899,9,2025-03-02 09:45:14.472314,,2226.0,39.0,Completed
1435,2448,7,2024-08-01 06:52:05.279538,2024-08-01 07:52:05.279538,445.0,5.0,Completed
14797,1572,1,2024-08-21 06:21:21.899767,2024-08-21 17:21:21.899767,,,Completed
5943,5438,2,,2024-05-21 01:18:02.844523,,38.0,completed
9493,3759,2,2025-07-26 16:21:14.999217,2025-07-26 23:21:14.999217,1577.0,65.0,Completed
7298,1366,7,2026-02-20 05:16:45.692147,2026-02-20 07:16:45.692147,796.0,8.0,Completed
10880,3471,5,2024-12-16 02:04:10.642297,2024-12-16 11:04:10.642297,2021.0,16.0,Completed
13256,5397,3,2024-03-05 14:09:06.394244,2024-03-05 21:09:06.394244,1679.0,35.0,Completed
12383,5051,1,2025-05-25 06:19:20.353937,2025-05-25 11:19:20.353937,583.0,23.0,Completed
659,4124,2,2025-02-16 16:31:56.301936,2025-02-16 21:31:56.301936,1085.0,35.0,Completed
5465,3778,8,2024-10-17 08:54:59.725722,2024-10-17 16:54:59.725722,3154.0,153.0,Completed
6280,5391,5,2024-08-10 14:57:46.015944,2024-08-11 01:57:46.015944,2701.0,107.0,
10312,5190,8,2025-03-31 10:58:54.019528,2025-03-31 11:58:54.019528,364.0,11.0,
2879,82,8,2025-10-17 07:32:22.937929,2025-10-17 11:32:22.937929,1465.0,65.0,Completed
3899,4569,8,2024-07-25 01:12:32.204916,2024-07-25 05:12:32.204916,1638.0,,Completed
7753,1758,4,2024-04-10 07:53:25.282179,2024-04-10 11:53:25.282179,900.0,36.0,
2553,1165,5,2024-07-24 01:57:27.722521,,958.0,26.0,Completed
11543,5850,4,2024-07-04 07:36:48.013134,2024-07-04 12:36:48.013134,1229.0,13.0,Completed
6487,4052,1,2024-08-05 19:36:41.034975,2024-08-06 02:36:41.034975,,1.0,Completed
2495,5079,1,2025-10-01 09:10:47.452584,2025-10-01 13:10:47.452584,554.0,4.0,Completed
7175,4668,4,2024-03-25 20:00:37.913035,2024-03-26 06:00:37.913035,2057.0,93.0,Completed
7726,5658,1,2025-09-26 08:09:22.940970,2025-09-26 11:09:22.940970,373.0,11.0,Completed
6736,249,7,2026-01-24 02:13:34.845407,2026-01-24 03:13:34.845407,414.0,18.0,Completed
3874,154,3,2024-04-26 07:59:38.173895,2024-04-26 10:59:38.173895,695.0,6.0,Completed
4846,1724,9,2025-09-30 11:25:28.360799,2025-09-30 20:25:28.360799,2820.0,4.0,Completed
10274,3594,10,2025-05-13 20:37:36.457970,2025-05-14 04:37:36.457970,3409.0,9.0,Completed
