spend_id,campaign_id,spend_date,amount,platform
3608,104,2024-11-22,4061.04,LinkedIn
3172,54,2025-03-12,225.89,
1015,96,2025-03-08,186.63,GOOGLE
1642,202,2024-12-09,1046.01,Facebook
1360,12,2024-01-22,2902.98,LinkedIn
2519,204,2024-09-21,3047.08,Instagram
696,166,2025-11-23,1685.37,Twitter
3324,132,2025-08-27,2631.04,Google
2836,188,2025-10-03,2502.24,Google
1267,182,2024-04-28,2029.75,Instagram
924,16,2025-01-26,2225.91,Twitter
1426,125,2025-06-29,1337.52,Google
1158,105,2026-01-05,401.83,Google
513,244,2024-09-19,588.13,Google
3600,225,2025-08-25,,LinkedIn
1963,34,2026-02-03,3819.95,Instagram
747,37,2026-02-15,3008.64,Twitter
253,54,2025-09-25,531.71,INSTAGRAM
3907,52,2025-10-31,4012.5,Instagram
417,237,2024-12-25,4810.98,Instagram
711,120,2025-01-16,1645.17,Facebook
161,170,2025-02-24,794.73,LinkedIn
2379,185,2024-07-24,1306.88,Google
463,92,2024-02-02,3307.98,Instagram
390,216,2025-03-07,162.95,Twitter
602,56,2024-08-21,2483.44,Instagram
885,207,2025-11-18,3912.05,Facebook
3012,92,2024-04-17,3346.44,Twitter
2494,94,2024-03-29,980.05,google
1596,92,,4421.17,Facebook
1173,134,2024-01-23,4297.34,Google
409,71,2024-09-08,2172.96,Facebook
1142,158,2025-04-19,1219.56,Google
1898,160,,3604.54,Instagram
1449,219,2024-03-04,2398.95,Linkedin
1538,17,2024-11-30,,Google
3663,33,2025-08-27,2705.1,LinkedIn
148,127,2024-12-27,4643.42,Twitter
1122,127,2025-12-09,1016.53,Instagram
2281,112,2024-06-14,3589.88,LinkedIn
170,183,2024-07-03,3569.46,LinkedIn
3828,151,2025-12-24,959.73,FACEBOOK
3601,55,2024-12-18,3380.21,Facebook
450,148,2024-07-03,4784.8,LinkedIn
1531,90,2026-02-14,3393.68,Instagram
1580,250,2024-03-23,4032.23,Twitter
3582,6,2024-10-10,4006.06,INSTAGRAM
1676,97,2025-12-03,2056.08,Instagram
609,159,2025-07-19,1228.61,LinkedIn
2656,58,2024-11-03,4337.85,Facebook
3887,215,2025-09-08,3520.72,Twitter
3643,150,2024-10-29,1736.09,Facebook
1816,28,2026-02-09,1591.29,Google
1881,173,2026-01-29,1806.53,LinkedIn
79,152,,887.15,LinkedIn
2312,117,2024-03-27,935.92,Instagram
41,176,2026-02-01,2099.33,Twitter
2767,124,2024-10-31,4981.0,Google
2810,183,2025-07-20,3426.69,Twitter
663,226,2025-01-22,1720.99,Twitter
1363,159,2024-02-25,,Twitter
1075,98,2025-04-21,1948.84,Google
2454,142,2024-04-08,337.05,Instagram
502,105,2024-12-19,972.43,Facebook
9,214,2025-01-12,3889.08,Facebook
3777,79,2026-02-13,2259.37,Twitter
1668,221,2024-06-12,3249.56,Twitter
1065,119,,2634.99,Google
2343,142,2024-12-04,363.95,Twitter
2443,1,2025-03-11,2303.58,Twitter
2641,110,2025-12-01,3334.73,twitter
673,193,2026-01-06,887.24,Facebook
111,17,2025-12-04,1618.61,Facebook
3955,30,2025-02-03,1855.58,Facebook
1584,84,2025-02-05,3131.52,Google
3899,151,2025-12-30,2981.19,LinkedIn
2772,159,2024-01-21,4433.96,Google
3080,75,2024-11-24,415.9,Twitter
3549,101,2025-04-26,1113.8,LinkedIn
3705,153,2025-09-30,2394.89,LinkedIn
1209,237,2024-11-07,4134.03,Facebook
807,108,2025-01-27,826.69,Instagram
766,143,2025-06-04,,Google
2532,154,2025-11-19,1746.3,
507,160,2025-12-21,2735.85,Google
3422,216,2025-03-31,1699.78,Facebook
1699,218,2025-07-31,2852.7,LinkedIn
1132,18,2025-05-08,4867.67,linkedin
1090,70,2024-06-07,2189.42,LinkedIn
1552,51,2024-11-23,2772.08,Instagram
768,119,2025-11-19,342.89,Instagram
1734,107,,1629.65,Instagram
3482,107,2024-12-01,2867.34,Twitter
3304,110,2025-05-13,1152.6,LinkedIn
816,116,2024-08-27,2035.29,facebook
894,21,2024-07-14,1591.46,Facebook
2377,56,2025-04-19,1782.29,Google
20,189,2024-07-24,2834.05,Facebook
2683,25,2024-01-29,2644.38,Twitter
764,190,2024-08-11,2396.81,Facebook
2547,147,2025-05-06,3835.79,
1444,52,2024-12-12,2961.2,Facebook
289,219,2025-04-03,4491.52,LinkedIn
3966,54,2025-03-07,2138.96,LinkedIn
2480,212,2025-11-27,718.69,
1052,179,2024-05-11,1552.05,Twitter
31,164,2024-06-13,2112.49,Instagram
3352,40,2025-09-27,2479.03,Facebook
2224,199,2024-03-31,140.25,
1354,179,2025-08-11,,LinkedIn
2198,55,2025-12-19,3738.33,Google
1081,4,,2890.53,LinkedIn
3219,188,2025-09-13,,Instagram
2055,194,2024-08-15,3365.39,Google
251,139,,377.52,Google
1259,143,2025-02-18,2640.94,Google
3690,4,2024-12-02,2810.24,LinkedIn
2735,31,2024-05-08,336.68,Twitter
2354,48,2024-09-30,1258.35,linkedin
2928,73,2025-03-11,4813.6,Twitter
312,170,2025-01-26,262.09,twitter
856,13,2025-04-23,1579.04,Google
1170,29,,2629.79,Facebook
760,237,2024-04-13,101.89,
3743,179,2024-12-23,3871.49,Google
2918,120,2025-10-02,4414.81,Twitter
2324,159,2026-02-09,2059.85,Twitter
3282,77,2025-07-01,2822.32,Facebook
197,79,2025-09-30,572.7,
1896,16,2024-06-02,2209.06,Google
740,226,,2783.68,LinkedIn
2699,71,2025-03-07,944.74,Twitter
86,122,2024-10-06,2095.28,Instagram
1144,192,2025-11-18,2293.07,
3774,47,2025-12-20,3174.75,Twitter
266,110,2024-10-04,2934.3,Google
2513,190,2025-04-15,2345.86,twitter
175,246,,3247.31,
785,54,2025-02-17,111.88,Google
1284,86,2026-01-18,3793.96,Facebook
3800,181,2024-11-22,2641.26,Facebook
2432,181,2024-06-21,3070.28,LinkedIn
137,109,2024-03-31,1153.47,Google
1011,185,2025-11-03,,Facebook
474,54,2024-08-27,3552.19,LinkedIn
3129,162,2025-08-06,742.56,Twitter
1767,51,2025-02-19,3385.22,Instagram
2821,15,2024-09-17,3258.88,LinkedIn
124,55,2024-12-01,,Facebook
2051,207,2024-02-17,3685.37,Facebook
396,103,2024-04-23,2914.71,Instagram
3215,102,2024-03-16,3495.48,Instagram
654,57,2024-07-01,1060.27,Google
3581,232,2025-04-16,2496.74,LinkedIn
3914,126,2024-11-05,645.04,google
3437,123,2025-07-05,3845.12,LinkedIn
2053,154,2024-03-05,3074.46,LinkedIn
3935,104,2025-09-06,2955.84,Google
3724,194,2024-07-03,3973.07,Instagram
320,134,2025-07-26,,Google
3094,64,2025-12-22,1925.21,Twitter
1184,229,2024-11-15,1767.83,Facebook
2404,117,,2107.15,Facebook
1818,47,2024-08-16,4243.02,INSTAGRAM
873,22,2024-12-12,959.54,LinkedIn
2013,148,2024-09-04,1000.06,FACEBOOK
1447,74,2025-01-09,559.15,Facebook
3629,206,,4072.98,Facebook
832,70,2026-02-14,449.34,Facebook
