store_id,product_id,quantity_on_hand,reorder_level
142,5512,174.0,
133,5684,178.0,
58,798,44.0,24.0
145,1124,6.0,23.0
198,4575,190.0,35.0
162,509,49.0,41.0
75,1464,199.0,43.0
117,2315,117.0,44.0
36,1021,173.0,39.0
130,830,,21.0
85,4225,55.0,21.0
190,5572,48.0,28.0
133,2672,19.0,26.0
72,681,9.0,35.0
159,1681,116.0,47.0
11,5280,181.0,25.0
60,5236,3.0,20.0
27,1572,9.0,41.0
169,2811,52.0,43.0
164,444,199.0,49.0
76,641,81.0,29.0
179,1204,98.0,44.0
15,1252,1.0,16.0
129,1320,1.0,38.0
82,1903,105.0,42.0
148,1730,29.0,23.0
48,2561,83.0,12.0
25,1402,64.0,30.0
36,4471,43.0,16.0
193,6,59.0,17.0
85,2242,145.0,29.0
182,3388,26.0,14.0
170,5071,121.0,12.0
197,2504,50.0,32.0
178,5457,127.0,11.0
83,4041,18.0,36.0
45,4251,79.0,44.0
70,3736,9.0,23.0
60,168,86.0,47.0
14,5752,53.0,16.0
182,3635,108.0,11.0
4,3323,20.0,10.0
135,5666,199.0,30.0
163,4988,97.0,35.0
2,4008,107.0,15.0
132,2139,166.0,38.0
74,430,91.0,18.0
32,5378,7.0,30.0
48,749,89.0,36.0
31,462,74.0,23.0
184,5399,142.0,35.0
58,3130,39.0,11.0
72,362,54.0,20.0
104,1843,61.0,16.0
158,1785,138.0,31.0
130,4096,196.0,29.0
86,2044,64.0,21.0
149,1016,116.0,
135,2489,193.0,29.0
173,1493,21.0,13.0
6,4375,59.0,33.0
7,2523,,39.0
123,4609,141.0,36.0
17,2342,145.0,28.0
187,2735,166.0,15.0
132,5187,122.0,10.0
136,121,66.0,48.0
91,1341,110.0,11.0
99,1834,97.0,36.0
29,4333,3.0,48.0
10,4438,98.0,17.0
190,5654,21.0,
84,1224,128.0,10.0
184,143,47.0,19.0
44,1941,169.0,27.0
159,2153,133.0,11.0
173,5328,105.0,38.0
61,777,63.0,17.0
103,4436,188.0,
192,1394,198.0,32.0
105,4340,192.0,12.0
146,3442,139.0,22.0
11,640,147.0,10.0
104,5305,103.0,38.0
113,3604,1.0,30.0
157,4265,3.0,18.0
90,2013,166.0,28.0
139,3514,170.0,24.0
161,1453,19.0,38.0
146,744,139.0,38.0
186,85,81.0,18.0
33,102,13.0,25.0
85,4108,144.0,35.0
33,4976,79.0,39.0
131,4556,192.0,33.0
106,5462,114.0,19.0
87,5046,194.0,32.0
98,2184,130.0,12.0
38,4572,,29.0
73,4579,79.0,27.0
189,1765,49.0,21.0
70,2215,183.0,49.0
185,2763,156.0,18.0
115,4814,45.0,41.0
74,649,14.0,45.0
1,1246,125.0,22.0
112,3934,22.0,45.0
80,131,37.0,20.0
120,1434,170.0,13.0
129,3208,92.0,15.0
103,3951,121.0,
176,318,77.0,29.0
192,3102,0.0,38.0
10,4802,161.0,48.0
122,532,118.0,29.0
38,5289,11.0,18.0
142,1828,76.0,27.0
84,1643,94.0,46.0
9,4685,3.0,40.0
147,2276,,28.0
105,3378,180.0,34.0
39,4604,36.0,40.0
3,2249,144.0,34.0
98,5283,112.0,11.0
14,4566,136.0,32.0
158,4793,182.0,44.0
144,3555,98.0,20.0
159,973,1.0,30.0
84,1026,41.0,45.0
24,5687,5.0,15.0
171,1318,27.0,11.0
154,2227,77.0,13.0
45,445,176.0,13.0
144,2373,116.0,20.0
20,64,64.0,29.0
9,5251,10.0,45.0
91,2398,192.0,27.0
134,4097,61.0,12.0
117,589,127.0,29.0
124,4944,144.0,41.0
14,5808,17.0,17.0
155,1829,137.0,20.0
48,5405,73.0,27.0
83,4082,71.0,41.0
1,4556,7.0,41.0
188,3053,163.0,16.0
26,3610,71.0,13.0
103,1464,187.0,25.0
30,5155,83.0,
176,2742,70.0,24.0
110,665,7.0,18.0
123,4483,104.0,23.0
155,5162,197.0,38.0
43,1338,121.0,42.0
175,3719,,22.0
78,2220,0.0,24.0
188,435,,49.0
189,2651,119.0,10.0
120,4522,72.0,
166,3575,46.0,27.0
27,4293,198.0,12.0
197,164,94.0,20.0
132,4514,196.0,49.0
146,3155,143.0,
156,4306,44.0,28.0
67,3160,80.0,36.0
92,2692,40.0,12.0
103,229,37.0,26.0
128,5006,82.0,41.0
106,2288,40.0,26.0
180,3932,17.0,44.0
143,1369,54.0,13.0
126,3515,9.0,24.0
198,4593,101.0,36.0
102,2787,93.0,46.0
87,2643,89.0,26.0
112,2214,76.0,35.0
3,2000,147.0,48.0
105,5534,34.0,48.0
9,502,114.0,42.0
59,2669,178.0,40.0
60,2668,92.0,13.0
21,395,110.0,
145,3031,19.0,16.0
138,1147,17.0,38.0
8,4879,192.0,33.0
178,2423,98.0,46.0
154,3430,84.0,13.0
26,4301,93.0,13.0
58,3308,69.0,20.0
84,5193,195.0,29.0
127,3901,9.0,20.0
172,3695,119.0,34.0
179,2693,61.0,17.0
48,1936,119.0,28.0
89,2707,82.0,24.0
111,555,83.0,37.0
6,3200,79.0,41.0
114,5571,176.0,43.0
57,3901,180.0,19.0
138,3318,159.0,45.0
10,4695,130.0,27.0
13,2794,20.0,24.0
79,5391,171.0,13.0
76,437,72.0,24.0
17,5268,56.0,10.0
106,1729,31.0,22.0
23,2531,105.0,21.0
197,2117,42.0,25.0
79,2755,6.0,10.0
68,3814,111.0,46.0
104,3619,25.0,31.0
141,3471,71.0,17.0
46,5135,75.0,18.0
53,300,59.0,13.0
199,5125,162.0,45.0
54,5100,36.0,26.0
53,3618,73.0,36.0
171,3357,67.0,44.0
60,3860,183.0,23.0
74,5631,34.0,26.0
55,2007,,13.0
62,2252,106.0,47.0
194,5366,160.0,38.0
192,1518,,40.0
40,5714,67.0,29.0
107,92,186.0,32.0
121,2273,163.0,37.0
77,1247,145.0,48.0
17,3806,125.0,36.0
118,2724,23.0,11.0
172,449,51.0,19.0
151,547,170.0,33.0
166,606,45.0,44.0
6,2345,126.0,15.0
138,5109,61.0,44.0
171,4852,17.0,19.0
6,1302,140.0,11.0
39,399,112.0,14.0
132,1021,27.0,49.0
20,4545,186.0,29.0
188,323,155.0,19.0
77,725,9.0,21.0
195,2516,182.0,26.0
161,698,,44.0
66,926,6.0,22.0
101,2848,23.0,26.0
80,5041,85.0,43.0
20,772,123.0,
8,3251,124.0,26.0
138,5688,43.0,25.0
163,4352,168.0,20.0
45,1812,99.0,36.0
79,2965,110.0,38.0
115,4505,93.0,23.0
141,4551,103.0,21.0
146,1515,137.0,13.0
35,3762,9.0,29.0
123,3933,28.0,17.0
106,2557,164.0,37.0
173,3726,43.0,27.0
104,126,75.0,19.0
156,5004,72.0,36.0
50,3722,1.0,32.0
22,105,24.0,16.0
7,3467,55.0,31.0
27,5661,194.0,45.0
110,866,31.0,
131,5310,169.0,26.0
96,3640,12.0,14.0
20,3449,7.0,38.0
72,2549,157.0,31.0
67,4544,145.0,38.0
158,187,6.0,27.0
45,4441,115.0,27.0
99,1708,87.0,35.0
186,4867,23.0,10.0
147,5656,191.0,33.0
3,4344,36.0,49.0
9,4321,55.0,30.0
99,4602,49.0,29.0
6,4348,21.0,38.0
62,3976,18.0,48.0
90,4075,177.0,39.0
150,502,37.0,
51,5180,11.0,34.0
188,1329,50.0,26.0
88,3487,66.0,47.0
134,5794,10.0,14.0
95,336,42.0,44.0
171,3736,156.0,40.0
109,3477,164.0,14.0
173,171,57.0,45.0
67,2829,129.0,43.0
111,785,105.0,17.0
196,3801,147.0,25.0
28,4241,138.0,45.0
21,4689,90.0,46.0
33,5129,92.0,35.0
151,213,134.0,37.0
56,5619,77.0,34.0
50,2389,29.0,12.0
141,1613,20.0,46.0
111,4423,155.0,10.0
88,1049,68.0,37.0
60,2552,95.0,20.0
113,1869,139.0,37.0
10,3693,,46.0
131,5062,23.0,18.0
195,3252,60.0,48.0
63,19,,38.0
66,4752,112.0,45.0
33,1338,50.0,25.0
132,1681,19.0,27.0
171,332,199.0,41.0
72,1540,122.0,
