product_id,product_name,brand_id,supplier_id,price,cost_price
1390,Raymond Pariatur Pro,25,24,2549.09,
5580,Johnson & Johnson Culpa,108,31,7250.59,5075.41
3301,Maggi Commodi Lite,61,74,1526.24,1068.37
5813,Nilkamal Molestias Max,112,82,11292.09,7904.46
86,Apple Dolorem Plus,2,19,,27266.06
3281,Maggi Reiciendis X,61,61,1498.39,1048.87
4892,Parker Accusantium X,94,76,1171.3,819.91
5972,Pepperfry Illum Lite,116,24,23552.76,16486.93
5853,sleepwell ea lite,113,53,38624.37,27037.06
5988,Pepperfry In X,116,31,41321.13,28924.79
3357,Cadbury Eveniet Pro,62,33,1401.07,980.75
4689,Philips Quis Pro,88,61,6095.36,4266.75
1225,Uniqlo Impedit Plus,22,27,2501.72,1751.2
450,Acer In Lite,8,10,112270.0,78589.0
260,HP Laborum Lite,5,26,11866.19,8306.33
795,Logitech Doloribus Pro,15,52,60483.26,42338.28
1949,Havells Rerum Pro,35,6,9823.01,6876.11
2090,Samsung Atque Max,37,75,26257.82,18380.47
5004,Casio Veritatis Max,96,20,1642.12,1149.48
4916,Parker Excepturi Pro,94,1,354.94,248.46
3406,Coca-Cola Quod Max,63,77,461.61,323.13
3129,Tata Voluptates Pro,58,20,967.94,677.56
4159,Spalding Nihil Plus,76,30,14767.76,10337.43
1751,Milton Architecto Pro,31,50,12434.15,8703.9
4218,Fitbit Eos Max,77,68,13119.68,9183.78
4055,SG Officia X,74,19,9687.44,6781.21
712,,14,12,74143.09,51900.16
5785,Nilkamal At,112,63,,19790.25
3898,Cosco Repudiandae Max,71,61,12351.3,8645.91
1975,LG Nisi X,36,63,30344.87,
2033,LG Deserunt Plus,36,38,24165.64,16915.95
908,H&M Temporibus,17,29,,2217.66
193,,4,5,141591.63,99114.14
2080,Samsung Ipsa Pro,37,74,30759.78,21531.85
3595,Aashirvaad Officia Lite,66,89,,840.22
3659,Fortune Consequatur Pro,67,39,648.46,453.92
2419,,45,80,3198.92,2239.24
4961,pilot architecto,95,67,123.11,86.18
5249,Mattel Doloremque Pro,100,9,2624.86,1837.4
2071,Samsung Labore Lite,37,47,30732.95,21513.06
