return_id,order_id,prod_id,return_date,reason,refund_amount
589,11661,4071,2025-07-24,WRONG ITEM,5860.27
7006,139725,2585,2024-03-26,Defective,4355.34
6433,128177,5359,2025-02-18,,12510.41
3477,69874,55,2025-11-29,Defective,57928.37
2659,53474,1493,2024-02-10,Defective,24104.86
5316,106378,5585,2024-12-27,Wrong Item,46858.88
4567,91674,4830,2025-11-12,Size issue,1832.33
3827,76988,5231,2024-06-15,Not liked,7698.85
6427,128090,2326,2025-02-04,Not Liked,3789.55
3875,78060,3707,2025-01-03,Defective,5865.04
2704,54401,2258,2025-04-08,Defective,4375.76
1879,37889,2985,2025-12-13,Size issue,97.4
3548,71325,4478,2025-09-30,Defective,736.74
291,5810,1003,,Defective,6969.71
6444,128423,5069,2024-03-30,Not liked,14921.36
2380,47861,5737,2024-05-22,,42827.59
2164,43310,4983,2025-07-11,Not liked,14483.47
7200,143660,4734,2024-06-02,Defective,167.97
549,10950,2509,2025-05-11,Size issue,1891.72
4950,98980,3398,2025-08-21,Not liked,12750.17
6329,125953,5701,2026-01-31,SIZE ISSUE,27846.48
48,738,2074,2024-09-14,wrong item,1649.36
1666,33720,4716,2026-02-04,Size issue,1344.47
2771,55566,5363,2025-11-05,Not liked,10340.68
7299,145835,5106,2025-05-25,Not liked,
6090,121355,3065,2024-09-16,Defective,
720,14424,4355,2024-03-10,Not liked,8040.74
2623,52670,98,2025-10-15,Defective,109557.34
2589,52093,4457,2025-05-09,Not liked,1919.12
7369,147450,616,2025-02-22,Not liked,
2244,44788,3729,2024-10-16,Size issue,14344.8
2197,43899,2366,2026-02-12,,1265.64
6331,126008,3380,2024-06-30,Size issue,9328.46
692,13792,2851,2025-03-11,Size issue,1971.3
3809,76576,5561,2025-02-08,Not liked,7086.53
4679,93683,5409,2024-04-17,Wrong Item,6367.58
4494,90426,3950,2024-02-22,Wrong Item,
2260,45091,3229,2025-12-22,Wrong Item,1876.01
226,4560,52,2024-12-19,Not liked,13928.47
3319,66812,4257,2025-07-21,Defective,285.87
3376,68043,3267,2025-05-26,Defective,3619.07
5974,119347,3576,2025-09-13,Defective,6791.96
1203,24063,902,2025-06-06,Defective,4662.83
6311,125700,283,2025-12-31,Defective,51127.25
2639,52937,4261,2024-03-28,Not liked,9441.13
6255,124712,465,,Wrong Item,580.58
2559,51695,242,2024-08-16,SIZE ISSUE,146262.54
1970,39615,4693,2024-02-07,Size issue,333.63
5893,117988,5721,2025-10-24,Wrong Item,41290.15
5899,118100,4482,2024-04-19,Size issue,1493.52
7493,149876,2359,2024-09-28,Size issue,3764.24
5589,112075,3483,2026-01-13,Size issue,8466.63
5544,111005,1151,2025-07-31,Wrong Item,6668.56
2084,41780,47,2025-03-19,Not liked,116683.19
4884,97648,2207,2026-01-25,Size issue,
837,16941,1829,2025-04-06,Size issue,14122.78
4934,98665,2285,2025-03-04,,415.58
737,14819,5443,2024-06-13,Size issue,49554.98
3615,72779,5652,2024-01-16,Wrong Item,
5065,101380,1860,2026-01-08,NOT LIKED,27152.43
1033,20812,1727,2025-06-18,Defective,28440.18
5810,116257,5738,2025-08-06,Not liked,26844.94
3173,63619,2873,2024-08-28,Not liked,318.96
2150,42903,4280,2024-06-13,Size issue,7348.26
6353,126409,901,2025-10-10,Not liked,3011.93
2844,57117,2709,2024-05-12,Wrong Item,1917.34
5982,119470,3421,2024-10-26,Wrong Item,13741.88
