store_expense_id,store_id,expense_type,amount,expense_date
8392,10,Electricity,941.84,
14839,71,Internet,1789.63,2025-06-27
12,123,Repair,9700.6,2025-08-07
3055,101,Water,,2025-07-29
1517,64,Water,6492.37,2025-05-04
10669,64,Electricity,7060.63,2025-07-22
755,100,Water,1435.76,2025-03-27
8079,143,Water,,
10378,116,Cleaning,5155.04,2026-01-08
13195,51,Internet,5608.88,2025-04-19
9042,190,Security,3197.11,2025-12-30
9617,161,Water,6894.59,2026-01-23
15250,156,Water,2751.76,2026-01-10
16093,125,Cleaning,6916.81,2025-07-16
19280,176,INTERNET,4108.24,2025-07-14
11618,139,Electricity,423.01,2025-03-24
12842,141,,5737.82,2025-10-28
8652,34,Security,4156.95,2026-01-16
11604,4,Repair,8066.09,2025-12-31
17823,163,Repair,6783.83,2025-05-23
1801,185,Security,9567.19,2025-04-10
18309,1,Security,4818.46,2025-10-04
654,145,Water,7467.12,2026-01-03
15841,184,Internet,5785.78,2025-08-10
12315,136,Internet,6857.89,2025-09-13
16558,31,Electricity,5360.85,2025-05-25
2629,200,SECURITY,,2025-10-09
16221,122,Repair,8607.17,2025-11-14
11188,19,Electricity,6689.09,2025-03-05
6605,166,Internet,5256.7,2025-06-02
1662,133,Electricity,5181.01,2025-07-19
5025,148,Internet,9305.14,2025-06-06
10686,88,Cleaning,3013.58,2025-08-05
6076,190,cleaning,399.83,2025-03-19
7946,2,,1451.64,2025-05-16
7724,138,Cleaning,7494.98,2025-03-04
3255,169,Repair,3405.21,2025-10-18
12765,77,Repair,7628.67,2026-02-11
127,75,Security,8189.25,2026-01-11
1145,168,water,2706.93,2025-10-09
15352,61,Electricity,4912.01,2025-11-19
11423,139,Repair,9421.95,2025-08-09
9748,26,Electricity,3102.6,2025-08-24
13962,57,internet,5795.12,2025-05-06
14990,36,Water,,2025-12-16
11874,179,Repair,6263.03,2025-11-17
17420,191,Internet,6301.52,2025-06-19
12549,19,Internet,6447.17,2025-10-01
10424,119,Cleaning,3307.4,2025-03-21
17855,136,CLEANING,946.23,2025-12-08
4757,180,Electricity,148.61,2025-07-17
2674,134,Electricity,2032.19,2025-06-07
14986,75,Security,4554.62,2025-05-01
7716,105,Repair,9543.61,2026-01-08
7588,159,Cleaning,7320.26,2025-05-01
15612,34,Security,7370.19,2025-08-19
8940,154,Security,3168.03,2025-08-18
4963,179,Security,2954.52,2025-12-08
17652,93,Cleaning,2425.45,2025-03-28
15011,117,Internet,722.17,2025-04-17
10757,144,Cleaning,1867.38,2025-12-15
1838,139,Electricity,3415.76,2025-12-18
1020,164,Water,,2025-03-05
12644,68,CLEANING,9919.67,2026-02-09
6000,136,Electricity,1536.35,2025-10-20
9388,36,Security,2696.44,2025-10-21
384,107,Repair,8780.85,2025-11-19
8933,6,Security,1754.68,2026-02-23
3149,120,Cleaning,7884.5,2025-05-28
10173,138,Internet,5155.76,2025-09-13
17620,139,Security,1133.16,2025-11-12
14416,22,Repair,6301.38,2025-04-24
9931,98,Internet,8241.1,2025-05-18
10454,178,Internet,9033.87,
9064,155,Repair,3957.71,2026-02-11
6304,192,Security,7790.2,2025-08-04
9172,159,Water,8561.31,2025-09-30
4251,54,Repair,3809.5,2025-10-12
12704,20,Security,7230.21,2025-08-02
12962,186,internet,324.92,2025-05-27
11207,25,Repair,7777.57,2025-04-21
8773,188,Cleaning,5584.55,2026-01-29
18533,110,Security,4584.05,2025-05-17
13668,118,Repair,,2025-03-10
2946,77,Security,1070.03,2025-07-13
10498,196,Cleaning,5921.66,2025-03-07
2616,19,Internet,,2025-08-04
7902,85,Internet,2250.42,2025-11-21
3140,5,Water,731.16,2025-08-16
700,68,Electricity,4837.34,2025-03-09
5261,136,Internet,2079.75,2025-04-17
10496,139,Internet,,2026-02-17
18847,131,Electricity,7770.18,2025-05-18
4303,24,Repair,,2025-06-12
19833,194,Security,5460.71,2025-07-07
6003,26,Electricity,8730.33,2025-09-24
