store_id,store_name,region_id,city,square_ft,opening_date
98,RetailMart Rourkela,9,Rourkela,3128.0,2024-01-29
56,RETAILMART RAIPUR,20,Raipur,3397.0,2023-09-11
196,RetailMart Trichy,17,Trichy,3558.0,2024-05-17
156,RetailMart Agartala,13,,3074.0,2022-12-10
164,RetailMart Jaipur,13,Jaipur,1354.0,2023-06-13
123,RetailMart Kota,6,Kota,1556.0,2023-01-06
54,Retailmart Nashik,15,Nashik,3170.0,2021-12-09
117,RetailMart Patiala,8,Patiala,1032.0,2023-10-19
3,RetailMart Prayagraj,7,,4524.0,2024-09-26
67,Retailmart Bilaspur,19,Bilaspur,3845.0,2024-07-12
136,RetailMart Nagpur,12,Nagpur,1312.0,2023-10-06
49,RETAILMART KANPUR,6,Kanpur,4938.0,2024-03-20
166,,8,Haridwar,4361.0,2022-04-17
163,RetailMart Shillong,2,Shillong,3652.0,2021-07-08
14,RetailMart Prayagraj,15,Prayagraj,2220.0,2024-09-25
179,RetailMart Mysuru,2,Mysuru,1341.0,2022-09-06
139,RetailMart Nagpur,11,Nagpur,2093.0,2022-03-16
126,,5,Ahmedabad,3089.0,2023-09-26
9,retailmart leh,3,Leh,1711.0,2024-12-10
174,RetailMart Noida,8,Noida,2292.0,2022-04-06
57,RetailMart Ahmedabad,7,Ahmedabad,4834.0,2022-08-12
169,RetailMart Mangalore,8,Mangalore,2101.0,2022-08-03
38,RetailMart Rajkot,19,Rajkot,1259.0,2021-06-24
11,RetailMart Srinagar,10,Srinagar,3478.0,2025-02-01
94,RetailMart Pune,9,Pune,,2024-01-07
107,RetailMart Hyderabad,16,Hyderabad,1297.0,2024-06-15
92,RetailMart Chandigarh,11,Chandigarh,2388.0,2021-03-16
115,RetailMart Nashik,8,Nashik,4888.0,2021-05-06
178,RetailMart Prayagraj,18,Prayagraj,1978.0,2023-04-08
133,RetailMart New Delhi,20,,3472.0,2021-06-06
130,RetailMart Bilaspur,2,Bilaspur,4007.0,2021-05-30
137,RetailMart Chandigarh,17,Chandigarh,1580.0,2022-09-14
124,RetailMart Noida,17,Noida,1553.0,2023-04-10
16,RetailMart Jamshedpur,11,Jamshedpur,3765.0,2023-05-11
71,RetailMart Agartala,10,Agartala,2396.0,2023-10-19
160,RetailMart Dehradun,13,dehradun,3411.0,2024-05-14
199,RETAILMART LEH,19,Leh,2147.0,2023-12-23
61,RetailMart New Delhi,16,New Delhi,3169.0,2023-11-25
77,RetailMart Indore,10,Indore,3376.0,2024-02-28
119,,4,Jamshedpur,4413.0,2025-01-26
121,RetailMart Bhopal,1,bhopal,1196.0,2022-10-11
76,RetailMart Madurai,20,Madurai,3806.0,2022-05-13
158,RETAILMART INDORE,17,Indore,3953.0,2022-05-05
25,RetailMart Prayagraj,7,Prayagraj,,2022-11-03
143,RetailMart Kanpur,18,Kanpur,2882.0,2025-01-20
183,retailmart ranchi,5,,2599.0,2025-02-15
182,retailmart prayagraj,4,Prayagraj,2357.0,2024-06-22
106,RetailMart Jaipur,7,Jaipur,4219.0,2024-01-27
102,RetailMart Kota,4,Kota,4379.0,2022-02-19
78,,9,Pune,3780.0,2021-12-12
191,RetailMart Surat,17,Surat,1429.0,2021-07-25
134,RetailMart Erode,10,ERODE,4942.0,2022-12-20
161,RetailMart Gaya,16,Gaya,1140.0,
108,RetailMart Mumbai,2,Mumbai,3571.0,2023-04-11
190,,8,Patiala,4174.0,2023-04-27
33,RetailMart Mumbai,8,Mumbai,3993.0,2022-08-17
27,RetailMart Siliguri,1,Siliguri,2119.0,2023-11-23
200,RetailMart Jaipur,9,Jaipur,2115.0,2021-11-05
155,,11,Delhi,2554.0,2021-05-24
178,RetailMart Prayagraj,18,Prayagraj,1978.0,2023-04-08
180,,6,,4742.0,2025-01-16
153,RetailMart Siliguri,5,Siliguri,1077.0,2022-06-04
68,RetailMart Bhopal,1,Bhopal,4625.0,2024-08-10
97,RetailMart Lucknow,10,Lucknow,1931.0,2022-08-19
114,RetailMart Chandigarh,11,Chandigarh,2701.0,2022-04-19
87,RetailMart Jaipur,1,Jaipur,1534.0,2025-02-13
24,RetailMart Udaipur,19,Udaipur,1942.0,2022-05-10
48,RetailMart Jaipur,19,Jaipur,1896.0,2021-05-27
122,RETAILMART ERODE,15,Erode,3731.0,2024-11-12
68,RetailMart Bhopal,1,Bhopal,4625.0,2024-08-10
2,RetailMart Indore,4,Indore,2704.0,2025-02-08
161,RetailMart Gaya,16,Gaya,1140.0,
185,RetailMart Agra,18,Agra,4759.0,2025-02-14
189,RetailMart Madurai,7,Madurai,1794.0,2022-02-13
195,RetailMart Surat,7,Surat,,2022-08-30
23,RetailMart Port Blair,2,Port Blair,1128.0,2024-10-01
138,RetailMart Noida,18,Noida,3350.0,2023-02-28
168,RetailMart Aizawl,16,Aizawl,4701.0,2023-02-01
53,Retailmart Dhanbad,12,Dhanbad,3934.0,2022-09-26
192,RetailMart Leh,13,Leh,1933.0,2022-01-24
175,RetailMart Agra,4,Agra,1248.0,2021-11-27
18,,14,Nagpur,3577.0,2023-12-22
110,RetailMart Prayagraj,5,Prayagraj,2387.0,2023-03-16
184,RetailMart Chandigarh,15,Chandigarh,3264.0,2021-10-21
39,RetailMart Prayagraj,14,Prayagraj,1990.0,2022-12-18
197,RetailMart Erode,10,Erode,4097.0,2022-12-29
43,RetailMart Lucknow,9,LUCKNOW,,2021-04-01
69,RetailMart Udaipur,19,Udaipur,1318.0,2022-02-02
88,RetailMart Kanpur,2,Kanpur,3086.0,2021-10-05
52,RetailMart Rourkela,20,Rourkela,4921.0,2021-09-27
90,RetailMart Bhopal,16,Bhopal,1578.0,2022-01-13
22,RETAILMART THANE,2,Thane,4399.0,2021-05-15
65,RetailMart Patiala,3,Patiala,2245.0,2021-12-25
172,RetailMart Udupi,17,Udupi,1107.0,2023-10-01
17,RetailMart Madurai,20,Madurai,3826.0,2024-06-21
103,RetailMart Leh,2,Leh,,2024-01-16
64,RetailMart Chennai,16,Chennai,2939.0,2025-02-02
172,RetailMart Udupi,17,Udupi,1107.0,2023-10-01
159,RetailMart Siliguri,12,Siliguri,4328.0,2021-05-19
6,Retailmart Gaya,15,Gaya,3629.0,2023-12-27
50,RetailMart Rajkot,17,Rajkot,2828.0,
100,RetailMart Chandigarh,11,Chandigarh,1278.0,2025-01-09
150,RetailMart Hyderabad,5,,4948.0,2023-08-10
81,RetailMart Trichy,15,Trichy,2071.0,
161,RetailMart Gaya,16,Gaya,1140.0,
21,RetailMart Vadodara,11,Vadodara,2032.0,2024-08-31
