warehouse_id,product_id,snapshot_date,quantity_on_hand
2,476,2025-04-14,1237.0
3,2784,2025-11-11,1999.0
2,4457,2025-07-23,1479.0
4,1089,2025-11-17,2142.0
2,2261,2025-10-31,2319.0
2,2261,2026-01-31,2730.0
4,2261,2025-10-16,1555.0
5,4334,2025-05-24,1620.0
5,1360,2026-02-11,2748.0
4,2185,,1559.0
4,4457,2025-03-20,1230.0
1,476,2026-02-13,2685.0
2,4457,2025-05-26,1231.0
3,959,2025-07-08,1367.0
4,1209,2025-04-12,1274.0
3,3878,2026-02-21,2363.0
2,3907,2025-11-24,2202.0
3,4253,2025-04-03,1156.0
1,4821,2025-05-02,1426.0
3,4253,2026-01-11,2747.0
5,3907,,2659.0
1,2784,2025-06-24,1396.0
5,546,2025-07-26,2004.0
2,959,2025-11-14,1968.0
3,4253,2025-12-05,2543.0
5,4821,2025-12-20,1848.0
4,1089,2025-10-09,2008.0
1,476,2025-10-25,2143.0
1,3013,2025-11-30,2025.0
5,476,2025-09-10,1963.0
5,1360,2026-02-12,2771.0
1,1209,2025-04-04,1039.0
4,2784,2025-11-08,2030.0
4,3907,2025-09-21,2508.0
4,1360,2025-09-16,1967.0
4,1353,2025-07-02,1666.0
4,4457,2025-04-29,1286.0
4,546,2025-11-21,2078.0
2,4253,2025-06-06,1669.0
3,1089,2025-05-06,1213.0
1,4253,2025-07-30,1714.0
3,1089,2025-09-24,1879.0
1,754,2025-03-06,1001.0
4,3907,2025-04-08,1517.0
1,2185,2025-12-02,1973.0
1,476,2025-09-19,1989.0
1,1353,2025-12-04,2138.0
2,1209,2025-11-29,2084.0
2,1353,2025-06-03,1487.0
2,1360,2025-07-21,1300.0
3,4642,2025-11-10,2270.0
2,517,2025-05-18,
2,1089,2025-07-05,1485.0
2,476,2025-05-09,1402.0
1,754,2026-01-03,2419.0
1,476,2025-11-11,2172.0
2,3878,2025-06-19,1511.0
1,3013,2025-09-18,1976.0
4,3013,2025-07-22,1588.0
2,4642,2025-11-15,1967.0
2,4334,2025-09-17,1858.0
5,2784,2025-12-02,1992.0
5,4821,2025-02-28,982.0
3,476,2025-10-07,2076.0
5,2784,2025-07-27,1412.0
1,4821,2025-07-23,1849.0
5,476,2025-09-13,1962.0
3,517,2025-05-30,1457.0
2,2784,2026-02-09,2908.0
5,2261,2025-10-03,2430.0
1,4821,2025-12-31,2658.0
1,3907,2026-02-05,3261.0
5,517,,1516.0
3,2185,,2141.0
3,517,2025-08-08,1867.0
5,517,2025-04-10,1085.0
3,1089,2025-12-26,2240.0
1,3907,2025-10-15,2428.0
5,4642,2025-08-02,1455.0
5,2784,2025-10-27,1810.0
4,4253,2025-11-24,1990.0
3,4253,2026-01-21,2853.0
1,1360,2026-01-28,
3,754,2025-09-03,1790.0
3,1353,2025-11-19,2195.0
1,1353,,1595.0
2,754,2026-02-17,3199.0
2,4821,2025-10-21,1893.0
1,959,2025-09-08,1877.0
2,754,2026-02-11,3237.0
5,2261,2025-09-11,2273.0
3,4821,2025-04-30,1264.0
3,2185,2025-02-26,1003.0
3,4642,2025-08-12,2032.0
3,3878,2025-09-12,1794.0
5,517,2025-06-13,1287.0
2,2784,2025-12-28,2526.0
5,3013,2025-03-20,1084.0
1,3907,2025-05-24,1508.0
4,546,2026-01-04,2390.0
5,2185,,1915.0
1,3013,2026-02-25,2047.0
4,3878,2025-07-15,1457.0
1,4253,2025-04-18,1226.0
2,4642,2025-12-10,1971.0
5,2185,2025-05-16,1479.0
1,3013,2025-05-19,1416.0
1,2185,2025-07-13,1455.0
1,4642,2025-11-23,2327.0
2,2185,2025-08-27,1945.0
3,959,2025-09-30,1678.0
1,1209,2025-02-28,986.0
2,4821,,1263.0
4,4457,2025-10-08,2064.0
5,517,2025-08-18,1582.0
2,1089,2026-01-02,2500.0
5,2185,2025-08-26,1723.0
2,4334,2026-02-24,2341.0
3,1089,2025-08-15,1734.0
3,4457,2025-10-09,1878.0
4,546,,1937.0
2,476,2026-02-13,2887.0
1,4334,2025-05-10,1250.0
3,4821,2026-01-20,2312.0
5,754,2025-07-14,1333.0
1,4253,2025-10-02,1819.0
1,3878,2025-12-30,
3,4334,2025-11-06,2454.0
2,1209,2025-10-15,1946.0
2,4642,2025-10-27,
4,1360,2025-03-06,1065.0
4,2784,2025-09-13,1856.0
2,3013,2026-01-02,2323.0
5,4334,2025-07-05,1831.0
3,2784,2026-01-27,2247.0
4,4334,2025-11-30,2158.0
2,2784,2025-04-23,1349.0
3,959,2025-09-14,1573.0
3,1209,2025-08-20,1590.0
4,4457,2025-04-26,1298.0
5,3907,2025-10-28,2428.0
1,4253,2025-03-21,1111.0
4,2185,2025-10-30,1945.0
3,4821,2025-07-02,1575.0
5,1360,2025-11-05,2184.0
1,1209,2025-12-05,2780.0
1,4821,2025-06-18,1599.0
3,546,2025-06-28,1427.0
5,2784,2025-12-13,1987.0
2,4334,2025-04-18,1121.0
3,2185,2025-05-25,1369.0
2,1353,,
5,959,2025-06-26,1546.0
1,2185,2025-09-13,1572.0
4,2185,2025-12-02,2062.0
2,4253,2025-09-24,2522.0
4,2784,2025-07-21,1711.0
1,476,2026-01-20,2530.0
4,754,2025-12-16,1952.0
2,3013,2025-09-06,1919.0
1,1360,2025-03-04,1014.0
1,2185,2025-05-16,1091.0
3,4334,2025-04-04,1215.0
1,2185,2026-01-01,2128.0
4,546,2025-07-09,1694.0
3,3907,2026-01-22,2714.0
3,2784,2025-12-02,2073.0
4,3907,2025-09-10,2372.0
2,4821,2025-02-27,1036.0
2,3907,2025-11-14,2170.0
4,1089,2026-02-25,2623.0
2,4642,2025-03-18,1078.0
1,3013,2025-11-03,2021.0
3,4821,2025-10-16,1955.0
1,546,2025-07-31,1745.0
5,4253,2025-05-31,1387.0
2,3878,2025-06-06,
5,754,2025-10-19,1638.0
1,754,2025-12-10,2312.0
5,2784,2025-07-16,1319.0
2,1209,2025-10-26,1929.0
1,476,2025-06-26,1515.0
2,754,2025-04-16,1430.0
1,4334,2025-06-09,1215.0
2,1353,2025-11-28,2271.0
4,2784,2025-10-05,1978.0
4,754,2025-03-27,1087.0
3,2261,2025-08-24,1779.0
5,4253,2025-06-27,1536.0
3,4457,2025-12-22,2264.0
1,1209,2025-11-27,2690.0
5,3013,2025-06-07,1527.0
3,4334,2025-05-23,1496.0
2,1360,2025-04-30,1065.0
5,3907,2025-03-20,1253.0
3,3907,2025-10-11,1979.0
5,546,2025-11-29,2433.0
2,4457,2025-06-19,1285.0
2,476,2025-08-03,1878.0
4,3878,2025-10-23,1759.0
5,1089,2025-05-11,1387.0
1,754,2025-07-14,1567.0
1,959,2025-11-14,2231.0
5,1360,2025-06-17,1580.0
4,1209,2025-08-31,1819.0
5,4334,2025-02-27,1028.0
5,3907,,2392.0
1,4457,2025-12-26,2047.0
4,4334,2025-11-29,2160.0
2,4642,2025-05-02,1442.0
4,2784,2026-02-03,2533.0
5,959,2025-06-15,1431.0
2,1353,2025-07-20,1804.0
3,517,2025-04-01,1085.0
4,476,2026-01-06,2425.0
4,546,2025-05-30,1561.0
1,3878,2025-12-28,2111.0
5,1209,2025-05-29,1273.0
1,4821,2025-06-22,1644.0
2,4253,2026-02-18,3728.0
4,4821,2025-10-17,1915.0
1,1089,2025-10-07,1752.0
5,1353,2025-04-07,1149.0
2,1209,2025-07-11,1568.0
3,4457,2025-05-11,1327.0
4,517,2025-06-23,1394.0
1,1360,2025-08-18,1950.0
1,4457,2025-04-15,1165.0
1,4821,2025-04-07,1381.0
2,3013,2026-01-07,2364.0
5,2784,2025-03-13,1016.0
1,4642,2025-07-04,1561.0
5,4457,2025-05-12,
3,4642,2025-04-13,1304.0
5,4334,2025-05-19,1589.0
5,2261,2025-11-08,2703.0
3,517,2026-01-12,
4,3878,2025-05-23,1167.0
5,1353,2025-07-28,1737.0
5,1353,2026-02-22,2947.0
4,3878,2025-11-01,
2,1209,2026-01-15,2300.0
4,4821,2026-02-07,2553.0
2,2784,2025-11-28,2426.0
2,4821,2025-11-04,1996.0
1,3013,2026-02-12,2008.0
1,754,,2394.0
3,2185,,1423.0
3,2784,2026-01-04,2149.0
4,476,2025-09-12,1813.0
1,4334,2026-01-23,1905.0
2,4253,2025-12-18,3090.0
3,1360,2025-08-02,1523.0
3,3907,2025-08-16,1638.0
2,4642,2025-08-28,1677.0
1,546,2025-11-21,2217.0
2,4642,2026-01-08,2254.0
1,4642,2025-08-28,1794.0
1,4457,,2106.0
3,476,2025-03-28,
5,2261,2026-01-10,2854.0
4,476,2025-11-12,2166.0
1,546,2025-04-18,1339.0
3,1353,2025-03-09,1026.0
4,4821,2026-01-12,2444.0
2,3907,2025-11-07,2147.0
4,4821,2026-01-05,2387.0
5,1353,2025-06-09,1512.0
3,546,2025-10-11,2018.0
1,2784,2025-05-06,
5,1353,2025-07-28,1737.0
5,4334,2026-01-02,2636.0
1,959,2025-05-18,1319.0
3,959,2025-12-03,1759.0
1,4457,2025-05-02,1155.0
3,1360,2025-11-28,1767.0
1,3907,2025-05-26,1552.0
5,1089,2025-10-14,2076.0
3,4457,2026-01-04,2331.0
5,1089,2025-09-01,1944.0
1,1353,2025-05-12,1225.0
5,2261,2025-04-25,1424.0
3,4457,2025-04-15,1143.0
5,1089,2025-07-31,1770.0
4,3013,2025-10-03,1989.0
4,4253,2025-09-18,1786.0
