shipment_id,supplier_id,warehouse_id,product_id,quantity,shipped_date,arrival_date,status
407,31,3,1330,955.0,2024-11-17,2024-11-25,Received
505,54,4,5441,605.0,2024-05-01,2024-05-09,Received
274,32,5,1217,413.0,2025-11-29,2025-12-05,Received
317,20,3,3975,362.0,2024-12-16,2024-12-25,Received
266,56,3,2178,896.0,2024-02-17,2024-02-19,In Transit
879,83,4,3849,935.0,2026-01-13,2026-01-24,Received
853,48,4,2987,535.0,2025-12-28,2026-01-03,Received
1820,48,5,3475,958.0,2025-10-20,2025-10-28,Received
1999,1,5,1900,263.0,2025-12-14,2025-12-20,Received
968,32,4,1517,579.0,2026-02-04,2026-02-13,Received
1647,67,4,1541,196.0,2026-01-08,2026-01-12,Received
685,60,2,3277,995.0,2024-07-28,2024-07-30,Received
852,34,5,3942,941.0,2024-07-28,2024-08-02,Received
638,26,4,5737,,2025-07-05,2025-07-11,Received
1600,90,3,1919,119.0,2025-05-11,2025-05-20,Received
1437,75,4,2746,147.0,2026-01-10,2026-01-16,Received
585,27,2,2839,228.0,2024-08-22,2024-09-01,In Transit
95,20,2,1262,144.0,2025-10-12,2025-10-25,Received
82,38,3,3339,330.0,2025-01-18,2025-01-24,Received
1213,36,2,5765,931.0,2025-12-14,,Received
1264,77,1,5797,800.0,2025-10-21,2025-11-03,
1098,81,5,1232,543.0,2024-07-08,2024-07-11,Received
1677,38,4,635,466.0,2025-07-22,2025-08-04,received
945,62,3,206,334.0,2024-08-09,2024-08-22,Received
1288,79,4,4354,526.0,2025-04-14,2025-04-21,In Transit
1913,28,5,1538,205.0,2024-05-06,2024-05-14,Received
1703,75,5,3241,402.0,2024-03-25,2024-03-27,Received
1220,27,1,427,474.0,2024-09-05,2024-09-12,In Transit
1321,13,4,3831,302.0,2024-03-10,2024-03-21,Received
1406,58,2,1854,656.0,2024-11-21,2024-12-03,Received
1220,27,1,427,474.0,2024-09-05,2024-09-12,In Transit
723,21,3,78,,2026-01-20,2026-02-02,Received
471,57,5,3592,576.0,2025-01-10,2025-01-15,Received
114,19,2,3512,245.0,2026-01-17,2026-01-28,In Transit
697,22,1,1409,359.0,2024-09-13,2024-09-22,received
718,84,2,593,838.0,2025-09-11,2025-09-24,Received
188,3,2,758,122.0,2025-10-29,2025-11-09,Received
1423,83,1,4421,136.0,2024-11-03,2024-11-09,Received
1669,56,2,5352,423.0,2024-04-20,2024-05-01,Received
101,5,2,4341,804.0,2024-12-30,2025-01-10,Received
1462,63,3,2709,551.0,2025-05-10,2025-05-22,Received
1585,88,5,2302,234.0,2025-11-28,2025-12-06,Received
867,41,5,2665,477.0,,2025-10-01,Received
1289,17,1,4439,264.0,2025-04-09,2025-04-14,In Transit
