ticket_id,customer_id,agent_id,category,priority,status,created_date,resolved_date,subject
3306,7203,471,Return Request,High,In Progress,2024-07-20,,Return Request - Facilis odit.
7485,16215,1834,Return Request,Critical,Resolved,2025-04-05,2025-04-10 21:00:00,Return Request - Maxime architecto in.
3279,7505,2805,Payment Failure,Low,,2024-02-06,2024-02-07 16:00:00,PAYMENT FAILURE - DOLORES NIHIL IPSAM ASSUMENDA.
4232,13042,2051,PAYMENT FAILURE,Medium,In Progress,2025-02-02,2025-02-02 15:00:00,Payment Failure - Nemo aut saepe.
5324,44187,1862,Order Status,Critical,In Progress,2024-11-12,2024-11-17 17:00:00,Order Status - Quos molestias.
1055,23133,2939,ACCOUNT UPDATE,Critical,Open,2025-02-24,2025-02-25 14:00:00,Account Update - Nemo perferendis molestiae.
5816,2320,2347,Order Status,Medium,In Progress,2025-09-04,,Order Status - Non distinctio quae.
3907,5339,2725,Payment Failure,MEDIUM,Closed,2024-03-09,2024-03-14 05:00:00,Payment Failure - Libero exercitationem expedita.
9941,26237,2626,Account Update,Critical,Resolved,2025-04-14,2025-04-15 15:00:00,Account Update - Voluptates alias impedit.
5851,16154,2524,Order Status,Low,resolved,2025-06-14,,Order Status - Officia deserunt repellendus pariatur.
8007,37758,384,Product Defect,Medium,Closed,2024-06-21,2024-06-27 13:00:00,Product Defect - Consectetur dolore sapiente.
8139,43304,2929,Payment Failure,High,Resolved,2025-07-18,2025-07-21 16:00:00,Payment Failure - Magnam quisquam ex veritatis.
2392,33438,1305,Account Update,Medium,Resolved,2024-12-28,2024-12-28 16:00:00,Account Update - Expedita minima dolore occaecati.
4122,45151,2436,Account Update,Low,Resolved,2024-11-27,,Account Update - Et cumque aspernatur odio recusandae.
6484,11431,2870,Payment Failure,Medium,Resolved,2026-02-04,2026-02-08 07:00:00,Payment Failure - A excepturi itaque.
8969,21862,191,Product Defect,High,Open,2024-04-09,2024-04-15 10:00:00,Product Defect - Aperiam vitae totam autem.
7438,41584,1268,Product Defect,Low,Closed,2026-01-21,2026-01-23 05:00:00,Product Defect - Quae atque alias a.
1926,48011,2029,payment failure,CRITICAL,In Progress,2025-06-01,2025-06-04 02:00:00,Payment Failure - Laborum ullam unde.
5151,11165,2829,,Critical,In Progress,2025-12-17,,Return Request - Facilis beatae harum.
5875,21799,2733,Login Issue,,Resolved,2024-04-09,2024-04-10 04:00:00,Login Issue - Velit ipsam.
5618,25610,925,Login Issue,Medium,Open,2024-01-15,2024-01-20 23:00:00,Login Issue - Ipsa Libero Suscipit A.
8169,48615,1604,Payment Failure,Critical,closed,2024-09-14,2024-09-17 12:00:00,Payment Failure - Omnis suscipit.
5668,16410,1429,Product Defect,High,In Progress,2025-05-18,,Product Defect - Fugiat aliquid quibusdam.
9666,3944,163,Return Request,High,Closed,2024-09-26,2024-09-28 10:00:00,Return Request - Minus atque inventore praesentium.
7209,25499,2778,Product Defect,High,Resolved,2024-03-13,2024-03-19 05:00:00,Product Defect - Adipisci dolore officiis ullam.
5343,7219,1263,Order Status,High,In Progress,2024-06-14,,Order Status - Aspernatur porro ipsum fugiat impedit.
6063,17163,1168,Return Request,Low,IN PROGRESS,2025-03-11,2025-03-16 17:00:00,Return Request - Ut porro.
4688,49947,1002,Payment Failure,High,Open,2025-04-04,2025-04-05 04:00:00,Payment Failure - Repellat cum.
3227,10789,462,Account Update,Critical,Open,2024-01-23,2024-01-25 12:00:00,Account Update - Et pariatur fugit.
3529,3996,101,Product Defect,Low,In Progress,2024-12-21,2024-12-26 00:00:00,Product Defect - Fuga libero saepe at.
6793,22083,2180,Login Issue,Low,Resolved,2024-05-21,2024-05-23 11:00:00,Login Issue - Doloribus minima.
3574,39640,2018,Login Issue,Low,Open,2024-10-02,2024-10-03 09:00:00,
425,20965,1318,Return Request,Medium,Resolved,2024-03-28,2024-03-31 20:00:00,Return Request - Numquam assumenda vitae.
527,18710,914,Payment Failure,Low,,2025-12-21,2025-12-22 11:00:00,Payment Failure - Iure cumque excepturi.
6963,37384,750,ACCOUNT UPDATE,HIGH,Resolved,2025-10-31,2025-11-05 02:00:00,Account Update - Harum quisquam fuga.
8916,40401,2853,Product Defect,High,Closed,2024-11-27,2024-11-27 01:00:00,Product Defect - Repellendus nihil repellendus quibusdam.
6825,33278,2463,Login Issue,Medium,Resolved,2024-08-22,2024-08-26 15:00:00,Login Issue - Accusantium vel corrupti.
4762,29046,2736,,High,Open,2024-02-09,2024-02-14 16:00:00,Payment Failure - Modi praesentium.
5031,17054,2981,Product Defect,,In Progress,2025-06-12,2025-06-18 06:00:00,Product Defect - Quo illum consequatur magnam.
2160,31586,1040,Login Issue,,In Progress,2024-03-04,,Login Issue - Amet laudantium amet ullam.
936,46166,273,Payment Failure,High,Closed,2024-09-07,2024-09-11 04:00:00,Payment Failure - Quas nostrum ipsam.
5579,36535,19,Order Status,Medium,Open,2025-03-18,,Order Status - Autem quod sed.
1950,44187,2538,Login Issue,Low,Open,2025-06-02,2025-06-05 02:00:00,Login Issue - Ipsam quidem mollitia repellendus.
4957,4598,1333,Login Issue,Medium,In Progress,2024-07-27,2024-07-28 11:00:00,Login Issue - Facilis dolore praesentium.
5949,23956,2108,product defect,medium,In Progress,2024-11-26,,Product Defect - Totam perferendis facilis unde.
726,44908,1697,Return Request,Critical,Closed,2024-04-11,2024-04-11 12:00:00,Return Request - Nulla Dicta.
4234,5517,1840,Return Request,Low,Closed,,2025-03-22 17:00:00,Return Request - Quas exercitationem laboriosam.
1011,9652,1686,Login Issue,Low,Resolved,2025-12-12,2025-12-12 13:00:00,Login Issue - Impedit excepturi consequuntur.
1800,10840,429,Return Request,Critical,Resolved,2024-07-27,2024-08-02 11:00:00,Return Request - Explicabo Voluptates Earum Unde.
4126,15593,645,product defect,High,In Progress,2024-03-04,2024-03-10 03:00:00,Product Defect - Incidunt sequi.
522,26895,2311,Order Status,Medium,In Progress,2024-07-10,2024-07-11 01:00:00,Order Status - Voluptas a sequi itaque.
3717,35115,1773,Account Update,Critical,Closed,2026-01-31,2026-02-02 08:00:00,Account Update - Necessitatibus possimus.
3846,28006,1001,Order Status,Medium,Resolved,2025-03-02,2025-03-04 18:00:00,Order Status - Vero quia.
2593,4035,727,Order Status,High,Resolved,2025-09-27,2025-09-27 20:00:00,
9255,17289,26,,Low,In Progress,,2024-07-25 15:00:00,login issue - soluta nisi ducimus animi debitis.
1131,15684,2506,Order Status,Critical,Resolved,2025-03-19,,Order Status - Minus distinctio esse laudantium quos.
1916,7744,1891,Login Issue,Medium,Resolved,2025-06-26,,login issue - sunt earum dolorem.
9895,17818,937,Login Issue,Medium,Closed,2025-07-05,2025-07-08 05:00:00,Login Issue - Illo hic velit animi excepturi.
1688,36613,227,Payment Failure,Critical,Resolved,2025-06-02,2025-06-03 10:00:00,Payment Failure - Quos nam.
4154,23011,333,Product Defect,,Open,2024-05-09,2024-05-12 18:00:00,Product Defect - Ea impedit reprehenderit natus.
1955,28248,2133,Payment Failure,Low,In Progress,2025-07-29,2025-07-31 06:00:00,Payment Failure - Esse est ratione repellat.
6362,37959,2289,Payment Failure,Critical,Closed,2025-09-30,2025-09-30 07:00:00,
